Month,Day,Period,AE_NJ,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,AP_MD,AP_PA,AP_VA,AP_WV,ATSI_PA,ATSI_OH,BC_MD,CE_IL,DAY_OH,DEOK_OH,DOM_NC,DOM_VA,DPL_DE,DPL_MD,DUQ_PA,EKPC_KY,JC_NJ,ME_PA,OVEC_OH,PE_PA,PEP_MD,PL_PA,PN_PA,PS_NJ,RECO_NJ,NI
1,1,1,0.197073228,0.090752177,0.090752177,0.090752177,0.090752177,0.090752177,0.090752177,0.090752177,0.137917086,0.137917086,0.137917086,0.137917086,0.081511933,0.081511933,0.136186542,0.140123115,0.100232019,0.069656618,0.089523869,0.089523869,0.137346702,0.137346702,0.093560581,0.051518512,0.140198991,0.120302414,0.229357798,0.12864557,0.121432562,0.122190894,0.141883007,0.135684013,0.081314794,0
1,1,2,0.178337334,0.07410584,0.07410584,0.07410584,0.07410584,0.07410584,0.07410584,0.07410584,0.112942129,0.112942129,0.112942129,0.112942129,0.053902674,0.053902674,0.112873815,0.123563161,0.077958237,0.047775835,0.065098438,0.065098438,0.114299987,0.114299987,0.069612079,0.042766371,0.117112821,0.096907547,0.229357798,0.105020564,0.089539571,0.09991672,0.106081242,0.114096273,0.055428603,0
1,1,3,0.159607659,0.059656636,0.059656636,0.059656636,0.059656636,0.059656636,0.059656636,0.059656636,0.094276886,0.094276886,0.094276886,0.094276886,0.033364477,0.033364477,0.089520254,0.10705146,0.0612529,0.025562235,0.050072086,0.050072086,0.095615439,0.095615439,0.052352526,0.025986538,0.099416622,0.076027076,0.174311927,0.083066666,0.072017835,0.079485345,0.087844444,0.096039571,0.038189775,0
1,1,4,0.149225565,0.056932885,0.056932885,0.056932885,0.056932885,0.056932885,0.056932885,0.056932885,0.085374291,0.085374291,0.085374291,0.085374291,0.025008948,0.025008948,0.078999167,0.096237833,0.047795824,0.015221629,0.040757991,0.040757991,0.0859388,0.0859388,0.048488768,0.021736245,0.091311444,0.06837099,0.19266055,0.073701956,0.052493345,0.067251549,0.066849089,0.084917942,0.029562141,0
1,1,5,0.145028334,0.056440687,0.056440687,0.056440687,0.056440687,0.056440687,0.056440687,0.056440687,0.085526731,0.085526731,0.085526731,0.085526731,0.019609017,0.019609017,0.074172686,0.086514487,0.045475638,0.01030032,0.037495429,0.037495429,0.082697769,0.082697769,0.047315383,0.021033521,0.088048712,0.060923527,0.339449541,0.067534,0.055112714,0.061062888,0.067812395,0.0799306,0.026898885,0
1,1,6,0.148346796,0.067835478,0.067835478,0.067835478,0.067835478,0.067835478,0.067835478,0.067835478,0.092874551,0.092874551,0.092874551,0.092874551,0.024575541,0.024575541,0.081332008,0.091914159,0.053828306,0.013012138,0.039890539,0.039890539,0.087072415,0.087072415,0.052578613,0.027499602,0.092124455,0.071920696,0.52293578,0.077294882,0.056127729,0.077952189,0.077955858,0.083528697,0.030505788,0
1,1,7,0.155084179,0.081775195,0.081775195,0.081775195,0.081775195,0.081775195,0.081775195,0.081775195,0.110402593,0.110402593,0.110402593,0.110402593,0.04293134,0.04293134,0.095454789,0.099049099,0.068213457,0.029763677,0.05880593,0.05880593,0.102159208,0.102159208,0.063689081,0.021868982,0.09976299,0.081305072,0.440366972,0.091406977,0.075705724,0.099392895,0.100065484,0.090795571,0.037397374,0
1,1,8,0.166529693,0.095322296,0.095322296,0.095322296,0.095322296,0.095322296,0.095322296,0.095322296,0.128741055,0.128741055,0.128741055,0.128741055,0.055896662,0.055896662,0.109490134,0.115821751,0.084918794,0.048568525,0.078511038,0.078511038,0.116692367,0.116692367,0.084248667,0.040808248,0.11055383,0.101926456,0.403669725,0.105926882,0.091818504,0.125998091,0.137456638,0.096369002,0.045071497,0
1,1,9,0.171161763,0.116751528,0.116751528,0.116751528,0.116751528,0.116751528,0.116751528,0.116751528,0.15746782,0.15746782,0.15746782,0.15746782,0.06925377,0.06925377,0.127461226,0.128185664,0.10162413,0.066936433,0.097132347,0.097132347,0.13766252,0.13766252,0.094098656,0.05131754,0.124585191,0.133639174,0.394495413,0.121615449,0.104206937,0.157192123,0.17563007,0.102586519,0.055057063,0
1,1,10,0.186742798,0.138946748,0.138946748,0.138946748,0.138946748,0.138946748,0.138946748,0.138946748,0.189120959,0.189120959,0.189120959,0.189120959,0.09986852,0.09986852,0.155841516,0.140538633,0.132714617,0.091986116,0.120782633,0.120782633,0.167608688,0.167608688,0.119229491,0.072415562,0.142419476,0.170333864,0.394495413,0.159109714,0.132978559,0.202950251,0.22383129,0.119649768,0.070642042,0
