Zone,Opr_cost,LoL_plt,Total_cost
AE_NJ,0.0,0.0,0.0
AEP_VA,0.0,0.0,0.0
AEP_WV,0.0,0.0,0.0
AEP_KY,0.0,0.0,0.0
AEP_TN,0.0,1.5353577188539987e7,1.5353577188539987e7
AEP_OH,0.0,0.0,0.0
AEP_IN,0.0,0.0,0.0
AEP_MI,0.0,0.0,0.0
AP_MD,0.0,1.9905617291246903e8,1.9905617291246903e8
AP_PA,0.0,0.0,0.0
AP_VA,0.0,0.0,0.0
AP_WV,0.0,0.0,0.0
ATSI_PA,0.0,0.0,0.0
ATSI_OH,0.0,0.0,0.0
BC_MD,0.0,8.214009849125239e6,8.214009849125239e6
CE_IL,0.0,0.0,0.0
DAY_OH,0.0,0.0,0.0
DPL_DE,0.0,0.0,0.0
DPL_MD,0.0,0.0,0.0
DOM_NC,0.0,0.0,0.0
DOM_VA,0.0,0.0,0.0
DEOK_OH,0.0,0.0,0.0
DUQ_PA,0.0,0.0,0.0
EKPC_KY,0.0,0.0,0.0
JC_NJ,0.0,0.0,0.0
ME_PA,0.0,0.0,0.0
OVEC_OH,0.0,0.0,0.0
PL_PA,0.0,0.0,0.0
PE_PA,0.0,0.0,0.0
PN_PA,0.0,0.0,0.0
PEP_MD,0.0,0.0,0.0
PS_NJ,0.0,0.0,0.0
RECO_NJ,0.0,0.0,0.0
