Zone,Time Period,Allowance (tons)
BC,1,4070368.75
BC,2,4070368.75
BC,3,4070368.75
BC,4,4070368.75
AP,1,4070368.75
AP,2,4070368.75
AP,3,4070368.75
AP,4,4070368.75
AEP,1,4070368.75
AEP,2,4070368.75
AEP,3,4070368.75
AEP,4,4070368.75
RECO,1,4070368.75
RECO,2,4070368.75
RECO,3,4070368.75
RECO,4,4070368.75
DPL,1,4070368.75
DPL,2,4070368.75
DPL,3,4070368.75
DPL,4,4070368.75
JC,1,4070368.75
JC,2,4070368.75
JC,3,4070368.75
JC,4,4070368.75
CE,1,4070368.75
CE,2,4070368.75
CE,3,4070368.75
CE,4,4070368.75
ME,1,4070368.75
ME,2,4070368.75
ME,3,4070368.75
ME,4,4070368.75
PS,1,4070368.75
PS,2,4070368.75
PS,3,4070368.75
PS,4,4070368.75
PE,1,4070368.75
PE,2,4070368.75
PE,3,4070368.75
PE,4,4070368.75
PL,1,4070368.75
PL,2,4070368.75
PL,3,4070368.75
PL,4,4070368.75
DUQ,1,4070368.75
DUQ,2,4070368.75
DUQ,3,4070368.75
DUQ,4,4070368.75
PN,1,4070368.75
PN,2,4070368.75
PN,3,4070368.75
PN,4,4070368.75
DOM,1,4070368.75
DOM,2,4070368.75
DOM,3,4070368.75
DOM,4,4070368.75
ATSI,1,4070368.75
ATSI,2,4070368.75
ATSI,3,4070368.75
ATSI,4,4070368.75
EKPC,1,4070368.75
EKPC,2,4070368.75
EKPC,3,4070368.75
EKPC,4,4070368.75
DEOK,1,4070368.75
DEOK,2,4070368.75
DEOK,3,4070368.75
DEOK,4,4070368.75
DAY,1,4070368.75
DAY,2,4070368.75
DAY,3,4070368.75
DAY,4,4070368.75
OVEC,1,4070368.75
OVEC,2,4070368.75
OVEC,3,4070368.75
OVEC,4,4070368.75
PEP,1,4070368.75
PEP,2,4070368.75
PEP,3,4070368.75
PEP,4,4070368.75
AE,1,4070368.75
AE,2,4070368.75
AE,3,4070368.75
AE,4,4070368.75
