Pmax (MW),Pmin (MW),Type,Cost ($/MWh),EF,CC,Zone
149,70,NGCT,26.3,0.59,0.98,EKPC_KY
98,33,NGCT,26.3,0.59,0.98,EKPC_KY
149,70,NGCT,26.3,0.59,0.98,EKPC_KY
149,70,NGCT,26.3,0.59,0.98,EKPC_KY
108,54,NGCT,26.3,0.59,0.98,EKPC_KY
108,54,NGCT,26.3,0.59,0.98,EKPC_KY
98,54,NGCT,26.3,0.59,0.98,EKPC_KY
98,54,NGCT,26.3,0.59,0.98,EKPC_KY
98,33,NGCT,26.3,0.59,0.98,EKPC_KY
"1,138.30",296.9,NuC,35,0,0.99,CE_IL
660,120,NGCT,26.3,0.59,0.98,CE_IL
660,120,NGCT,26.3,0.59,0.98,CE_IL
26,20,Oil,40,0.82,0.98,PEP_DE
26,20,Oil,40,0.82,0.98,PEP_DE
18.5,15,Oil,40,0.82,0.98,PEP_DE
12.5,12.5,Oil,40,0.82,0.98,PEP_DE
75,25,NGCT,26.3,0.59,0.98,PEP_DE
176.8,50,NGCT,26.3,0.59,0.98,PEP_DE
446,65,NGCT,26.3,0.59,0.98,PEP_DE
18.6,14,Oil,40,0.82,0.98,DPL_DE
445.5,190,Coal,23.57,1.01,0.95,DPL_DE
20,15,Oil,40,0.82,0.98,PEP_DE
685.1,220,Coal,23.57,1.01,0.95,PL_MD
685.1,220,Coal,23.57,1.01,0.95,PL_MD
"1,009.30",150,NuC,35,0,0.99,CE_IL
"1,009.30",150,NuC,35,0,0.99,CE_IL
360.4,95,NGCT,26.3,0.59,0.98,CE_IL
659.5,220,Coal,23.57,1.01,0.95,CE_IL
659.5,220,Coal,23.57,1.01,0.95,CE_IL
892.8,325,Coal,23.57,1.01,0.95,CE_IL
892.8,325,Coal,23.57,1.01,0.95,CE_IL
"1,009.30",132,NuC,35,0,0.99,CE_IL
"1,009.30",132,NuC,35,0,0.99,CE_IL
28,10,Oil,40,0.82,0.98,CE_IL
28,10,Oil,40,0.82,0.98,CE_IL
28,10,Oil,40,0.82,0.98,CE_IL
28,10,Oil,40,0.82,0.98,CE_IL
326.4,130,Coal,23.57,1.01,0.95,CE_IL
355.3,130,Coal,23.57,1.01,0.95,CE_IL
598.4,180,Coal,23.57,1.01,0.95,CE_IL
32.5,10,Oil,40,0.82,0.98,PS_IL
32.5,10,Oil,40,0.82,0.98,PS_IL
32.5,10,Oil,40,0.82,0.98,PS_IL
32.5,10,Oil,40,0.82,0.98,PS_IL
32.5,10,Oil,40,0.82,0.98,PS_IL
