Zone,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MWh),EF,CC
DEOK_OH,BES,8,2,0.9,0.9,28.92,0,1
DEOK_OH,BES,8,2,0.9,0.9,28.92,0,1
ME_PA,HPS,13400,134,0.9,0.9,0.56,0,0.8
ME_PA,HPS,13400,134,0.9,0.9,0.56,0,0.8
ME_PA,HPS,13400,134,0.9,0.9,0.56,0,0.8
ME_PA,HPS,13400,134,0.9,0.9,0.56,0,0.8
ME_PA,HPS,13400,134,0.9,0.9,0.56,0,0.8
ME_PA,HPS,13400,134,0.9,0.9,0.56,0,0.8
ME_PA,HPS,13400,134,0.9,0.9,0.56,0,0.8
ME_PA,HPS,13400,134,0.9,0.9,0.56,0,0.8
AEP_VA,HPS,6600,66,0.9,0.9,0.56,0,0.8
AEP_VA,HPS,11530,115.3,0.9,0.9,0.56,0,0.8
AEP_VA,HPS,6600,66,0.9,0.9,0.56,0,0.8
DOM_VA,HPS,47700,477,0.9,0.9,0.56,0,0.8
DOM_VA,HPS,47700,477,0.9,0.9,0.56,0,0.8
DOM_VA,HPS,47700,477,0.9,0.9,0.56,0,0.8
DOM_VA,HPS,47700,477,0.9,0.9,0.56,0,0.8
DOM_VA,HPS,47700,477,0.9,0.9,0.56,0,0.8
DOM_VA,HPS,47700,477,0.9,0.9,0.56,0,0.8
DOM_NC,BES,100,1,0.9,0.9,28.92,0,1
JC_NJ,HPS,15100,151,0.9,0.9,0.56,0,0.8
JC_NJ,HPS,15100,151,0.9,0.9,0.56,0,0.8
JC_NJ,HPS,15100,151,0.9,0.9,0.56,0,0.8
PN_PA,HPS,20590,205.9,0.9,0.9,0.56,0,0.8
PN_PA,HPS,20590,205.9,0.9,0.9,0.56,0,0.8
AP_PA,BES,20.8,10.4,0.9,0.9,28.92,0,1
CE_SD,BES,1.6,0.8,0.9,0.9,28.92,0,1
CE_IL,BES,40,20,0.9,0.9,28.92,0,1
AEP_WV,BES,32,16,0.9,0.9,28.92,0,1
ATSI_OH,BES,16,4,0.9,0.9,28.92,0,1
AEP_OH,BES,3.2,0.8,0.9,0.9,28.92,0,1
DPL_MD,BES,44,11,0.9,0.9,28.92,0,1
CE_IL,BES,79.2,19.8,0.9,0.9,28.92,0,1
DEOK_OH,BES,40,10,0.9,0.9,28.92,0,1
AEP_OH,BES,28,7,0.9,0.9,28.92,0,1
AEP_WV,BES,126,31.5,0.9,0.9,28.92,0,1
CE_IL,BES,79.2,19.8,0.9,0.9,28.92,0,1
DEOK_OH,BES,24,6,0.9,0.9,28.92,0,1
JC_NJ,BES,4,1,0.9,0.9,28.92,0,1
PE_PA,BES,24.8,6.2,0.9,0.9,28.92,0,1
JC_NJ,BES,79.2,19.8,0.9,0.9,28.92,0,1
AE_NJ,BES,79.2,19.8,0.9,0.9,28.92,0,1
PS_NJ,BES,4,1,0.9,0.9,28.92,0,1
PS_NJ,BES,4,1,0.9,0.9,28.92,0,1
AP_PA,BES,72,18,0.9,0.9,28.92,0,1
CE_IL,BES,80,20,0.9,0.9,28.92,0,1
DOM_NC,BES,40,10,0.9,0.9,28.92,0,1
JC_NJ,BES,2.4,0.6,0.9,0.9,28.92,0,1
