From_zone,To_zone,from_bus,to_bus,KV,Capacity (MW)
ComEd,AEP,Collins,Planos,765,2200
AEP,Dayton,Marysville,Sorenson,765,2200
AEP,APS,Belmont,Kammer,765,2200
Dominion,AEP,Cloverdale,Lexington,500,1500
Dominion,Other,Brunswick Switching Station heritage,Wake,500,1500
AEP,Other,Nagel,Null,500,1500
AEP,Other,Nagel,Null,500,1500
AEP,Other,Broadford,Null,500,1500
AEP,Other,Jacksons Ferry,Null,500,1500
APS,AEP,502 Junction,Kammer,500,1500
APS,Dominion,Mt.Storm,Valley,500,1500
APS,Dominion,Meadow Brook,Loudoun,500,1500
APS,Dominion,Front Roya;,Mornsville,500,1500
APS,Dominion,Doubs,Goose Creek,500,1500
APS,PENELEC,Keystone,South Bend,500,1500
PENELEC,APS,South Bend,Yukon,500,1500
PENELEC,APS,Conemaugh,Keystone,500,1500
PEPCO,APS,Brighton,Doubs,500,1500
PEPCO,BGE,Brighton,Conastone,500,1500
PEPCO,BGE,Brighton,Waugh Chapel,500,1500
PEPCO,BGE,Calvert Cliffs,Waugh Chapel,500,1500
PEPCO,BGE,Calvert Cliffs,Waugh Chapel,500,1500
PEPCO,Dominion,Possum Point,Possum Meter,500,1500
ATSI,APS,Cranberry,Cabot,500,1500
ATSI,APS,Cranberry,Wylie Ridge,500,1500
BGE,ME,Conastone,Hunterstown,500,1500
BGE,PECO,Conastone,Peach Bottom,500,1500
PECO,ME,Peach Bottom,Three Mile Island,500,1500
PECO,DPL,Peach Bottom,Rock Springs,500,1500
PECO,PPL,Elroy,Hosensack,500,1500
AEC,DPL,Hope Creek,Red Lion,500,1500
JCPL,AEC,East Windsor,New Freedom,500,1500
JCPL,PSEG,Branchburg,Deans,500,1500
JCPL,PECO,Branchburg,Elroy,500,1500
JCPL,PPL,Hopatcong,Lackawanna,500,1500
JCPL,PSEG,Hopatcong,Roseland,500,1500
JCPL,Other,Hopatcong,Null,500,1500
PSEG,JCPL,Deans,Smithburg,500,1500
PSEG,JCPL,Deans,East Windsor,500,1500
PPL,JCPL,Alburtis,Branchburg,500,1500
PPL,APS,Juniata,Keystone,500,1500
PPL,ME,Lauschtown,Three Mile Island,500,1500
ME,PENELEC,Hunterstown,Vinco,500,1500
AEP,ATSI,Fostoria Ctl,Lemoyne,345,600
AEP,ATSI,Fostoria Ctl,Lallendorf,345,600
AEP,ATSI,Ohio Central,Galion,345,600
AEP,Dayton,Gunn Road,Marysville,345,600
AEP,Dayton,Gristmill,Shelby,345,600
AEP,Dayton,S.W. Lima,Shelby,345,600
AEP,Dayton,Hyatt,Marysville,345,600
AEP,Dayton,Beatty,Greene,345,600
AEP,EKPC,Atlanta,Stuart,345,600
AEP,EKPC,Don Marquis,Stuart,345,600
AEP,DEOK,DOEX530,Pierce,345,600
AEP,DEOK,DOEX530,Pierce,345,600
AEP,DEOK,Kyger Creek,Pierce,345,600
AEP,DEOK,Don Marquis,Pierce,345,600
AEP,APS,Tidd,Wylie Ridge,345,600
AEP,APS,Toronto,Wylie Ridge,345,600
Dayton,AEP,Marysville,S.W. Lima,345,600
Dayton,AEP,Marysville,Tangy,345,600
ATSI,AEP,Galion,South Berwick,345,600
ATSI,AEP,Harmon,South Canton,345,600
ATSI,AEP,Lordstown,Sammis,345,600
ATSI,AEP,Lordstown,Wekksville,345,600
ATSI,DL,Lordstown,Mansfield,345,600
ATSI,DL,Glenwillow,Mansfield,345,600
ATSI,DL,Beaver Valley,Hanna,345,600
ATSI,PENELEC,Ashtabula,Erie West,345,600
EKPC,DEOK,East Bend,Terminal,345,600
EKPC,AEP,Stuart,Killen,345,600
EKPC,Dayton,Stuart,Clinton,345,600
DEOK,EKPC,Meldahl Dam Tap,Spurlock,345,600
DEOK,EKPC,Hillcrest,Stuart,345,600
DEOK,Dayton,Foster,Sugar Creek,345,600
DEOK,Dayton,Foster,Bath,345,600
DL,AEP,Beaver Valley,Sammis,345,600
DL,ATSI,Manfield,Hanna,345,600
DL,ATSI,Manfield,Hoytdale,345,600
DL,APS,Clinton,Collier,345,600
DL,APS,Brunot Island,Collier,345,600
DL,APS,Crescent,Collier,345,600
APS,PENELEC,Armstrong,Homer City,345,600
APS,PENELEC,Armstrong,Handsome Lake,345,600
RE,PSEG,South Mahwah,Waldwick,345,600
APS,PENELEC,Keystone,Sheloca,230,400
APS,PENELEC,Milesburg,Moshannon,230,400
APS,PENELEC,Elko,Shawville,230,400
APS,PENELEC,Lobo,Marshall,230,400
APS,PEPCO,Aqueduct,"Dickerson ""H""",230,400
PPL,PENELEC,Chapman,Moshannon,230,400
PPL,PENELEC,Lackawanna,Oxbow,230,400
PPL,PENELEC,Juniata,Lewistown,230,400
PPL,APS,Chapman,Lobo,230,400
PPL,ME,Blooming Grove,Bushkill,230,400
PPL,ME,Hosensack (ME),North Boyertown,230,400
PPL,ME,Hosensack (ME),North Temple,230,400
PPL,ME,Northkill,North Temple,230,400
PPL,ME,Northkill,North Lebanon,230,400
PPL,ME,Berks,South Lebanon,230,400
PPL,ME,Copperstone,North Lebanon,230,400
PPL,ME,Copperstone,williow Drive,230,400
PPL,ME,Copperstone,Middletown Jctn,230,400
PPL,ME,Dauphin,Hummelstown,230,400
PPL,ME,Cumberland,Williams Grove,230,400
PPL,ME,Berks,S. Reading,230,400
