Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW)
20.0,16.0,B1,1,NGCC,1,0,0,0,130.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
20.0,16.0,B1,1,NGCC,1,0,0,0,130.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
76.0,15.2,B1,1,NGCC,1,0,0,0,16.0811,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
76.0,15.2,B1,1,NGCC,1,0,0,0,16.0811,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
20.0,16.0,B2,2,NGCC,1,0,0,0,130.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
20.0,16.0,B2,2,NGCC,1,0,0,0,130.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
76.0,15.2,B2,2,NGCC,1,0,0,0,16.0811,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
76.0,15.2,B2,2,NGCC,1,0,0,0,16.0811,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,25.0,B7,7,NGCC,1,0,0,0,43.6615,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,25.0,B7,7,NGCC,1,0,0,0,43.6615,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,25.0,B7,7,NGCC,1,0,0,0,43.6615,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
197.0,69.0,B13,13,NGCC,1,0,0,0,48.5804,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
197.0,69.0,B13,13,NGCC,1,0,0,0,48.5804,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
197.0,69.0,B13,13,NGCC,1,0,0,0,48.5804,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
1.0,0.0,B14,14,NGCC,1,0,0,0,1.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
12.0,2.4,B15,15,NGCC,1,0,0,0,56.564,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
12.0,2.4,B15,15,NGCC,1,0,0,0,56.564,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
12.0,2.4,B15,15,NGCC,1,0,0,0,56.564,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
12.0,2.4,B15,15,NGCC,1,0,0,0,56.564,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
12.0,2.4,B15,15,NGCC,1,0,0,0,56.564,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
155.0,54.3,B15,15,NGCC,1,0,0,0,12.3883,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
155.0,54.3,B16,16,NGCC,1,0,0,0,12.3883,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
400.0,100.0,B18,18,NGCC,1,0,0,0,4.4231,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
400.0,100.0,B21,21,NGCC,1,0,0,0,4.4231,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
50.0,10.0,B22,22,NGCC,1,0,0,0,1.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
50.0,10.0,B22,22,NGCC,1,0,0,0,1.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
50.0,10.0,B22,22,NGCC,1,0,0,0,1.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
50.0,10.0,B22,22,NGCC,1,0,0,0,1.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
50.0,10.0,B22,22,NGCC,1,0,0,0,1.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
50.0,10.0,B22,22,NGCC,1,0,0,0,1.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
155.0,54.3,B23,23,NGCC,1,0,0,0,12.3883,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
155.0,54.3,B23,23,NGCC,1,0,0,0,12.3883,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
350.0,140.0,B23,23,NGCC,1,0,0,0,11.8495,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
