From_zone,To_zone,from_bus,to_bus,X,Capacity (MW)
B1,B2,1,2,0.0139,175.0
B1,B3,1,3,0.2112,175.0
B1,B5,1,5,0.0845,175.0
B2,B4,2,4,0.1267,175.0
B2,B6,2,6,0.192,175.0
B3,B9,3,9,0.119,175.0
B3,B24,3,24,0.0839,400.0
B4,B9,4,9,0.1037,175.0
B5,B10,5,10,0.0883,175.0
B6,B10,6,10,0.0605,175.0
B7,B8,7,8,0.0614,175.0
B8,B9,8,9,0.1651,175.0
B8,B10,8,10,0.1651,175.0
B9,B11,9,11,0.0839,400.0
B9,B12,9,12,0.0839,400.0
B10,B11,10,11,0.0839,400.0
B10,B12,10,12,0.0839,400.0
B11,B13,11,13,0.0476,500.0
B11,B14,11,14,0.0418,500.0
B12,B13,12,13,0.0476,500.0
B12,B23,12,23,0.0966,500.0
B13,B23,13,23,0.0865,500.0
B14,B16,14,16,0.0389,500.0
B15,B16,15,16,0.0173,500.0
B15,B21,15,21,0.049,500.0
B15,B21,15,21,0.049,500.0
B15,B24,15,24,0.0519,500.0
B16,B17,16,17,0.0259,500.0
B16,B19,16,19,0.0231,500.0
B17,B18,17,18,0.0144,500.0
B17,B22,17,22,0.1053,500.0
B18,B21,18,21,0.0259,500.0
B18,B21,18,21,0.0259,500.0
B19,B20,19,20,0.0396,500.0
B19,B20,19,20,0.0396,500.0
B20,B23,20,23,0.0216,500.0
B20,B23,20,23,0.0216,500.0
B21,B22,21,22,0.0678,500.0
