Zone,Type,Max Power (MW),Cost ($/MW)
B1,DRShift,12.959999999999999,18.0
B2,DRShift,11.639999999999999,18.0
B3,DRShift,21.599999999999998,18.0
B4,DRShift,8.879999999999999,18.0
B5,DRShift,8.52,18.0
B6,DRShift,16.32,18.0
B7,DRShift,15.0,18.0
B8,DRShift,20.52,18.0
B9,DRShift,21.0,18.0
B10,DRShift,23.4,18.0
B11,DRShift,3.0,18.0
B12,DRShift,3.0,18.0
B13,DRShift,31.799999999999997,18.0
B14,DRShift,23.279999999999998,18.0
B15,DRShift,38.04,18.0
B16,DRShift,12.0,18.0
B17,DRShift,3.0,18.0
B18,DRShift,39.96,18.0
B19,DRShift,21.72,18.0
B20,DRShift,15.36,18.0
B21,DRShift,3.0,18.0
B22,DRShift,3.0,18.0
B23,DRShift,3.0,18.0
B24,DRShift,3.0,18.0
