From_zone,To_zone,from_bus,to_bus,X,Capacity (MW)
Z1,Z1,1,2,0.0139,175.0
Z1,Z1,1,3,0.2112,175.0
Z1,Z1,1,5,0.0845,175.0
Z1,Z1,2,4,0.1267,175.0
Z1,Z1,2,6,0.192,175.0
Z1,Z2,3,9,0.119,52.5
Z1,Z4,3,24,0.0839,120.0
Z1,Z2,4,9,0.1037,52.5
Z1,Z2,5,10,0.0883,52.5
Z1,Z2,6,10,0.0605,52.5
Z2,Z2,7,8,0.0614,175.0
Z2,Z2,8,9,0.1651,175.0
Z2,Z2,8,10,0.1651,175.0
Z2,Z2,9,11,0.0839,400.0
Z2,Z2,9,12,0.0839,400.0
Z2,Z2,10,11,0.0839,400.0
Z2,Z2,10,12,0.0839,400.0
Z2,Z3,11,13,0.0476,150.0
Z2,Z3,11,14,0.0418,150.0
Z2,Z3,12,13,0.0476,150.0
Z2,Z4,12,23,0.0966,150.0
Z3,Z4,13,23,0.0865,150.0
Z3,Z3,14,16,0.0389,500.0
Z3,Z3,15,16,0.0173,500.0
Z3,Z4,15,21,0.049,150.0
Z3,Z4,15,21,0.049,150.0
Z3,Z4,15,24,0.0519,150.0
Z3,Z3,16,17,0.0259,500.0
Z3,Z4,16,19,0.0231,150.0
Z3,Z3,17,18,0.0144,500.0
Z3,Z4,17,22,0.1053,150.0
Z3,Z4,18,21,0.0259,150.0
Z3,Z4,18,21,0.0259,150.0
Z4,Z4,19,20,0.0396,500.0
Z4,Z4,19,20,0.0396,500.0
Z4,Z4,20,23,0.0216,500.0
Z4,Z4,20,23,0.0216,500.0
Z4,Z4,21,22,0.0678,500.0
