Line,From_bus,To_bus,From_zone,To_zone,HoursBinding,AvgAbsShadow,MaxAbsShadow,AnnCongestionRent,AnnLineLoss_MWh,AvgLineLoss_MW,AvgLoading_pct,P95Loading_pct
1,1,2,Z1,Z1,0,0.0,0.0,503.9949185033896,0.0,0.0,9.635511215957528,35.23069454869148
2,1,3,Z1,Z1,0,0.0,0.0,13251.056665897708,0.0,0.0,17.857530969063358,31.55413753814763
3,1,5,Z1,Z1,0,0.0,0.0,23905.24540324132,0.0,0.0,21.881033720224526,50.81279810381706
4,2,4,Z1,Z1,0,0.0,0.0,22389.540352972817,0.0,0.0,18.314245219437474,39.76155094660189
5,2,6,Z1,Z1,0,0.0,0.0,17943.197704752623,0.0,0.0,17.451164836793687,36.82792791027198
6,3,9,Z1,Z2,0,0.0,0.0,-1317.7416208412485,0.0,0.0,9.380674832497906,21.4626335996017
7,3,24,Z1,Z4,45,0.10339703471398906,8.32548566243145,169547.06428402173,0.0,0.0,59.17539930066334,99.99999999999997
8,4,9,Z1,Z2,0,0.0,0.0,76811.01059368908,0.0,0.0,52.87871633414582,85.85262855646315
9,5,10,Z1,Z2,60,0.048082478798239923,3.393741606267586,104563.72058919308,0.0,0.0,63.25207048690808,99.99999999999997
10,6,10,Z1,Z2,321,28.879834098519648,83.4278236413686,928781.8992898581,0.0,0.0,66.1326719775319,100.00000000000009
11,7,8,Z2,Z2,0,0.0,0.0,-2.0496250577956755e-11,0.0,0.0,24.585900524977045,39.47033725291592
12,8,9,Z2,Z2,0,0.0,0.0,-27152.104536811014,0.0,0.0,12.78908113819316,23.575473032509347
13,8,10,Z2,Z2,0,0.0,0.0,17595.50264136842,0.0,0.0,9.171387640772677,17.216859341086067
14,9,11,Z2,Z2,0,0.0,0.0,68001.22446245281,0.0,0.0,11.946261558983245,21.974620233982634
15,9,12,Z2,Z2,0,0.0,0.0,-611.1448442288622,0.0,0.0,16.74495287313827,24.74682354921559
16,10,11,Z2,Z2,0,0.0,0.0,-83203.26898449444,0.0,0.0,15.107929223850073,27.756555802752928
17,10,12,Z2,Z2,0,0.0,0.0,-155389.36157299817,0.0,0.0,19.90662053800509,29.532203515077615
18,11,13,Z2,Z3,78,0.48115965147649886,12.280592426520247,-68632.33792884013,0.0,0.0,53.005760256604255,100.0
19,11,14,Z2,Z3,0,0.0,0.0,28015.1115038123,0.0,0.0,19.86738232809924,45.547422678962945
20,12,13,Z2,Z3,145,3.008635909052379,23.371390714444697,300362.3440442734,0.0,0.0,42.37589319250438,100.00000000000003
21,12,23,Z2,Z4,42,2.267923481354758,71.10204897826263,1.390438961831641e6,0.0,0.0,68.17378239251953,99.99999999999997
22,13,23,Z3,Z4,410,42.834537776786625,81.05809870211607,2.3618464147792514e6,0.0,0.0,73.00106706642765,100.00000000000006
23,14,16,Z3,Z3,0,0.0,0.0,276291.8087834994,0.0,0.0,24.089796403535924,33.46307564808189
24,15,16,Z3,Z3,0,0.0,0.0,12333.186992432793,0.0,0.0,9.793330269604226,13.933806980852374
25,15,21,Z3,Z4,0,0.0,0.0,9828.0777871348,0.0,0.0,47.46932041379587,69.21402602735799
26,15,21,Z3,Z4,0,0.0,0.0,9828.0777871348,0.0,0.0,47.46932041379587,69.21402602735799
27,15,24,Z3,Z4,0,0.0,0.0,96315.26870012493,0.0,0.0,47.90433775992539,89.1386538412052
28,16,17,Z3,Z3,0,0.0,0.0,-13468.668484156937,0.0,0.0,20.183328326622597,37.01120280211839
29,16,19,Z3,Z4,321,0.42406083149790663,5.183589223956983,327347.49355497345,0.0,0.0,81.72557589324951,100.00000000000006
30,17,18,Z3,Z3,0,0.0,0.0,1088.0267963648373,0.0,0.0,11.190085977710051,18.86459353422554
31,17,22,Z3,Z4,0,0.0,0.0,-8728.532064708837,0.0,0.0,68.3695208940329,83.77600387869788
32,18,21,Z3,Z4,0,0.0,0.0,-1970.99824218499,0.0,0.0,24.86654059414832,55.807922823819354
33,18,21,Z3,Z4,0,0.0,0.0,-1970.99824218499,0.0,0.0,24.86654059414832,55.807922823819354
34,19,20,Z4,Z4,0,0.0,0.0,206903.49105348505,0.0,0.0,15.462231441420624,24.48893267281588
35,19,20,Z4,Z4,0,0.0,0.0,206903.49105348505,0.0,0.0,15.462231441420624,24.48893267281588
36,20,23,Z4,Z4,0,0.0,0.0,146374.5509597161,0.0,0.0,19.278862645426983,31.20548110501206
37,20,23,Z4,Z4,0,0.0,0.0,146374.5509597161,0.0,0.0,19.278862645426983,31.20548110501206
38,21,22,Z4,Z4,0,0.0,0.0,8277.601556522292,0.0,0.0,30.24861844043327,35.365985559000904
