Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),RM_REG_UP,RM_REG_DN,RM_NSPIN
20.0,16.0,Z1,1,Coal,1,0,0,0,35.0,0.95,1.0,1.0,0.08,0.1,0.4,0.4,1,6,6,12.0,0.08,0.08,0.1
20.0,16.0,Z1,1,Coal,1,0,0,0,35.0,0.95,1.0,1.0,0.08,0.1,0.4,0.4,1,6,6,12.0,0.08,0.08,0.1
76.0,19.0,Z1,1,Coal,1,0,0,0,35.0,0.95,1.0,1.0,0.08,0.1,0.4,0.4,1,6,6,12.0,0.08,0.08,0.1
76.0,19.0,Z1,1,Coal,1,0,0,0,35.0,0.95,1.0,1.0,0.08,0.1,0.4,0.4,1,6,6,12.0,0.08,0.08,0.1
20.0,16.0,Z1,2,Coal,1,0,0,0,35.0,0.95,1.0,1.0,0.08,0.1,0.4,0.4,1,6,6,12.0,0.08,0.08,0.1
20.0,16.0,Z1,2,Coal,1,0,0,0,35.0,0.95,1.0,1.0,0.08,0.1,0.4,0.4,1,6,6,12.0,0.08,0.08,0.1
76.0,19.0,Z1,2,Coal,1,0,0,0,35.0,0.95,1.0,1.0,0.08,0.1,0.4,0.4,1,6,6,12.0,0.08,0.08,0.1
76.0,19.0,Z1,2,Coal,1,0,0,0,35.0,0.95,1.0,1.0,0.08,0.1,0.4,0.4,1,6,6,12.0,0.08,0.08,0.1
100.0,0.0,Z2,7,WindOn,0,0,1,0,5.0,0.0,1.0,1.0,0.08,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
100.0,0.0,Z2,7,WindOn,0,0,1,0,5.0,0.0,1.0,1.0,0.08,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
100.0,0.0,Z2,7,WindOn,0,0,1,0,5.0,0.0,1.0,1.0,0.08,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
197.0,0.0,Z3,13,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
197.0,0.0,Z3,13,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
197.0,0.0,Z3,13,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
1.0,0.0,Z3,14,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
12.0,0.0,Z3,15,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
12.0,0.0,Z3,15,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
12.0,0.0,Z3,15,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
12.0,0.0,Z3,15,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
12.0,0.0,Z3,15,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
155.0,0.0,Z3,15,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
155.0,0.0,Z3,16,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
400.0,0.0,Z3,18,SolarPV,0,0,1,0,4.0,0.0,1.0,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
400.0,100.0,Z4,21,NGCC,1,0,0,0,25.0,0.4,1.0,1.0,0.05,0.15,0.9,0.9,1,3,3,8.0,0.12,0.12,0.15
50.0,0.0,Z4,22,Hydro,0,0,0,0,12.0,0.0,1.0,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
50.0,0.0,Z4,22,Hydro,0,0,0,0,12.0,0.0,1.0,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
50.0,0.0,Z4,22,Hydro,0,0,0,0,12.0,0.0,1.0,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
50.0,0.0,Z4,22,Hydro,0,0,0,0,12.0,0.0,1.0,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
50.0,0.0,Z4,22,Hydro,0,0,0,0,12.0,0.0,1.0,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
50.0,0.0,Z4,22,Hydro,0,0,0,0,12.0,0.0,1.0,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
155.0,0.0,Z4,23,Hydro,0,0,0,0,12.0,0.0,1.0,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
