Bus,Zone,State,Hour,Line,From_bus,To_bus,PTDF,DeltaPTDF,ShadowPrice,Contribution
2,Z1,TS,1,22,13,23,0.0013949379675099968,0.0013949379675099968,15.087804343561821,0.021046551125196628
3,Z1,TS,1,22,13,23,-0.044057936669983006,-0.044057936669983006,15.087804343561821,-0.6647375282577412
4,Z1,TS,1,22,13,23,0.005423557820918518,0.005423557820918518,15.087804343561821,0.0818295792480131
5,Z1,TS,1,22,13,23,0.009147328241619682,0.009147328241619682,15.087804343561821,0.13801309877589515
6,Z1,TS,1,22,13,23,0.014558212858096666,0.014558212858096666,15.087804343561821,0.21965146719488843
7,Z2,TS,1,22,13,23,0.013713436598877358,0.013713436598877358,15.087804343561821,0.20690564828170144
8,Z2,TS,1,22,13,23,0.013713436598877358,0.013713436598877358,15.087804343561821,0.20690564828170144
9,Z2,TS,1,22,13,23,0.0087208575746555,0.0087208575746555,15.087804343561821,0.13157859279447126
10,Z2,TS,1,22,13,23,0.018706015623099106,0.018706015623099106,15.087804343561821,0.28223270376893
11,Z2,TS,1,22,13,23,0.03859735319885904,0.03859735319885904,15.087804343561821,0.5823493132437352
12,Z2,TS,1,22,13,23,0.016186244882466165,0.016186244882466165,15.087804343561821,0.2442148958436283
13,Z3,TS,1,22,13,23,0.1732152694528845,0.1732152694528845,15.087804343561821,2.6134380948224623
14,Z3,TS,1,22,13,23,-0.054822600101861026,-0.054822600101861026,15.087804343561821,-0.8271526639422115
15,Z3,TS,1,22,13,23,-0.13261677431453378,-0.13261677431453378,15.087804343561821,-2.0008959435319804
16,Z3,TS,1,22,13,23,-0.1417612647764547,-0.1417612647764547,15.087804343561821,-2.1388662264430107
17,Z3,TS,1,22,13,23,-0.1385614837141496,-0.1385614837141496,15.087804343561821,-2.090588555832717
18,Z3,TS,1,22,13,23,-0.13702519090055856,-0.13702519090055856,15.087804343561821,-2.067409270446835
19,Z4,TS,1,22,13,23,-0.20845221325087135,-0.20845221325087135,15.087804343561821,-3.1450862085115716
20,Z4,TS,1,22,13,23,-0.2656158833717999,-0.2656158833717999,15.087804343561821,-4.007560478856053
21,Z4,TS,1,22,13,23,-0.1356435942383359,-0.1356435942383359,15.087804343561821,-2.046564010325502
22,Z4,TS,1,22,13,23,-0.13678647642470318,-0.13678647642470318,15.087804343561821,-2.0638075931411533
23,Z4,TS,1,22,13,23,-0.2967960670741246,-0.2967960670741246,15.087804343561821,-4.478000989953043
24,Z4,TS,1,22,13,23,-0.09877138643712446,-0.09877138643712446,15.087804343561821,-1.4902433533056696
2,Z1,TS,1,29,16,19,-0.0032134779155622074,-0.0032134779155622074,4.095066874496623,-0.01315940696394525
3,Z1,TS,1,29,16,19,0.10149498385720512,0.10149498385720512,4.095066874496623,0.41562874632121016
4,Z1,TS,1,29,16,19,-0.012494091986331411,-0.012494091986331411,4.095066874496623,-0.05116414222013947
5,Z1,TS,1,29,16,19,-0.0210724333092126,-0.0210724333092126,4.095066874496623,-0.08629302360959577
6,Z1,TS,1,29,16,19,-0.033537330404057174,-0.033537330404057174,4.095066874496623,-0.13733761079670298
7,Z2,TS,1,29,16,19,-0.031591243971670215,-0.031591243971670215,4.095066874496623,-0.12936825671252783
8,Z2,TS,1,29,16,19,-0.031591243971670215,-0.031591243971670215,4.095066874496623,-0.12936825671252783
9,Z2,TS,1,29,16,19,-0.020089985270773113,-0.020089985270773113,4.095066874496623,-0.08226983319146804
10,Z2,TS,1,29,16,19,-0.04309250267256717,-0.04309250267256717,4.095066874496623,-0.17646668023358703
11,Z2,TS,1,29,16,19,0.009162996704975068,0.009162996704975068,4.095066874496623,0.037523084277665104
12,Z2,TS,1,29,16,19,-0.13536637396598727,-0.13536637396598727,4.095066874496623,-0.5543343539488366
13,Z3,TS,1,29,16,19,-0.13181357493748108,-0.13181357493748108,4.095066874496623,-0.5397854043354571
14,Z3,TS,1,29,16,19,0.17357026713008694,0.17357026713008694,4.095066874496623,0.710781851321949
15,Z3,TS,1,29,16,19,0.30550539552204237,0.30550539552204237,4.095066874496623,1.2510650251823046
16,Z3,TS,1,29,16,19,0.32657129152092085,0.32657129152092085,4.095066874496623,1.3373312780689028
17,Z3,TS,1,29,16,19,0.3192000492020198,0.3192000492020198,4.095066874496623,1.3071455478248832
18,Z3,TS,1,29,16,19,0.31566093624983177,0.31566093624983177,4.095066874496623,1.2926526436092762
