Line,From_bus,To_bus,From_zone,To_zone,HoursBinding,AvgAbsShadow,MaxAbsShadow,AnnCongestionRent,AnnLineLoss_MWh,AvgLineLoss_MW,AvgLoading_pct,P95Loading_pct
1,1,2,Z1,Z1,0,0.0,0.0,-716.5736218071303,0.0,0.0,10.982839127690761,36.00042432252046
2,1,3,Z1,Z1,0,0.0,0.0,13364.479527338963,0.0,0.0,18.062313928183627,32.173546602024565
3,1,5,Z1,Z1,0,0.0,0.0,23289.41737158448,0.0,0.0,21.55354949515023,50.890934218975474
4,2,4,Z1,Z1,0,0.0,0.0,20992.687365480913,0.0,0.0,18.096521644100683,39.913097019311444
5,2,6,Z1,Z1,0,0.0,0.0,10534.756380976567,0.0,0.0,17.218760891150602,36.87255566200302
6,3,9,Z1,Z2,0,0.0,0.0,-4977.5602863483455,0.0,0.0,9.08784777018041,17.088735827764427
7,3,24,Z1,Z4,37,0.007930052915656086,1.0971818394450241,134005.82216154734,0.0,0.0,57.90747819039201,99.99999999999997
8,4,9,Z1,Z2,0,0.0,0.0,69417.05622068408,0.0,0.0,50.507561460998126,86.34643194077768
9,5,10,Z1,Z2,46,0.013592271294180714,3.0122297407436585,94032.34428974993,0.0,0.0,60.47935781623882,99.99999999999997
10,6,10,Z1,Z2,285,28.721651304619357,83.4649783545177,834519.8635882632,0.0,0.0,66.40162218783469,100.00000000000007
11,7,8,Z2,Z2,0,0.0,0.0,-1.4839936218050983e-11,0.0,0.0,29.184776829606555,44.22466833639464
12,8,9,Z2,Z2,0,0.0,0.0,-21839.05924957317,0.0,0.0,10.297048527517498,21.03417682358968
13,8,10,Z2,Z2,0,0.0,0.0,13044.363334202324,0.0,0.0,7.28871706000668,15.036615791576043
14,9,11,Z2,Z2,0,0.0,0.0,31242.819164563294,0.0,0.0,11.318936864656388,21.30876624767865
15,9,12,Z2,Z2,0,0.0,0.0,35754.88381492665,0.0,0.0,16.445455861840543,23.02204479809121
16,10,11,Z2,Z2,0,0.0,0.0,-108594.56340048119,0.0,0.0,14.435876833248084,27.098342996839452
17,10,12,Z2,Z2,0,0.0,0.0,-93040.18946121789,0.0,0.0,19.562395830432237,28.54622500588578
18,11,13,Z2,Z3,1,0.003963503558600591,2.6634743913795975,-184034.26129341908,0.0,0.0,49.44082050624845,87.69560760066983
19,11,14,Z2,Z3,0,0.0,0.0,13434.34816994981,0.0,0.0,20.445566410664764,45.11240717202956
20,12,13,Z2,Z3,41,0.16893787795826437,19.438426883167473,77518.24314919637,0.0,0.0,37.910545938882144,99.99999999999997
21,12,23,Z2,Z4,31,0.5879554753079405,57.46305423134251,1.2265552195838427e6,0.0,0.0,71.46585687729261,99.53811431764115
22,13,23,Z3,Z4,392,45.0066049110494,81.01435150628494,2.155997510826283e6,0.0,0.0,71.91702832127461,100.00000000000006
23,14,16,Z3,Z3,0,0.0,0.0,242169.52606851797,0.0,0.0,23.9694860528104,32.596039880265835
24,15,16,Z3,Z3,0,0.0,0.0,13914.703316836143,0.0,0.0,10.519987249414058,14.01376617281117
25,15,21,Z3,Z4,0,0.0,0.0,8438.48027218492,0.0,0.0,48.114865634437926,64.81588554404469
26,15,21,Z3,Z4,0,0.0,0.0,8438.48027218492,0.0,0.0,48.114865634437926,64.81588554404469
27,15,24,Z3,Z4,0,0.0,0.0,79798.97793445327,0.0,0.0,46.88760071809849,90.77942244787899
28,16,17,Z3,Z3,0,0.0,0.0,-11323.247256803874,0.0,0.0,20.32990737353511,37.93276094701643
29,16,19,Z3,Z4,391,0.5001864894790704,4.095066874496623,328065.4453855161,0.0,0.0,84.48491916981655,100.00000000000007
30,17,18,Z3,Z3,0,0.0,0.0,1730.606634368871,0.0,0.0,10.510774748455507,15.612407488921972
31,17,22,Z3,Z4,0,0.0,0.0,-8280.83352392098,0.0,0.0,76.45244873588612,81.12291539614174
32,18,21,Z3,Z4,0,0.0,0.0,-1859.0349914631743,0.0,0.0,20.863780941447235,47.96801222722756
33,18,21,Z3,Z4,0,0.0,0.0,-1859.0349914631743,0.0,0.0,20.863780941447235,47.96801222722756
34,19,20,Z4,Z4,0,0.0,0.0,197363.7217593756,0.0,0.0,16.702947057128437,24.601578943213973
35,19,20,Z4,Z4,0,0.0,0.0,197363.7217593756,0.0,0.0,16.702947057128437,24.601578943213973
36,20,23,Z4,Z4,0,0.0,0.0,137883.94243656172,0.0,0.0,20.387170170373,31.391645820183346
37,20,23,Z4,Z4,0,0.0,0.0,137883.94243656172,0.0,0.0,20.387170170373,31.391645820183346
38,21,22,Z4,Z4,0,0.0,0.0,7966.812018529957,0.0,0.0,34.22349654664639,35.36737877270123
