Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Previous,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Resource_Type,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,CapRes_10,CapRes_11,CapRes_12,CapRes_13,CapRes_14,CapRes_15,CapRes_16,CapRes_17,CapRes_18,CapRes_19,CapRes_20,CapRes_21,CapRes_22,CapRes_23,CapRes_24,CapRes_25,CapRes_26,CapRes_27,CapRes_28,CapRes_29,CapRes_30,CapRes_31,CapRes_32,CapRes_33,CapRes_34,CapRes_35,CapRes_36,CapRes_37,CapRes_38,CapRes_39,CapRes_40,CapRes_41,CapRes_42,CapRes_43,CapRes_44,CapRes_45,CapRes_46,CapRes_47,CapRes_48,CapRes_49,CapRes_50,CapRes_51,CapRes_52,CapRes_53,CapRes_54,CapRes_55,CapRes_56,CapRes_57,CapRes_58,CapRes_59,CapRes_60,CapRes_61,CapRes_62,CapRes_63,CapRes_64,region,cluster,VRE_Inv_Cost_per_Mwyr_withoutInterconnect,CCS_Rate,MGA,Production_Tax_Credit_Dollars_MWh,Investment_Tax_Credit_Percentage,Captured_CO2_Incentive_PerMetricTon,Transmission Region,interconnect_annuity,Regional Cost Multiplier_InvCost,OFFSHORE_WIND,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,ESR_17,ESR_18,ESR_19,ESR_20,ESR_21,ESR_22,ESR_23,ESR_24
ERC_REST_batteries_1,1,0,0,1,0,0,0,0,0,0,2666.9,2666.9,4293.7,0,0,-1,-1,0,-1,0,0,0,0,6235,0,0,0,0,10.34,None,56.74,0,0,0,0,1,1,0,0,0,0.92,0.92,1,10,0,0,0,0,Batteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0.162,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_conventional_hydroelectric_1,1,0,0,0,0,1,0,0,0,-1,483,483,0,0,0,-1,-1,0,-1,0,0,0,0,47048,0,0,0,0,10.34,None,21.96,0,0,0,0,0.5,0.5,1,0.0069,0,1,1,0,0,0,0,0,0,Conventional Hydroelectric,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0.162,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_conventional_steam_coal_1,1,1,0,0,0,0,0,0,0,0,13634.6,13634.6,0,0,0,-1,-1,0,-1,0,0,0,0,62893,0,0,8,0,11.28,west_south_central_coal,649.27,140,16.5,24,24,0.57,0.57,0,0.341,0,1,1,0,0,0.095,0.19,0,0,Conventional Steam Coal,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_natural_gas_fired_combined_cycle_1,1,1,0,0,0,0,0,0,0,0,4144.9,4144.9,0,0,0,-1,-1,0,-1,0,0,0,0,16492,0,0,4.55,0,8.28,west_south_central_naturalgas,230.27,90.959,2,6,6,0.64,0.64,0,0.446,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_natural_gas_fired_combined_cycle_2,1,1,0,0,0,0,0,0,0,0,28162.5,28162.5,0,0,0,-1,-1,0,-1,0,0,0,0,10882,0,0,3.59,0,7.39,west_south_central_naturalgas,521.53,90.959,2,6,6,0.64,0.64,0,0.449,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,2,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_natural_gas_fired_combined_cycle_3,1,1,0,0,0,0,0,0,0,0,4618.8,4618.8,0,0,0,-1,-1,0,-1,0,0,0,0,10450,0,0,3.6,0,10.9,west_south_central_naturalgas,659.83,90.959,2,6,6,0.64,0.64,0,0.578,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,3,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_natural_gas_fired_combined_cycle_4,1,1,0,0,0,0,0,0,0,0,1228.9,1228.9,0,0,0,-1,-1,0,-1,0,0,0,0,16492,0,0,4.55,0,11.75,west_south_central_naturalgas,204.82,90.959,2,6,6,0.64,0.64,0,0.457,0,1,1,0,0,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,4,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_natural_gas_fired_combustion_turbine_1,1,1,0,0,0,0,0,0,0,0,8353.5,8353.5,0,0,0,-1,-1,0,-1,0,0,0,0,10386,0,0,5.28,0,11.34,west_south_central_naturalgas,61.42,117.941,3.5,1,1,3.78,3.78,0,0.463,0,1,1,0,0,0.63,1.26,0,0,Natural Gas Fired Combustion Turbine,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_natural_gas_fired_combustion_turbine_2,1,1,0,0,0,0,0,0,0,0,1600.3,1600.3,0,0,0,-1,-1,0,-1,0,0,0,0,13945,0,0,5.28,0,11.35,west_south_central_naturalgas,34.79,117.941,3.5,1,1,3.78,3.78,0,0.442,0,1,1,0,0,0.63,1.26,0,0,Natural Gas Fired Combustion Turbine,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,2,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERC_REST_natural_gas_steam_turbine_1,1,1,0,0,0,0,0,0,0,0,10591.2,10591.2,0,0,0,-1,-1,0,-1,0,0,0,0,33249,0,0,1.06,0,12.8,west_south_central_naturalgas,235.36,99,13.7,24,24,0.57,0.57,0,0.162,0,1,1,0,0,0.095,0.19,0,0,Natural Gas Steam Turbine,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERC_REST,1,,0,1,0,0,0,Texas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
