Period_Index,Rep_Period_Index,Month,Rep_Period
1,1,1,15
2,1,1,15
3,1,1,15
4,1,1,15
5,1,1,15
6,1,1,15
7,1,2,15
8,2,2,67
9,1,2,15
10,2,2,67
11,1,2,15
12,1,3,15
13,1,3,15
14,1,3,15
15,1,3,15
16,1,3,15
17,1,3,15
18,1,3,15
19,1,4,15
20,1,4,15
21,1,4,15
22,1,4,15
23,1,4,15
24,1,4,15
25,3,5,38
26,3,5,38
27,3,5,38
28,3,5,38
29,3,5,38
30,3,5,38
31,3,6,38
32,3,6,38
33,3,6,38
34,3,6,38
35,3,6,38
36,3,6,38
37,3,7,38
38,3,7,38
39,3,7,38
40,3,7,38
41,3,7,38
42,3,7,38
43,4,8,43
44,3,8,38
45,3,8,38
46,3,8,38
47,3,8,38
48,3,8,38
49,3,9,38
50,3,9,38
51,3,9,38
52,3,9,38
53,2,9,67
54,2,9,67
55,2,10,67
56,2,10,67
57,2,10,67
58,1,10,15
59,1,10,15
60,2,10,67
61,1,11,15
62,2,11,67
63,2,11,67
64,2,11,67
65,2,11,67
66,2,11,67
67,2,12,67
68,2,12,67
69,2,12,67
70,2,12,67
71,1,12,15
72,1,12,15
73,1,12,15
