Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z27,Load_MW_z28,Load_MW_z29,Load_MW_z30,Load_MW_z31,Load_MW_z32,Load_MW_z33,Load_MW_z34,Load_MW_z35,Load_MW_z36,Load_MW_z37,Load_MW_z38,Load_MW_z39,Load_MW_z40,Load_MW_z41,Load_MW_z42,Load_MW_z43,Load_MW_z44,Load_MW_z45,Load_MW_z46,Load_MW_z47,Load_MW_z48,Load_MW_z49,Load_MW_z50,Load_MW_z51,Load_MW_z52,Load_MW_z53,Load_MW_z54,Load_MW_z55,Load_MW_z56,Load_MW_z57,Load_MW_z58,Load_MW_z59,Load_MW_z60,Load_MW_z61,Load_MW_z62,Load_MW_z63,Load_MW_z64
10000,1,1,1,10000,20,24,538.2857143,1,36797,1635,463,18694,1512,2767,9133,1900,2879,8681,3740,5755,7685,2478,3550,2792,2680,4265,2690,7230,1118,1605,994,1759,5492,1682,1070,810,183,3774,14682,6031,16111,5246,10189,7546,11844,1836,20559,3760,617,15816,20340,2414,6501,9627,1400,1403,8614,6525,2166,6835,1680,1216,2119,1148,3095,3731,16782,6612,2434,8454,3957,129
,,,,,,,349.7142857,2,34757,1544,432,17934,1442,2659,8927,1828,2765,8330,3617,5497,7309,2348,3394,2671,2590,4076,2510,6786,1076,1516,938,1660,5173,1584,1011,765,173,3683,14133,5881,15778,5127,9804,7348,11652,1792,20583,3743,596,15589,20073,2303,6218,9184,1322,1334,8041,6078,2018,6367,1589,1134,1986,1105,2979,3495,15863,6276,2320,8004,3744,120
,,,,,,,699.4285714,3,33514,1489,416,17342,1410,2681,8708,1811,2737,8109,3576,5349,7073,2267,3291,2596,2544,3953,2455,6648,1064,1453,899,1591,4959,1519,969,733,166,3431,11967,5344,15247,4738,9884,7146,10517,1670,20858,3784,590,15519,19970,2231,6086,8932,1273,1316,7471,5635,1870,5902,1538,1054,1938,1040,2802,3306,14906,6038,2255,7685,3591,111
,,,,,,,3.428571429,4,32828,1459,408,17163,1394,2591,8909,1810,2737,8055,3564,5285,6972,2231,3282,2587,2540,3941,2403,6518,1052,1415,876,1549,4853,1486,943,713,161,3659,14078,5877,15795,5116,9541,7296,11761,1780,21671,3863,587,15570,19923,2212,6040,8856,1242,1310,7123,5367,1782,5622,1494,1005,1867,1000,2697,3196,14242,5881,2215,7437,3486,105
,,,,,,,397.7142857,5,32661,1451,409,17405,1438,2573,8992,1823,2758,8077,3592,5300,7000,2219,3270,2583,2542,3927,2358,6378,1048,1401,867,1534,4805,1472,934,707,160,3663,14047,5885,15951,5137,9471,7307,11994,1783,22732,4003,592,15842,20247,2227,6067,8830,1233,1332,6824,5144,1708,5388,1486,963,1834,973,2625,3145,13849,5865,2213,7345,3446,102
,,,,,,,384,6,32863,1461,418,18174,1499,2568,9138,1876,2837,8242,3673,5398,7132,2228,3261,2587,2582,3916,2345,6344,1038,1407,871,1540,4820,1476,938,710,160,3735,14263,6020,16316,5246,9450,7449,12357,1817,24043,4162,605,16368,20957,2262,6174,8923,1240,1423,6781,5118,1698,5361,1506,957,1800,964,2599,3082,13722,5861,2237,7374,3454,101
,,,,,,,836.5714286,7,33870,1505,462,19449,1545,2621,9412,1946,2944,8580,3823,5623,7399,2295,3355,2660,2661,4030,2384,6457,1050,1439,891,1577,4971,1522,960,727,164,3886,14791,6247,16847,5445,9640,7695,12937,1891,25251,4269,630,17021,21999,2352,6396,9190,1271,1468,6699,5065,1681,5306,1511,946,1821,953,2574,3099,13673,5956,2308,7447,3512,100
,,,,,,,510.8571429,8,35213,1564,541,21872,1588,2685,9497,2000,3027,8695,3981,5718,7677,2380,3462,2759,2750,4158,2467,6691,1090,1478,914,1618,5112,1565,985,745,169,4011,15140,6454,17292,5638,9859,7946,13482,1952,24946,4289,656,17526,22975,2464,6663,9589,1317,1499,6626,5015,1665,5252,1544,935,1865,949,2564,3194,13931,6044,2351,7678,3618,99
,,,,,,,459.4285714,9,35934,1597,593,24255,1612,2717,9555,2025,3066,8961,4099,5894,7868,2436,3568,2850,2834,4286,2565,6938,1160,1532,948,1678,5319,1629,1021,773,175,4106,15482,6529,17468,5756,9974,8105,13637,1999,23534,4164,676,17761,23868,2533,6846,9938,1344,1512,6661,5043,1674,5282,1602,940,1949,960,2591,3318,14569,6179,2360,8022,3690,99
,,,,,,,469.7142857,10,37070,1648,574,26102,1627,2759,9492,2038,3087,9175,4195,6039,8007,2518,3706,2956,2878,4451,2715,7332,1255,1599,990,1750,5555,1701,1065,807,182,4138,15502,6456,17289,5741,10123,8125,13157,2014,22146,4002,691,17496,23976,2630,7069,10240,1379,1511,6776,5142,1707,5387,1657,956,2068,961,2598,3466,15438,6192,2366,8192,3760,101
