State,Time Period,Allowance (tons)
z1,1,1.0e15
z2,1,1.0e15
z3,1,1.0e15
z4,1,1.0e15
z5,1,1.0e15
z6,1,1.0e15
z7,1,1.0e15
z8,1,1.0e15
z9,1,1.0e15
z10,1,1.0e15
z11,1,1.0e15
z12,1,1.0e15
z13,1,1.0e15
z14,1,1.0e15
z15,1,1.0e15
z16,1,1.0e15
z17,1,1.0e15
z18,1,1.0e15
z19,1,1.0e15
z20,1,1.0e15
z21,1,1.0e15
z22,1,1.0e15
z23,1,1.0e15
z24,1,1.0e15
z25,1,1.0e15
z26,1,1.0e15
z27,1,1.0e15
z28,1,1.0e15
z29,1,1.0e15
z30,1,1.0e15
z31,1,1.0e15
z32,1,1.0e15
z33,1,1.0e15
z34,1,1.0e15
z35,1,1.0e15
z36,1,1.0e15
z37,1,1.0e15
z38,1,1.0e15
z39,1,1.0e15
z40,1,1.0e15
z41,1,1.0e15
z42,1,1.0e15
z43,1,1.0e15
z44,1,1.0e15
z45,1,1.0e15
z46,1,1.0e15
z47,1,1.0e15
z48,1,1.0e15
z49,1,1.0e15
z50,1,1.0e15
z51,1,1.0e15
z52,1,1.0e15
z53,1,1.0e15
z54,1,1.0e15
z55,1,1.0e15
z56,1,1.0e15
z57,1,1.0e15
z58,1,1.0e15
z59,1,1.0e15
z60,1,1.0e15
z61,1,1.0e15
z62,1,1.0e15
z63,1,1.0e15
z64,1,1.0e15
