"Pmax (MW)","Pmin (MW)","Type","Zone","Flag_thermal","Flag_RET","Flag_VRE","Flag_mustrun","Cost ($/MWh)","EF","CC","AF","Flag_RPS"
"483.0","0","Hydro","z1","0","0","0","0","0.0","0.0","0.8","1.0","1"
"13634.6","0","Coal","z1","1","0","0","0","27.51440000000001","0.95","0.93","1.0","0"
"4144.9","0","NGCC","z1","1","0","0","0","34.93760000000001","0.4","0.93","1.0","0"
"28162.5","0","NGCC","z1","1","0","0","0","30.711300000000012","0.4","0.93","1.0","0"
"4618.8","0","NGCC","z1","1","0","0","0","43.60300000000002","0.4","0.93","1.0","0"
"1228.9","0","NGCC","z1","1","0","0","0","47.672500000000014","0.4","0.93","1.0","0"
"8353.5","0","NGCT","z1","1","0","0","0","46.89780000000002","0.4","0.93","1.0","0"
"1600.3","0","NGCT","z1","1","0","0","0","46.93450000000002","0.4","0.93","1.0","0"
"10591.2","0","Thermal","z1","1","0","0","0","48.03600000000003","0.4","0.93","1.0","0"
"5120.0","0","NuC","z1","1","0","0","0","10.36399999999999","0.0","0.93","1.0","0"
"12327.8","0","WindOn","z1","0","0","1","0","0.0","0.0","0.8","1.0","1"
"19.6","0","Hydro","z1","0","0","0","1","0.0","0.0","0.0","1.0","1"
"11977.4","0","SolarPV","z1","0","0","1","0","0.0","0.0","0.8","1.0","1"
"1994.6","0","NGCC","z2","1","0","0","0","29.226600000000012","0.4","0.93","1.0","0"
"318.0","0","NGCC","z2","1","0","0","0","38.57090000000001","0.4","0.93","1.0","0"
"75.1","0","NGCC","z2","1","0","0","0","63.82050000000002","0.4","0.93","1.0","0"
"1202.6","0","NGCC","z2","1","0","0","0","29.066500000000012","0.4","0.93","1.0","0"
"872.0","0","NGCT","z2","1","0","0","0","59.926300000000026","0.4","0.93","1.0","0"
"336.0","0","NGCT","z2","1","0","0","0","44.916000000000025","0.4","0.93","1.0","0"
"624.0","0","Thermal","z2","1","0","0","0","45.02660000000002","0.4","0.93","1.0","0"
"21135.0","0","WindOn","z2","0","0","1","0","0.0","0.0","0.8","1.0","1"
"8856.6","0","SolarPV","z2","0","0","1","0","0.0","0.0","0.8","1.0","1"
"43.5","0","Hydro","z4","0","0","0","0","0.0","0.0","0.8","1.0","1"
"4867.0","0","Coal","z4","1","0","0","0","33.692499999999995","0.95","0.93","1.0","0"
"31039.8","0","NGCC","z4","1","0","0","0","33.7036","0.4","0.93","1.0","0"
"2642.7","0","NGCC","z4","1","0","0","0","38.0616","0.4","0.93","1.0","0"
"158.0","0","NGCC","z4","1","0","0","0","73.9729","0.4","0.93","1.0","0"
"3699.2","0","NGCC","z4","1","0","0","0","33.5852","0.4","0.93","1.0","0"
"8915.8","0","NGCT","z4","1","0","0","0","55.0843","0.4","0.93","1.0","0"
"312.9","0","NGCT","z4","1","0","0","0","52.431999999999995","0.4","0.93","1.0","0"
"4631.5","0","Thermal","z4","1","0","0","0","62.652300000000004","0.4","0.93","1.0","0"
"3737.0","0","NuC","z4","1","0","0","0","10.36399999999999","0.0","0.93","1.0","0"
"9448.0","0","SolarPV","z4","0","0","1","0","0.0","0.0","0.8","1.0","1"
"957.3","0","NGCC","z15","1","0","0","0","29.77710000000001","0.4","0.93","1.0","0"
"865.8","0","NGCC","z15","1","0","0","0","30.988200000000013","0.4","0.93","1.0","0"
"933.0","0","NGCC","z15","1","0","0","0","47.12290000000002","0.4","0.93","1.0","0"
"1000.0","0","NGCC","z15","1","0","0","0","28.91970000000001","0.4","0.93","1.0","0"
"194.2","0","NGCT","z15","1","0","0","0","40.73220000000002","0.4","0.93","1.0","0"
"669.6","0","NGCT","z15","1","0","0","0","48.80620000000002","0.4","0.93","1.0","0"
"3401.2","0","Thermal","z15","1","0","0","0","40.54920000000002","0.4","0.93","1.0","0"
"1177.0","0","NuC","z15","1","0","0","0","10.36399999999999","0.0","0.93","1.0","0"
"94.5","0","SolarPV","z15","0","0","1","0","0.0","0.0","0.8","1.0","1"
"214.1","0","Hydro","z16","0","0","0","0","0.0","0.0","0.8","1.0","1"
"3984.1","0","Coal","z16","1","0","0","0","27.566300000000012","0.95","0.93","1.0","0"
"2428.0","0","NGCC","z16","1","0","0","0","30.497800000000012","0.4","0.93","1.0","0"
"232.0","0","NGCC","z16","1","0","0","0","43.37860000000001","0.4","0.93","1.0","0"
"1416.1","0","NGCC","z16","1","0","0","0","30.217500000000012","0.4","0.93","1.0","0"
"548.0","0","NGCC","z16","1","0","0","0","35.612400000000015","0.4","0.93","1.0","0"
"192.0","0","NGCT","z16","1","0","0","0","54.604800000000026","0.4","0.93","1.0","0"
"806.0","0","Thermal","z16","1","0","0","0","41.28320000000002","0.4","0.93","1.0","0"
"1854.0","0","NuC","z16","1","0","0","0","10.36399999999999","0.0","0.93","1.0","0"
"751.0","0","SolarPV","z16","0","0","1","0","0.0","0.0","0.8","1.0","1"
"320.3","0","NGCC","z17","1","0","0","0","36.612","0.4","0.93","1.0","0"
"1616.6","0","NGCC","z17","1","0","0","0","31.957500000000007","0.4","0.93","1.0","0"
"52.3","0","NGCC","z17","1","0","0","0","64.68580000000001","0.4","0.93","1.0","0"
"410.0","0","NGCC","z17","1","0","0","0","28.673100000000005","0.4","0.93","1.0","0"
"725.0","0","NGCT","z17","1","0","0","0","56.188200000000016","0.4","0.93","1.0","0"
"211.2","0","NGCT","z17","1","0","0","0","45.08380000000001","0.4","0.93","1.0","0"
"1289.6","0","Thermal","z17","1","0","0","0","44.38280000000002","0.4","0.93","1.0","0"
"1428.0","0","NuC","z17","1","0","0","0","10.381199999999993","0.0","0.93","1.0","0"
"184.5","0","WindOn","z17","0","0","1","0","0.0","0.0","0.8","1.0","1"
"463.4","0","SolarPV","z17","0","0","1","0","0.0","0.0","0.8","1.0","1"
"1.0","0","Hydro","z8","0","0","0","0","0.0","0.0","0.8","1.0","1"
"1869.6","0","Coal","z8","1","0","0","0","31.267399999999984","0.95","0.93","1.0","0"
"67.7","0","NGCC","z8","1","0","0","0","54.28539999999996","0.4","0.93","1.0","0"
"615.3","0","NGCC","z8","1","0","0","0","29.780099999999976","0.4","0.93","1.0","0"
"694.8","0","NGCC","z8","1","0","0","0","35.27459999999998","0.4","0.93","1.0","0"
"98.6","0","NGCT","z8","1","0","0","0","82.97629999999994","0.4","0.93","1.0","0"
"204.8","0","NGCT","z8","1","0","0","0","37.63649999999998","0.4","0.93","1.0","0"
"172.9","0","Thermal","z8","1","0","0","0","38.58539999999997","0.4","0.93","1.0","0"
"5939.0","0","WindOn","z8","0","0","1","0","0.0","0.0","0.8","1.0","1"
"1.7","0","Hydro","z8","0","0","0","1","0.0","0.0","0.0","1.0","1"
"117.1","0","SolarPV","z8","0","0","1","0","0.0","0.0","0.8","1.0","1"
"4242.8","0","Coal","z6","1","0","0","0","26.179999999999996","0.95","0.93","1.0","0"
"268.0","0","NGCC","z6","1","0","0","0","26.10910000000001","0.4","0.93","1.0","0"
"283.0","0","NGCC","z6","1","0","0","0","30.777400000000007","0.4","0.93","1.0","0"
"687.5","0","NGCC","z6","1","0","0","0","29.478700000000007","0.4","0.93","1.0","0"
"2501.8","0","NGCT","z6","1","0","0","0","47.013900000000014","0.4","0.93","1.0","0"
"552.0","0","NGCT","z6","1","0","0","0","67.40700000000001","0.4","0.93","1.0","0"
"116.3","0","Thermal","z6","1","0","0","0","33.38710000000002","0.4","0.93","1.0","0"
"1078.0","0","NuC","z6","1","0","0","0","10.36399999999999","0.0","0.93","1.0","0"
"3155.3","0","WindOn","z6","0","0","1","0","0.0","0.0","0.8","1.0","1"
"2.2","0","Hydro","z6","0","0","0","1","0.0","0.0","0.0","1.0","1"
"1116.4","0","SolarPV","z6","0","0","1","0","0.0","0.0","0.8","1.0","1"
"214.6","0","Hydro","z7","0","0","0","0","0.0","0.0","0.8","1.0","1"
"11513.9","0","Coal","z7","1","0","0","0","28.232","0.95","0.93","1.0","0"
"644.0","0","NGCC","z7","1","0","0","0","29.268100000000008","0.4","0.93","1.0","0"
"310.0","0","NGCC","z7","1","0","0","0","32.48960000000001","0.4","0.93","1.0","0"
"557.0","0","NGCC","z7","1","0","0","0","32.46220000000001","0.4","0.93","1.0","0"
"563.0","0","NGCC","z7","1","0","0","0","29.057500000000008","0.4","0.93","1.0","0"
"4030.0","0","NGCT","z7","1","0","0","0","46.838400000000014","0.4","0.93","1.0","0"
"65.0","0","NGCT","z7","1","0","0","0","119.49540000000003","0.4","0.93","1.0","0"
"704.2","0","Thermal","z7","1","0","0","0","49.63840000000002","0.4","0.93","1.0","0"
"1539.9","0","WindOn","z7","0","0","1","0","0.0","0.0","0.8","1.0","1"
"5.1","0","Hydro","z7","0","0","0","1","0.0","0.0","0.0","1.0","1"
"2210.5","0","SolarPV","z7","0","0","1","0","0.0","0.0","0.8","1.0","1"
"237.0","0","Hydro","z18","0","0","0","0","0.0","0.0","0.8","1.0","1"
"1603.0","0","Coal","z18","1","0","0","0","27.929600000000008","0.95","0.93","1.0","0"
"3005.6","0","NGCC","z18","1","0","0","0","30.694600000000012","0.4","0.93","1.0","0"
"476.0","0","NGCC","z18","1","0","0","0","32.73560000000001","0.4","0.93","1.0","0"
"302.0","0","NGCC","z18","1","0","0","0","57.83840000000002","0.4","0.93","1.0","0"
"1352.4","0","NGCC","z18","1","0","0","0","32.039200000000015","0.4","0.93","1.0","0"
