Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF,Flag_RPS
z1,22566.2,0,80071,0,WindOn,0,1,0,0,0.8,1,1
z1,38961,0,84870,0,WindOn,0,1,0,0,0.8,1,1
z1,23395.7,0,78146,0,WindOn,0,1,0,0,0.8,1,1
z1,301175.4,0,60120,0,SolarPV,0,1,0,0,0.8,1,1
z1,337963,0,62680,0,SolarPV,0,1,0,0,0.8,1,1
z1,287372.2,0,65109,0,SolarPV,0,1,0,0,0.8,1,1
z4,4316.6,0,79733,0,WindOn,0,1,0,0,0.8,1,1
z4,2364.3,0,94318,0,WindOn,0,1,0,0,0.8,1,1
z4,4307.5,0,86892,0,WindOn,0,1,0,0,0.8,1,1
z4,62660.7,0,60000,0,SolarPV,0,1,0,0,0.8,1,1
z4,68803.2,0,61705,0,SolarPV,0,1,0,0,0.8,1,1
z4,53945,0,70640,0,SolarPV,0,1,0,0,0.8,1,1
z15,394,0,85173,0,WindOn,0,1,0,0,0.8,1,1
z15,328,0,84650,0,WindOn,0,1,0,0,0.8,1,1
z15,281.5,0,90029,0,WindOn,0,1,0,0,0.8,1,1
z15,7917.6,0,62567,0,SolarPV,0,1,0,0,0.8,1,1
z15,7232.1,0,64039,0,SolarPV,0,1,0,0,0.8,1,1
z15,6605.1,0,71629,0,SolarPV,0,1,0,0,0.8,1,1
z16,7521.8,0,79210,0,WindOn,0,1,0,0,0.8,1,1
z16,6770.4,0,85571,0,WindOn,0,1,0,0,0.8,1,1
z16,6850.1,0,83679,0,WindOn,0,1,0,0,0.8,1,1
z16,100454,0,61553,0,SolarPV,0,1,0,0,0.8,1,1
z16,93738.7,0,61433,0,SolarPV,0,1,0,0,0.8,1,1
z16,98077.3,0,69269,0,SolarPV,0,1,0,0,0.8,1,1
z17,4166.1,0,77927,0,WindOn,0,1,0,0,0.8,1,1
z17,67230.9,0,59726,0,SolarPV,0,1,0,0,0.8,1,1
z17,70631.8,0,61611,0,SolarPV,0,1,0,0,0.8,1,1
z17,67064.2,0,67740,0,SolarPV,0,1,0,0,0.8,1,1
z8,3364,0,76038,0,WindOn,0,1,0,0,0.8,1,1
z8,65893.9,0,61078,0,SolarPV,0,1,0,0,0.8,1,1
z6,2710.7,0,75396,0,WindOn,0,1,0,0,0.8,1,1
z6,59939.3,0,61268,0,SolarPV,0,1,0,0,0.8,1,1
z6,67507,0,62163,0,SolarPV,0,1,0,0,0.8,1,1
z6,63888.8,0,65741,0,SolarPV,0,1,0,0,0.8,1,1
z7,1389.2,0,74946,0,WindOn,0,1,0,0,0.8,1,1
z7,53364.9,0,60622,0,SolarPV,0,1,0,0,0.8,1,1
z18,1051,0,77501,0,WindOn,0,1,0,0,0.8,1,1
z18,1276.2,0,80676,0,WindOn,0,1,0,0,0.8,1,1
z18,24523,0,58744,0,SolarPV,0,1,0,0,0.8,1,1
z18,25212.1,0,60193,0,SolarPV,0,1,0,0,0.8,1,1
z18,24547.3,0,65695,0,SolarPV,0,1,0,0,0.8,1,1
z10,668.1,0,91439,0,WindOn,0,1,0,0,0.8,1,1
z10,1231.6,0,95219,0,WindOn,0,1,0,0,0.8,1,1
z10,684.9,0,94512,0,WindOn,0,1,0,0,0.8,1,1
z10,41976.4,0,62963,0,SolarPV,0,1,0,0,0.8,1,1
z10,32275.3,0,63557,0,SolarPV,0,1,0,0,0.8,1,1
z10,42168.9,0,68592,0,SolarPV,0,1,0,0,0.8,1,1
z5,21819.8,0,75853,0,WindOn,0,1,0,0,0.8,1,1
z5,26859.2,0,82082,0,WindOn,0,1,0,0,0.8,1,1
z5,183183.9,0,59062,0,SolarPV,0,1,0,0,0.8,1,1
z9,5127.7,0,75589,0,WindOn,0,1,0,0,0.8,1,1
z9,64878.1,0,57491,0,SolarPV,0,1,0,0,0.8,1,1
z9,86405.2,0,60104,0,SolarPV,0,1,0,0,0.8,1,1
z13,3971.6,0,80432,0,WindOn,0,1,0,0,0.8,1,1
z13,8047.9,0,85753,0,WindOn,0,1,0,0,0.8,1,1
z13,76462.4,0,63844,0,SolarPV,0,1,0,0,0.8,1,1
z13,121157.5,0,65533,0,SolarPV,0,1,0,0,0.8,1,1
z13,80101.2,0,69838,0,SolarPV,0,1,0,0,0.8,1,1
z11,3993.7,0,77187,0,WindOn,0,1,0,0,0.8,1,1
z11,88538.3,0,63169,0,SolarPV,0,1,0,0,0.8,1,1
z11,108402.5,0,64142,0,SolarPV,0,1,0,0,0.8,1,1
z11,96883.8,0,69576,0,SolarPV,0,1,0,0,0.8,1,1
z14,2611,0,74798,0,WindOn,0,1,0,0,0.8,1,1
