From_zone,To_zone,Capacity (MW)
z2,z1,5529.0
z46,z1,600.0
z3,z2,3332.0
z46,z2,220.0
z43,z4,3600.0
z13,z5,2150.0
z48,z5,1000.0
z7,z6,956.0
z9,z6,716.0
z11,z6,3400.0
z35,z6,3200.0
z42,z6,1200.0
z33,z7,5441.0
z35,z7,2044.0
z40,z7,2245.0
z42,z7,300.0
z9,z8,1616.0
z11,z8,223.0
z13,z8,1195.0
z11,z9,716.0
z35,z9,2000.0
z44,z9,1912.0
z48,z9,600.0
z33,z10,1400.0
z36,z10,1262.0
z41,z11,2100.0
z45,z11,300.0
z13,z12,1480.0
z35,z12,1200.0
z48,z13,2000.0
z18,z14,1200.0
z17,z15,200.0
z18,z15,1699.0
z18,z16,1732.0
z41,z16,1039.0
z42,z16,2143.0
z46,z16,792.0
z18,z17,1732.0
z42,z17,1949.0
z43,z17,94.0
z43,z18,797.0
z46,z18,905.0
z20,z19,2950.0
z24,z19,600.0
z26,z19,760.0
z21,z20,2000.0
z23,z20,800.0
z23,z22,3250.0
z24,z22,2150.0
z28,z22,1300.0
z29,z22,1600.0
z38,z22,755.0
z24,z23,3475.0
z25,z24,4450.0
z26,z24,1290.0
z26,z25,175.0
z31,z26,660.0
z28,z27,1930.0
z38,z27,500.0
z31,z30,6900.0
z32,z30,780.0
z38,z30,3565.0
z32,z31,300.0
z34,z32,1100.0
z37,z32,1200.0
z34,z33,4800.0
z35,z33,980.0
z36,z33,7400.0
z37,z33,1530.0
z39,z33,1219.0
z40,z33,1214.0
z42,z33,2119.0
z36,z34,2444.0
z37,z34,5400.0
z38,z34,2785.0
z39,z37,1000.0
z42,z39,216.0
z43,z39,1400.0
z42,z40,764.0
z45,z41,1130.0
z46,z41,1172.0
z43,z42,3196.0
z45,z44,1433.0
z48,z44,1440.0
z46,z45,2903.0
z47,z45,469.0
z47,z46,1289.0
z63,z47,610.0
z52,z49,3675.0
z54,z49,2750.0
z56,z49,100.0
z59,z49,3675.0
z52,z50,3750.0
z57,z50,3883.0
z58,z50,1400.0
z59,z50,2858.0
z62,z50,468.0
z52,z51,1273.0
z62,z51,1168.0
z64,z51,150.0
z57,z52,2814.0
z62,z52,1968.0
z64,z52,600.0
z55,z53,325.0
z59,z53,2000.0
z61,z53,400.0
z56,z55,350.0
z58,z55,680.0
z59,z55,2850.0
z61,z55,1500.0
z58,z56,235.0
z59,z56,300.0
z58,z57,250.0
z62,z57,4785.0
z60,z58,650.0
z61,z58,1600.0
z62,z58,250.0
z63,z58,350.0
z61,z60,1400.0
z63,z60,614.0
z63,z62,2400.0
z64,z62,255.0
