From_zone,To_zone,X,Capacity (MW),Cost (M$)
z2,z1,0.025843335029999998,5529.0,34.5368985
z3,z2,0.01972833266,3332.0,15.682058
z43,z4,0.03349186486,1.0e6,11875.5
z13,z5,0.04116352249,2150.0,20.245475
z48,z5,0.016776288519999998,1.0e6,3772.5
z7,z6,0.01409102244,956.0,3.135202
z8,z6,0.02759933967,1000.0,6.036
z9,z6,0.03234749513,716.0,5.065342
z11,z6,0.013747765709999998,3400.0,10.4601
z33,z6,0.0343872238,1.0e6,9369.5
z35,z6,0.01521595987,1.0e6,3947.0
z42,z6,0.029970947310000003,1.0e6,7778.0
z10,z7,0.03078628979,1000.0,8.1125
z33,z7,0.020398972589999998,1.0e6,5844.5
z35,z7,0.01968028287,1.0e6,5381.5
z40,z7,0.01467433708,1.0e6,4291.5
z42,z7,0.02687346447,1.0e6,7351.5
z9,z8,0.0063204723649999996,1616.0,2.23412
z11,z8,0.02435340074,223.0,1.21535
z12,z8,0.028786364959999998,1000.0,6.951
z13,z8,0.027498518969999997,1195.0,7.25843
z35,z8,0.020681095740000002,1.0e6,5364.5
z41,z8,0.02595799612,1.0e6,7183.0
z48,z8,0.04263120537,1.0e6,9251.5
z11,z9,0.02666293792,716.0,4.272372
z13,z9,0.02761765569,1000.0,6.1
z35,z9,0.02688682407,1.0e6,6974.0
z41,z9,0.0275333488,1.0e6,7618.5
z44,z9,0.0286050176,1.0e6,6540.0
z45,z9,0.030642197989999998,1.0e6,7080.0
z48,z9,0.037479151339999996,1.0e6,8133.0
z12,z10,0.02210026206,1000.0,6.0165
z33,z10,0.03366313515,1.0e6,10207.5
z36,z10,0.02164564955,1.0e6,7371.0
z41,z11,0.003419486861,1.0e6,963.5
z45,z11,0.03052560651,1.0e6,7208.5
z13,z12,0.02593611439,1480.0,9.35286
z35,z12,0.02326808723,1.0e6,6565.5
z48,z13,0.03341383425,1.0e6,7324.0
z18,z14,0.01276762166,1200.0,7.0302
z46,z14,0.03587968148,1.0e6,13017.5
z17,z15,0.01626660147,200.0,1.4794
z18,z15,0.01569210628,1699.0,12.236198
z18,z16,0.023277586410000002,1732.0,18.33322
z41,z16,0.02513629099,1.0e6,9868.5
z42,z16,0.02827007132,1.0e6,10612.5
z45,z16,0.039803445470000004,1.0e6,13809.5
z46,z16,0.02464497657,1.0e6,8840.0
z18,z17,0.01484164908,1732.0,11.689268
z42,z17,0.02839338799,1.0e6,10659.0
z43,z17,0.02896600315,1.0e6,11533.5
z43,z18,0.04308192015,1.0e6,17336.5
z46,z18,0.033627307839999995,1.0e6,12204.5
z20,z19,0.01230583687,2950.0,51.729725
z24,z19,0.007600939071,1.0e6,8515.0
z26,z19,0.005571427355,1.0e6,9509.5
z21,z20,0.01965384676,2000.0,56.012
z23,z20,0.009948282795,1.0e6,11145.0
z29,z20,0.01529938817,1.0e6,17136.0
z23,z22,0.01014523425,3250.0,26.892125
z24,z22,0.012554081,2150.0,22.010625
z28,z22,0.009450253042,1300.0,10.01715
z29,z22,0.01349216753,1600.0,17.6016
z38,z22,0.017509024959999998,1.0e6,14473.0
z24,z23,0.011235331270000001,3475.0,31.8431625
z25,z24,0.006559366758,4450.0,40.924425
z26,z24,0.008106006765,1290.0,14.66085
z26,z25,0.004839693529,175.0,1.6842875
z31,z26,0.014731550440000001,1.0e6,24797.0
z28,z27,0.005424195345,1930.0,8.53446
z38,z27,0.009927766539,1.0e6,8205.0
z31,z30,0.01019354404,6900.0,79.3983
z32,z30,0.01315087347,780.0,12.35481
z34,z30,0.01774630871,1000.0,11.9185
z38,z30,0.01047076324,3565.0,32.0582625
z32,z31,0.009147783534,300.0,3.98865
z34,z32,0.013661182400000001,1100.0,14.96935
z37,z32,0.0126411667,1200.0,14.0178
z34,z33,0.01983972065,4800.0,37.596
z35,z33,0.03750230264,980.0,11.50912
z36,z33,0.01558312259,7400.0,41.921
z37,z33,0.02962398462,1530.0,14.627565
z39,z33,0.03181647646,1.0e6,8850.0
z40,z33,0.01115609599,1.0e6,3705.5
z42,z33,0.0315908951,1.0e6,9897.0
z36,z34,0.01773551061,2444.0,18.728372
z37,z34,0.01745486983,5400.0,36.8793
z38,z34,0.01180560665,2785.0,21.3888
z38,z36,0.01922028253,1000.0,11.903
z39,z37,0.02180485611,1.0e6,5988.5
z42,z39,0.037897850840000004,216.0,2.170908
z43,z39,0.03314339968,1400.0,13.3623
z42,z40,0.020882690590000003,764.0,5.092824
z42,z41,0.03640767746,1000.0,11.56
