From_state,To_state,RPS
z1,z1,0.0
z2,z2,0.0
z3,z3,0.0
z4,z4,0.0
z5,z5,0.0
z6,z6,0.0
z7,z7,0.0
z8,z8,0.0
z9,z9,0.0
z10,z10,0.0
z11,z11,0.0
z12,z12,0.0
z13,z13,0.0
z14,z14,0.0
z15,z15,0.0
z16,z16,0.0
z17,z17,0.0
z18,z18,0.0
z19,z19,0.0
z20,z20,0.0
z21,z21,0.0
z22,z22,0.0
z23,z23,0.0
z24,z24,0.0
z25,z25,0.0
z26,z26,0.0
z27,z27,0.0
z28,z28,0.0
z29,z29,0.0
z30,z30,0.0
z31,z31,0.0
z32,z32,0.0
z33,z33,0.0
z34,z34,0.0
z35,z35,0.0
z36,z36,0.0
z37,z37,0.0
z38,z38,0.0
z39,z39,0.0
z40,z40,0.0
z41,z41,0.0
z42,z42,0.0
z43,z43,0.0
z44,z44,0.0
z45,z45,0.0
z46,z46,0.0
z47,z47,0.0
z48,z48,0.0
z49,z49,0.0
z50,z50,0.0
z51,z51,0.0
z52,z52,0.0
z53,z53,0.0
z54,z54,0.0
z55,z55,0.0
z56,z56,0.0
z57,z57,0.0
z58,z58,0.0
z59,z59,0.0
z60,z60,0.0
z61,z61,0.0
z62,z62,0.0
z63,z63,0.0
z64,z64,0.0
