Zone,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
z1,Battery,4293.7,2666.9,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z2,Battery,3224.5,1737.5,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z4,Battery,1117.1,542.6,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z15,Battery,0.5,0.5,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z16,Battery,30.0,10.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z8,Battery,13.5,7.8,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z6,Battery,0.5,0.3,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z7,Battery,59.6,36.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z10,Battery,1.5,1.3,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z10,PHS,31728.5,2047.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z9,Battery,4.0,1.1,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z13,Battery,35.0,17.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z11,PHS,6820.0,440.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z12,Battery,10.4,5.3,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z20,Battery,581.4,275.5,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z20,PHS,27404.0,1768.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z19,Battery,43.2,21.6,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z19,PHS,449.5,29.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z21,Battery,116.4,61.3,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z27,Battery,89.4,44.7,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z27,PHS,3720.0,240.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z22,Battery,141.1,50.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z29,Battery,40.0,20.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z23,Battery,14.4,23.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z23,PHS,18059.0,1165.1,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z24,Battery,89.5,32.3,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z25,Battery,39.8,17.2,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z26,Battery,80.0,10.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z34,Battery,117.0,58.5,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z36,Battery,24.0,12.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z35,Battery,165.6,92.8,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z37,Battery,74.6,40.5,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z37,PHS,46546.5,3003.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z31,Battery,108.3,77.1,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z31,PHS,23095.0,1490.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z38,Battery,32.9,28.4,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z38,PHS,7471.0,482.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z32,Battery,4.3,1.5,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z33,Battery,63.6,31.8,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z33,PHS,3689.0,238.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z45,Battery,3.5,2.2,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z44,Battery,11.1,3.9,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z47,Battery,400.0,200.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z48,Battery,1.6,0.8,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z46,Battery,46.2,22.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z46,PHS,7347.0,474.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z42,Battery,244.6,122.3,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z42,PHS,26098.9,1683.8,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z41,PHS,480.5,31.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z43,Battery,307.4,152.7,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z43,PHS,29391.1,1896.2,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z39,Battery,300.2,160.8,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z39,PHS,43338.0,2796.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z62,Battery,774.0,365.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z62,PHS,3352.6,216.3,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z60,Battery,488.7,240.2,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z60,PHS,9002.4,580.8,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z55,Battery,262.0,131.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z64,Battery,870.0,435.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z53,Battery,200.0,100.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z63,Battery,474.6,237.8,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z56,Battery,140.0,110.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z59,Battery,53.4,41.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z59,PHS,4867.0,314.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z52,Battery,15904.2,6638.2,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z57,Battery,1567.6,693.8,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z58,Battery,1.0,1.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z54,Battery,198.0,99.0,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z49,Battery,6299.9,2542.1,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z49,PHS,35292.0,2276.9,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z50,Battery,2898.1,1116.9,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z50,PHS,25156.5,1623.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
z51,Battery,1832.2,934.8,0.92,0.92,0.0,0.0,0.0,1.0,1.0
z51,PHS,651.0,42.0,0.866,0.866,0.0,0.0,0.95,1.0,1.0
