Zone,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MW/yr),Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
z1,Battery,345492.0,86373.0,0.92,0.92,79064.0,0.15,0.0,0.95,1.0,1.0
z2,Battery,15352.0,3838.0,0.92,0.92,79064.0,0.15,0.0,0.95,1.0,1.0
z4,Battery,196220.0,49055.0,0.92,0.92,79178.0,0.15,0.0,0.95,1.0,1.0
z15,Battery,32508.0,8127.0,0.92,0.92,80893.0,0.15,0.0,0.95,1.0,1.0
z16,Battery,26168.0,6542.0,0.92,0.92,80893.0,0.15,0.0,0.95,1.0,1.0
z17,Battery,22824.0,5706.0,0.92,0.92,80893.0,0.15,0.0,0.95,1.0,1.0
z8,Battery,16204.0,4051.0,0.92,0.92,77917.0,0.15,0.0,0.95,1.0,1.0
z6,Battery,27092.0,6773.0,0.92,0.92,81809.0,0.15,0.0,0.95,1.0,1.0
z7,Battery,63948.0,15987.0,0.92,0.92,81809.0,0.15,0.0,0.95,1.0,1.0
z18,Battery,39044.0,9761.0,0.92,0.92,80893.0,0.15,0.0,0.95,1.0,1.0
z10,Battery,79656.0,19914.0,0.92,0.92,79233.0,0.15,0.0,0.95,1.0,1.0
z5,Battery,11724.0,2931.0,0.92,0.92,78203.0,0.15,0.0,0.95,1.0,1.0
z9,Battery,24620.0,6155.0,0.92,0.92,78203.0,0.15,0.0,0.95,1.0,1.0
z13,Battery,59776.0,14944.0,0.92,0.92,77917.0,0.15,0.0,0.95,1.0,1.0
z11,Battery,35532.0,8883.0,0.92,0.92,81809.0,0.15,0.0,0.95,1.0,1.0
z14,Battery,22956.0,5739.0,0.92,0.92,80893.0,0.15,0.0,0.95,1.0,1.0
z12,Battery,51744.0,12936.0,0.92,0.92,77917.0,0.15,0.0,0.95,1.0,1.0
z20,Battery,56800.0,14200.0,0.92,0.92,81464.0,0.15,0.0,0.95,1.0,1.0
z19,Battery,22100.0,5525.0,0.92,0.92,81464.0,0.15,0.0,0.95,1.0,1.0
z21,Battery,7600.0,1900.0,0.92,0.92,81464.0,0.15,0.0,0.95,1.0,1.0
z27,Battery,8084.0,2021.0,0.92,0.92,79350.0,0.15,0.0,0.95,1.0,1.0
z28,Battery,6120.0,1530.0,0.92,0.92,79350.0,0.15,0.0,0.95,1.0,1.0
z22,Battery,12128.0,3032.0,0.92,0.92,79350.0,0.15,0.0,0.95,1.0,1.0
z29,Battery,1384.0,346.0,0.92,0.92,79350.0,0.15,0.0,0.95,1.0,1.0
z23,Battery,7508.0,1877.0,0.92,0.92,79350.0,0.15,0.0,0.95,1.0,1.0
z24,Battery,13284.0,3321.0,0.92,0.92,79350.0,0.15,0.0,0.95,1.0,1.0
z25,Battery,41100.0,10275.0,0.92,0.92,81178.0,0.15,0.0,0.95,1.0,1.0
z26,Battery,12588.0,3147.0,0.92,0.92,81178.0,0.15,0.0,0.95,1.0,1.0
z34,Battery,37508.0,9377.0,0.92,0.92,78833.0,0.15,0.0,0.95,1.0,1.0
z36,Battery,58268.0,14567.0,0.92,0.92,78833.0,0.15,0.0,0.95,1.0,1.0
z35,Battery,99508.0,24877.0,0.92,0.92,79863.0,0.15,0.0,0.95,1.0,1.0
z37,Battery,88256.0,22064.0,0.92,0.92,79577.0,0.15,0.0,0.95,1.0,1.0
z31,Battery,125268.0,31317.0,0.92,0.92,79577.0,0.15,0.0,0.95,1.0,1.0
z38,Battery,13328.0,3332.0,0.92,0.92,79577.0,0.15,0.0,0.95,1.0,1.0
z32,Battery,48300.0,12075.0,0.92,0.92,79577.0,0.15,0.0,0.95,1.0,1.0
z30,Battery,27388.0,6847.0,0.92,0.92,79577.0,0.15,0.0,0.95,1.0,1.0
z33,Battery,120464.0,30116.0,0.92,0.92,78833.0,0.15,0.0,0.95,1.0,1.0
z45,Battery,63964.0,15991.0,0.92,0.92,79178.0,0.15,0.0,0.95,1.0,1.0
z44,Battery,27320.0,6830.0,0.92,0.92,78203.0,0.15,0.0,0.95,1.0,1.0
z47,Battery,12124.0,3031.0,0.92,0.92,78661.0,0.15,0.0,0.95,1.0,1.0
z48,Battery,10856.0,2714.0,0.92,0.92,78203.0,0.15,0.0,0.95,1.0,1.0
z46,Battery,92740.0,23185.0,0.92,0.92,78661.0,0.15,0.0,0.95,1.0,1.0
z40,Battery,29948.0,7487.0,0.92,0.92,81120.0,0.15,0.0,0.95,1.0,1.0
z42,Battery,127872.0,31968.0,0.92,0.92,81120.0,0.15,0.0,0.95,1.0,1.0
z41,Battery,5868.0,1467.0,0.92,0.92,81809.0,0.15,0.0,0.95,1.0,1.0
z43,Battery,189000.0,47250.0,0.92,0.92,80493.0,0.15,0.0,0.95,1.0,1.0
z39,Battery,165232.0,41308.0,0.92,0.92,81636.0,0.15,0.0,0.95,1.0,1.0
z62,Battery,68028.0,17007.0,0.92,0.92,80035.0,0.15,0.0,0.95,1.0,1.0
z60,Battery,42928.0,10732.0,0.92,0.92,78375.0,0.15,0.0,0.95,1.0,1.0
z55,Battery,16240.0,4060.0,0.92,0.92,81523.0,0.15,0.0,0.95,1.0,1.0
z64,Battery,892.0,223.0,0.92,0.92,82380.0,0.15,0.0,0.95,1.0,1.0
z53,Battery,9212.0,2303.0,0.92,0.92,80947.0,0.15,0.0,0.95,1.0,1.0
z63,Battery,30404.0,7601.0,0.92,0.92,80035.0,0.15,0.0,0.95,1.0,1.0
z56,Battery,8668.0,2167.0,0.92,0.92,81523.0,0.15,0.0,0.95,1.0,1.0
z59,Battery,88596.0,22149.0,0.92,0.92,80947.0,0.15,0.0,0.95,1.0,1.0
z52,Battery,47412.0,11853.0,0.92,0.92,82380.0,0.15,0.0,0.95,1.0,1.0
z57,Battery,23396.0,5849.0,0.92,0.92,80035.0,0.15,0.0,0.95,1.0,1.0
z58,Battery,23868.0,5967.0,0.92,0.92,81523.0,0.15,0.0,0.95,1.0,1.0
z61,Battery,13728.0,3432.0,0.92,0.92,81523.0,0.15,0.0,0.95,1.0,1.0
z54,Battery,8484.0,2121.0,0.92,0.92,82321.0,0.15,0.0,0.95,1.0,1.0
z49,Battery,60096.0,15024.0,0.92,0.92,82321.0,0.15,0.0,0.95,1.0,1.0
z50,Battery,45264.0,11316.0,0.92,0.92,82380.0,0.15,0.0,0.95,1.0,1.0
z51,Battery,15028.0,3757.0,0.92,0.92,82380.0,0.15,0.0,0.95,1.0,1.0
z3,Battery,4592.0,1148.0,0.92,0.92,65135.68044,0.0,0.0,0.95,1.0,1.0
