Technology,Zone,EC_Category,New_Build,Capacity_INI (MW),Capacity_RET (MW),Capacity_FIN (MW)
Hydro,z1,Existing,0,483.0,0.0,483.0
Coal,z1,Existing,0,13634.6,0.0,13634.6
NGCC,z1,Existing,0,4144.9,0.0,4144.9
NGCC,z1,Existing,0,28162.5,0.0,28162.5
NGCC,z1,Existing,0,4618.8,0.0,4618.8
NGCC,z1,Existing,0,1228.9,0.0,1228.9
NGCT,z1,Existing,0,8353.5,0.0,8353.5
NGCT,z1,Existing,0,1600.3,0.0,1600.3
Thermal,z1,Existing,0,10591.2,0.0,10591.2
NuC,z1,Existing,0,5120.0,0.0,5120.0
WindOn,z1,Existing,0,12327.8,0.0,12327.8
Hydro,z1,Existing,0,19.6,0.0,19.6
SolarPV,z1,Existing,0,11977.4,0.0,11977.4
NGCC,z2,Existing,0,1994.6,0.0,1994.6
NGCC,z2,Existing,0,318.0,0.0,318.0
NGCC,z2,Existing,0,75.1,0.0,75.1
NGCC,z2,Existing,0,1202.6,0.0,1202.6
NGCT,z2,Existing,0,872.0,0.0,872.0
NGCT,z2,Existing,0,336.0,0.0,336.0
Thermal,z2,Existing,0,624.0,0.0,624.0
WindOn,z2,Existing,0,21135.0,0.0,21135.0
SolarPV,z2,Existing,0,8856.6,0.0,8856.6
Hydro,z4,Existing,0,43.5,0.0,43.5
Coal,z4,Existing,0,4867.0,0.0,4867.0
NGCC,z4,Existing,0,31039.8,0.0,31039.8
NGCC,z4,Existing,0,2642.7,0.0,2642.7
NGCC,z4,Existing,0,158.0,0.0,158.0
NGCC,z4,Existing,0,3699.2,0.0,3699.2
NGCT,z4,Existing,0,8915.8,0.0,8915.8
NGCT,z4,Existing,0,312.9,0.0,312.9
Thermal,z4,Existing,0,4631.5,0.0,4631.5
NuC,z4,Existing,0,3737.0,0.0,3737.0
SolarPV,z4,Existing,0,9448.0,0.0,9448.0
NGCC,z15,Existing,0,957.3,0.0,957.3
NGCC,z15,Existing,0,865.8,0.0,865.8
NGCC,z15,Existing,0,933.0,0.0,933.0
NGCC,z15,Existing,0,1000.0,0.0,1000.0
NGCT,z15,Existing,0,194.2,0.0,194.2
NGCT,z15,Existing,0,669.6,0.0,669.6
Thermal,z15,Existing,0,3401.2,0.0,3401.2
NuC,z15,Existing,0,1177.0,0.0,1177.0
SolarPV,z15,Existing,0,94.5,0.0,94.5
Hydro,z16,Existing,0,214.1,0.0,214.1
Coal,z16,Existing,0,3984.1,0.0,3984.1
NGCC,z16,Existing,0,2428.0,0.0,2428.0
NGCC,z16,Existing,0,232.0,0.0,232.0
NGCC,z16,Existing,0,1416.1,0.0,1416.1
NGCC,z16,Existing,0,548.0,0.0,548.0
NGCT,z16,Existing,0,192.0,0.0,192.0
Thermal,z16,Existing,0,806.0,0.0,806.0
NuC,z16,Existing,0,1854.0,0.0,1854.0
SolarPV,z16,Existing,0,751.0,0.0,751.0
NGCC,z17,Existing,0,320.3,0.0,320.3
NGCC,z17,Existing,0,1616.6,0.0,1616.6
NGCC,z17,Existing,0,52.3,0.0,52.3
NGCC,z17,Existing,0,410.0,0.0,410.0
NGCT,z17,Existing,0,725.0,0.0,725.0
NGCT,z17,Existing,0,211.2,0.0,211.2
Thermal,z17,Existing,0,1289.6,0.0,1289.6
NuC,z17,Existing,0,1428.0,0.0,1428.0
WindOn,z17,Existing,0,184.5,0.0,184.5
SolarPV,z17,Existing,0,463.4,0.0,463.4
Hydro,z8,Existing,0,1.0,0.0,1.0
Coal,z8,Existing,0,1869.6,0.0,1869.6
NGCC,z8,Existing,0,67.7,0.0,67.7
NGCC,z8,Existing,0,615.3,0.0,615.3
NGCC,z8,Existing,0,694.8,0.0,694.8
NGCT,z8,Existing,0,98.6,0.0,98.6
NGCT,z8,Existing,0,204.8,0.0,204.8
Thermal,z8,Existing,0,172.9,0.0,172.9
WindOn,z8,Existing,0,5939.0,0.0,5939.0
Hydro,z8,Existing,0,1.7,0.0,1.7
SolarPV,z8,Existing,0,117.1,0.0,117.1
Coal,z6,Existing,0,4242.8,0.0,4242.8
NGCC,z6,Existing,0,268.0,0.0,268.0
NGCC,z6,Existing,0,283.0,0.0,283.0
NGCC,z6,Existing,0,687.5,0.0,687.5
NGCT,z6,Existing,0,2501.8,0.0,2501.8
NGCT,z6,Existing,0,552.0,0.0,552.0
Thermal,z6,Existing,0,116.3,0.0,116.3
NuC,z6,Existing,0,1078.0,0.0,1078.0
WindOn,z6,Existing,0,3155.3,0.0,3155.3
Hydro,z6,Existing,0,2.2,0.0,2.2
SolarPV,z6,Existing,0,1116.4,0.0,1116.4
Hydro,z7,Existing,0,214.6,0.0,214.6
Coal,z7,Existing,0,11513.9,0.0,11513.9
NGCC,z7,Existing,0,644.0,0.0,644.0
NGCC,z7,Existing,0,310.0,0.0,310.0
NGCC,z7,Existing,0,557.0,0.0,557.0
NGCC,z7,Existing,0,563.0,0.0,563.0
NGCT,z7,Existing,0,4030.0,0.0,4030.0
NGCT,z7,Existing,0,65.0,0.0,65.0
Thermal,z7,Existing,0,704.2,0.0,704.2
WindOn,z7,Existing,0,1539.9,0.0,1539.9
Hydro,z7,Existing,0,5.1,0.0,5.1
SolarPV,z7,Existing,0,2210.5,0.0,2210.5
Hydro,z18,Existing,0,237.0,0.0,237.0
Coal,z18,Existing,0,1603.0,0.0,1603.0
NGCC,z18,Existing,0,3005.6,0.0,3005.6
NGCC,z18,Existing,0,476.0,0.0,476.0
NGCC,z18,Existing,0,302.0,0.0,302.0
NGCC,z18,Existing,0,1352.4,0.0,1352.4
NGCT,z18,Existing,0,784.2,0.0,784.2
NGCT,z18,Existing,0,401.6,0.0,401.6
Thermal,z18,Existing,0,1701.2,0.0,1701.2
NuC,z18,Existing,0,967.0,0.0,967.0
SolarPV,z18,Existing,0,550.0,0.0,550.0
Hydro,z10,Existing,0,32.5,0.0,32.5
Coal,z10,Existing,0,6362.3,0.0,6362.3
NGCC,z10,Existing,0,6017.4,0.0,6017.4
NGCC,z10,Existing,0,422.5,0.0,422.5
NGCC,z10,Existing,0,33.0,0.0,33.0
NGCC,z10,Existing,0,288.2,0.0,288.2
NGCT,z10,Existing,0,3811.5,0.0,3811.5
NGCT,z10,Existing,0,861.7,0.0,861.7
Thermal,z10,Existing,0,2030.9,0.0,2030.9
NuC,z10,Existing,0,1161.0,0.0,1161.0
WindOn,z10,Existing,0,3706.3,0.0,3706.3
Hydro,z10,Existing,0,48.3,0.0,48.3
SolarPV,z10,Existing,0,1181.5,0.0,1181.5
Coal,z5,Existing,0,1618.3,0.0,1618.3
NGCT,z5,Existing,0,159.6,0.0,159.6
NGCT,z5,Existing,0,202.0,0.0,202.0
Thermal,z5,Existing,0,93.1,0.0,93.1
WindOn,z5,Existing,0,4522.8,0.0,4522.8
Hydro,z5,Existing,0,10.5,0.0,10.5
Hydro,z9,Existing,0,55.0,0.0,55.0
Coal,z9,Existing,0,3433.0,0.0,3433.0
NGCC,z9,Existing,0,548.0,0.0,548.0
NGCT,z9,Existing,0,746.0,0.0,746.0
NGCT,z9,Existing,0,331.4,0.0,331.4
Thermal,z9,Existing,0,260.7,0.0,260.7
WindOn,z9,Existing,0,7677.8,0.0,7677.8
Hydro,z9,Existing,0,0.6,0.0,0.6
SolarPV,z9,Existing,0,147.2,0.0,147.2
Hydro,z13,Existing,0,87.3,0.0,87.3
Coal,z13,Existing,0,5393.3,0.0,5393.3
NGCC,z13,Existing,0,51.0,0.0,51.0
NGCC,z13,Existing,0,854.0,0.0,854.0
NGCC,z13,Existing,0,1826.0,0.0,1826.0
NGCC,z13,Existing,0,49.9,0.0,49.9
NGCT,z13,Existing,0,3133.7,0.0,3133.7
NGCT,z13,Existing,0,499.2,0.0,499.2
Thermal,z13,Existing,0,216.7,0.0,216.7
NuC,z13,Existing,0,1738.0,0.0,1738.0
WindOn,z13,Existing,0,4548.6,0.0,4548.6
Hydro,z13,Existing,0,404.6,0.0,404.6
SolarPV,z13,Existing,0,1323.3,0.0,1323.3
Hydro,z11,Existing,0,380.0,0.0,380.0
