Technology,Zone,EC_Category,New_Build,EnergyCapacity (MWh),Capacity (MW)
Battery,z1,Existing,0,4293.7,2666.9
Battery,z2,Existing,0,3224.5,1737.5
Battery,z4,Existing,0,1117.1,542.6
Battery,z15,Existing,0,0.5,0.5
Battery,z16,Existing,0,30.0,10.0
Battery,z8,Existing,0,13.5,7.8
Battery,z6,Existing,0,0.5,0.3
Battery,z7,Existing,0,59.6,36.0
Battery,z10,Existing,0,1.5,1.3
PHS,z10,Existing,0,31728.5,2047.0
Battery,z9,Existing,0,4.0,1.1
Battery,z13,Existing,0,35.0,17.0
PHS,z11,Existing,0,6820.0,440.0
Battery,z12,Existing,0,10.4,5.3
Battery,z20,Existing,0,581.4,275.5
PHS,z20,Existing,0,27404.0,1768.0
Battery,z19,Existing,0,43.2,21.6
PHS,z19,Existing,0,449.5,29.0
Battery,z21,Existing,0,116.4,61.3
Battery,z27,Existing,0,89.4,44.7
PHS,z27,Existing,0,3720.0,240.0
Battery,z22,Existing,0,141.1,50.0
Battery,z29,Existing,0,40.0,20.0
Battery,z23,Existing,0,14.4,23.0
PHS,z23,Existing,0,18059.0,1165.1
Battery,z24,Existing,0,89.5,32.3
Battery,z25,Existing,0,39.8,17.2
Battery,z26,Existing,0,80.0,10.0
Battery,z34,Existing,0,117.0,58.5
Battery,z36,Existing,0,24.0,12.0
Battery,z35,Existing,0,165.6,92.8
Battery,z37,Existing,0,74.6,40.5
PHS,z37,Existing,0,46546.5,3003.0
Battery,z31,Existing,0,108.3,77.1
PHS,z31,Existing,0,23095.0,1490.0
Battery,z38,Existing,0,32.9,28.4
PHS,z38,Existing,0,7471.0,482.0
Battery,z32,Existing,0,4.3,1.5
Battery,z33,Existing,0,63.6,31.8
PHS,z33,Existing,0,3689.0,238.0
Battery,z45,Existing,0,3.5,2.2
Battery,z44,Existing,0,11.1,3.9
Battery,z47,Existing,0,400.0,200.0
Battery,z48,Existing,0,1.6,0.8
Battery,z46,Existing,0,46.2,22.0
PHS,z46,Existing,0,7347.0,474.0
Battery,z42,Existing,0,244.6,122.3
PHS,z42,Existing,0,26098.9,1683.8
PHS,z41,Existing,0,480.5,31.0
Battery,z43,Existing,0,307.4,152.7
PHS,z43,Existing,0,29391.1,1896.2
Battery,z39,Existing,0,300.2,160.8
PHS,z39,Existing,0,43338.0,2796.0
Battery,z62,Existing,0,774.0,365.0
PHS,z62,Existing,0,3352.6,216.3
Battery,z60,Existing,0,488.7,240.2
PHS,z60,Existing,0,9002.4,580.8
Battery,z55,Existing,0,262.0,131.0
Battery,z64,Existing,0,870.0,435.0
Battery,z53,Existing,0,200.0,100.0
Battery,z63,Existing,0,474.6,237.8
Battery,z56,Existing,0,140.0,110.0
Battery,z59,Existing,0,53.4,41.0
PHS,z59,Existing,0,4867.0,314.0
Battery,z52,Existing,0,15904.2,6638.2
Battery,z57,Existing,0,1567.6,693.8
Battery,z58,Existing,0,1.0,1.0
Battery,z54,Existing,0,198.0,99.0
Battery,z49,Existing,0,6299.9,2542.1
PHS,z49,Existing,0,35292.0,2276.9
Battery,z50,Existing,0,2898.1,1116.9
PHS,z50,Existing,0,25156.5,1623.0
Battery,z51,Existing,0,1832.2,934.8
PHS,z51,Existing,0,651.0,42.0
Battery,z1,Candidate,0,0.0,0.0
Battery,z2,Candidate,0,0.0,0.0
Battery,z4,Candidate,0,0.0,0.0
