From_zone,To_zone,New_Build,Capacity (MW)
z2,z1,1,5529.0
z3,z2,0,0.0
z43,z4,1,16971.9833
z13,z5,0,0.0
z48,z5,1,955.2541072882811
z7,z6,1,956.0
z8,z6,1,1000.0
z9,z6,1,716.0
z11,z6,1,3400.0
z33,z6,0,0.0
z35,z6,1,1015.0997270827369
z42,z6,1,11715.139241638739
z10,z7,1,1000.0
z33,z7,1,48258.42003350899
z35,z7,1,63672.97679353459
z40,z7,1,2754.020138652799
z42,z7,0,0.0
z9,z8,1,1616.0
z11,z8,0,0.0
z12,z8,1,1000.0
z13,z8,1,107.52091071744326
z35,z8,1,59726.109750886804
z41,z8,0,0.0
z48,z8,1,54833.20971570916
z11,z9,1,716.0
z13,z9,1,1000.0
z35,z9,1,14350.820332441384
z41,z9,0,0.0
z44,z9,1,7889.46995901413
z45,z9,1,6099.95603000594
z48,z9,1,6936.962406523395
z12,z10,1,1000.0
z33,z10,1,3148.767414610999
z36,z10,0,0.0
z41,z11,1,3104.5630962962014
z45,z11,1,6156.842903703801
z13,z12,1,1480.0
z35,z12,1,539.7547246072255
z48,z13,0,0.0
z18,z14,0,0.0
z46,z14,1,2109.033346935482
z17,z15,1,156.0
z18,z15,1,1699.0
z18,z16,0,0.0
z41,z16,0,0.0
z42,z16,1,529.2783294124878
z45,z16,0,0.0
z46,z16,1,5052.872619412487
z18,z17,1,30.42355999999927
z42,z17,0,0.0
z43,z17,0,0.0
z43,z18,1,29572.112628132087
z46,z18,1,37987.76112119661
z20,z19,0,0.0
z24,z19,0,0.0
z26,z19,0,0.0
z21,z20,0,0.0
z23,z20,1,1161.3219257971002
z29,z20,1,1698.8273831097222
z23,z22,0,0.0
z24,z22,1,1236.7108740763008
z28,z22,0,0.0
z29,z22,0,0.0
z38,z22,1,1975.365867881623
z24,z23,0,0.0
z25,z24,1,802.977848572301
z26,z24,0,0.0
z26,z25,1,175.0
z31,z26,0,0.0
z28,z27,0,0.0
z38,z27,1,303.5596383757998
z31,z30,0,0.0
z32,z30,0,0.0
z34,z30,1,1000.0
z38,z30,0,0.0
z32,z31,1,300.0
z34,z32,1,1100.0
z37,z32,1,1200.0
z34,z33,1,4800.0
z35,z33,0,0.0
z36,z33,1,1791.8896604856004
z37,z33,1,1530.0
z39,z33,1,20798.945058803394
z40,z33,0,0.0
z42,z33,0,0.0
z36,z34,0,0.0
z37,z34,0,0.0
z38,z34,1,2785.0
z38,z36,1,1000.0
z39,z37,1,9496.804312805383
z42,z39,0,0.0
z43,z39,1,709.4398788033931
z42,z40,0,0.0
z42,z41,1,1000.0
z44,z41,0,0.0
z45,z41,0,0.0
z46,z41,1,3165.3096019778004
z48,z41,0,0.0
z43,z42,1,3196.0
z45,z44,1,1433.0
z46,z44,1,264.9914741462708
z48,z44,1,1440.0
z46,z45,1,2903.0
z47,z45,1,469.0
z47,z46,1,1289.0
z63,z47,1,18646.211710298263
z52,z49,0,0.0
z54,z49,0,0.0
z56,z49,0,0.0
z59,z49,0,0.0
z52,z50,0,0.0
z57,z50,0,0.0
z58,z50,0,0.0
z59,z50,0,0.0
z62,z50,0,0.0
z52,z51,0,0.0
z62,z51,0,0.0
z64,z51,1,628.7902445484766
z57,z52,0,0.0
z62,z52,0,0.0
z64,z52,0,0.0
z55,z53,0,0.0
z59,z53,0,0.0
z61,z53,1,400.0
z56,z55,0,0.0
z58,z55,1,631.0784362665803
z59,z55,0,0.0
z61,z55,1,1500.0
z58,z56,1,235.0
z59,z56,0,0.0
z58,z57,1,250.0
z62,z57,1,2238.65417333
z60,z58,0,0.0
z61,z58,1,549.3238171554904
z62,z58,1,7548.135844251345
z63,z58,1,9767.50664954657
z61,z60,1,1775.24932640706
z63,z60,1,614.0
z63,z62,1,2400.0
z64,z62,1,237.71439676634282
