Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
z1,1.9835180409830177e9,3.3328871301740913e9,0.0,5.316405171157109e9
z2,3.45368985e7,1.5801273481354526e8,0.0,1.9254963331354526e8
z3,0.0,0.0,0.0,0.0
z4,3.2805523666963124e8,1.1305858584798775e9,0.0,1.4586410951495087e9
z5,3.615577992049103e7,1.5170135677056935e8,0.0,1.878571366910604e8
z6,2.043759372e8,7.15585194442576e8,0.0,9.19961131642576e8
z7,3.72065936170311e8,4.2541027829154724e8,0.0,7.974762144618583e8
z8,2.61827832e8,3.389781398717279e7,0.0,2.957256459871728e8
z9,1.0377710747e9,4.888374668403671e8,0.0,1.5266085415403671e9
z10,6.92028959e7,9.962286003270627e8,0.0,1.0654314962270627e9
z11,1.4732472e7,8.25689946804382e8,0.0,8.40422418804382e8
z12,1.410244642208398e8,8.64846935306706e8,0.0,1.0058713995275457e9
z13,1.0256812419116976e9,7.931341221417204e8,0.0,1.8188153640534182e9
z14,2.9013179270905696e7,3.275314398660204e8,0.0,3.5654461913692605e8
z15,131264.1220326647,2.632981389585183e8,0.0,2.6342940308055097e8
z16,0.0,5.770614512452903e8,0.0,5.770614512452903e8
z17,1.153932e6,1.650062907420785e8,0.0,1.661602227420785e8
z18,1.2930329364346653e7,3.196805955035187e8,0.0,3.326109248678653e8
z19,8.906518297574556e7,6.435586427340456e8,0.0,7.326238257097912e8
z20,1.803361772e8,4.1662140522994816e8,0.0,5.969575824299481e8
z21,0.0,4.4365646908297025e7,0.0,4.4365646908297025e7
z22,0.0,3.998955971498779e8,0.0,3.998955971498779e8
z23,6.668210866300868e7,6.594946014875623e8,0.0,7.26176710150571e8
z24,5.399826607335613e7,4.122234727128358e8,0.0,4.6622173878619194e8
z25,7.384585784395166e6,4.765040669952463e8,0.0,4.8388865277964145e8
z26,1.6842875e6,9.336940652816619e7,0.0,9.505369402816619e7
z27,0.0,1.1766616986277973e7,0.0,1.1766616986277973e7
z28,0.0,7.966760916094059e7,0.0,7.966760916094059e7
z29,1.7904995483696818e8,1.0951309906788893e7,0.0,1.9000126474375707e8
z30,7.866379860000001e7,1.7641162581282008e9,0.0,1.8427800567282007e9
z31,7.504836899999999e6,1.909195028484391e9,0.0,1.916699865384391e9
z32,3.98865e6,4.5576121657422745e8,0.0,4.5974986657422745e8
z33,4.5192425727048504e8,2.316978805823739e9,0.0,2.768903063094224e9
z34,1.8795350510000002e8,8.121328896383065e7,0.0,2.691667940638307e8
z35,7.706898196386892e8,1.1224373209297721e9,0.0,1.8931271405684614e9
z36,8.432639132665093e7,8.167016494453213e8,0.0,9.010280407719723e8
z37,2.8645365e7,5.833908122087065e8,0.0,6.120361772087065e8
z38,1.0012819543872418e8,6.429087972583555e8,0.0,7.430369926970797e8
z39,3.038715864336064e8,1.1072790474476159e9,0.0,1.4111506338812222e9
z40,1.1818877425028486e7,4.8798046195376855e8,0.0,4.9979933937879705e8
z41,2.99124654328139e6,3.6210380580194896e8,0.0,3.6509505234523034e8
z42,1.0829731929235615e8,1.578898653624951e9,0.0,1.6871959729173071e9
z43,8.21976467314245e8,1.232336385841321e9,0.0,2.054312853155566e9
z44,1.3162673963319523e9,5.501084981000402e8,0.0,1.8663758944319925e9
z45,1.4547013202637908e9,8.727599282294294e8,0.0,2.3274612484932203e9
z46,6.146426548737845e9,4.069291418333391e8,0.0,6.553355690571184e9
z47,1.4767569963359768e9,7.033026843873674e7,0.0,1.5470872647747135e9
z48,6.663510835856204e9,1.419597429828376e8,0.0,6.805470578839042e9
z49,0.0,4.1480842650094557e8,0.0,4.1480842650094557e8
z50,0.0,2.748113053129798e7,0.0,2.748113053129798e7
z51,0.0,9.719411033609454e6,0.0,9.719411033609454e6
z52,4.694207064e8,1.9164421031856558e8,0.0,6.610649167185656e8
z53,0.0,1.3403000065545648e8,0.0,1.3403000065545648e8
z54,0.0,4.707093905789503e7,0.0,4.707093905789503e7
z55,0.0,2.024382652439965e6,0.0,2.024382652439965e6
z56,0.0,6.276066719120705e7,0.0,6.276066719120705e7
z57,0.0,2.067530828710989e7,0.0,2.067530828710989e7
z58,1.1361073975725979e7,5.810357736904312e8,0.0,5.923968476661572e8
z59,0.0,3.057647984666987e8,0.0,3.057647984666987e8
z60,0.0,3.908701583925986e8,0.0,3.908701583925986e8
z61,3.034202948333119e8,3.055691818849763e8,0.0,6.089894767182882e8
z62,1.2181275369004872e8,6.167152845597463e8,0.0,7.38528038249795e8
z63,2.8448698874080664e8,1.7781868222135422e8,0.0,4.623056709621608e8
z64,7.225955804092183e6,643288.1372378839,0.0,7.869243941330067e6
