,Network_zones,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1
ERC_REST,z1,1,6.744683786
ERC_WEST,z2,1,0.12394657
ERC_PHDL,z3,1,0.00064407
FRCC,z4,1,8.855307791
MIS_MAPP,z5,1,0.8232666
MIS_IL,z6,1,3.389048616
MIS_INKY,z7,1,6.149388271
MIS_IA,z8,1,0.46099756
MIS_MIDA,z9,1,2.441789815
MIS_LMI,z10,1,4.159747491
MIS_MO,z11,1,4.311542216
MIS_WUMS,z12,1,2.08926889
MIS_MNWI,z13,1,2.97000344
MIS_WOTA,z14,1,0.51223152
MIS_AMSO,z15,1,0.67397317
MIS_AR,z16,1,2.51477496
MIS_D_MS,z17,1,0.140051705
MIS_LA,z18,1,1.36139801
NENG_CT,z19,1,0.14061765
NENGREST,z20,1,0.40005638
NENG_ME,z21,1,0.07111749
NY_Z_C&E,z22,1,0.10701604
NY_Z_F,z23,1,0.43532789
NY_Z_G-I,z24,1,0.63755914
NY_Z_J,z25,1,0.882286035
NY_Z_K,z26,1,0.055917425
NY_Z_A,z27,1,1.91E-05
NY_Z_B,z28,1,8.95E-06
NY_Z_D,z29,1,1.55E-05
PJM_WMAC,z30,1,1.237136815
PJM_EMAC,z31,1,1.54413634
PJM_SMAC,z32,1,0.52921876
PJM_West,z33,1,12.10704842
PJM_AP,z34,1,0.05504563
PJM_COMD,z35,1,1.53526249
PJM_ATSI,z36,1,1.208264325
PJM_Dom,z37,1,1.23068089
PJM_PENE,z38,1,0.50315767
S_VACA,z39,1,6.867351386
S_C_KY,z40,1,3.996836096
S_D_AECI,z41,1,1.82357208
S_C_TVA,z42,1,6.624691441
S_SOU,z43,1,4.092409476
SPP_NEBR,z44,1,2.51976297
SPP_N,z45,1,3.567974966
SPP_WEST,z46,1,1.50927995
SPP_SPS,z47,1,0.263366945
SPP_WAUE,z48,1,0.22747357
WEC_CALN,z49,1,0.955612735
WEC_LADW,z50,1,0.1083731
WEC_SDGE,z51,1,0.18357856
WECC_SCE,z52,1,0.404346235
WECC_MT,z53,1,1.137211735
WEC_BANC,z54,1,0.137412915
WECC_ID,z55,1,0.0331789
WECC_NNV,z56,1,0.543708295
WECC_SNV,z57,1,0.112858675
WECC_UT,z58,1,3.659656016
WECC_PNW,z59,1,0.604768505
WECC_CO,z60,1,3.307249971
WECC_WY,z61,1,3.828143776
WECC_AZ,z62,1,2.19345732
WECC_NM,z63,1,0.89368179
WECC_IID,z64,1,0.002085215
