Period_Index,Rep_Period,Rep_Period_Index
1,762,10
2,762,10
3,480,6
4,2444,19
5,2487,20
6,2487,20
7,279,5
8,279,5
9,2487,20
10,279,5
11,279,5
12,279,5
13,279,5
14,480,6
15,2487,20
16,279,5
17,2487,20
18,2487,20
19,279,5
20,279,5
21,279,5
22,279,5
23,2487,20
24,2487,20
25,1201,13
26,2487,20
27,2487,20
28,279,5
29,279,5
30,279,5
31,2487,20
32,2487,20
33,2487,20
34,279,5
35,279,5
36,1201,13
37,279,5
38,279,5
39,279,5
40,1067,11
41,2487,20
42,686,8
43,686,8
44,2487,20
45,686,8
46,686,8
47,480,6
48,686,8
49,686,8
50,686,8
51,686,8
52,686,8
53,1067,11
54,686,8
55,686,8
56,686,8
57,686,8
58,1201,13
59,686,8
60,686,8
61,686,8
62,686,8
63,686,8
64,686,8
65,686,8
66,686,8
67,686,8
68,686,8
69,1201,13
70,686,8
71,1067,11
72,1067,11
73,719,9
74,1067,11
75,1067,11
76,1067,11
77,1067,11
78,719,9
79,719,9
80,1201,13
81,719,9
82,719,9
83,1067,11
84,1067,11
85,1067,11
86,719,9
87,719,9
88,719,9
89,1067,11
90,1201,13
91,1067,11
92,719,9
93,719,9
94,719,9
95,719,9
96,719,9
97,719,9
98,719,9
99,719,9
100,1067,11
101,480,6
102,1067,11
103,719,9
104,1067,11
105,1067,11
106,719,9
107,719,9
108,24,1
109,762,10
110,762,10
111,24,1
112,762,10
113,480,6
114,24,1
115,24,1
116,24,1
117,24,1
118,24,1
119,24,1
120,24,1
121,24,1
122,24,1
123,24,1
124,480,6
125,24,1
126,24,1
127,24,1
128,24,1
129,24,1
130,24,1
131,24,1
132,24,1
133,24,1
134,762,10
135,480,6
136,762,10
137,762,10
138,24,1
139,762,10
140,24,1
141,24,1
142,24,1
143,24,1
144,24,1
145,24,1
146,1201,13
147,1515,14
148,1515,14
149,762,10
150,1515,14
151,1515,14
152,1515,14
153,762,10
154,1515,14
155,1515,14
156,1515,14
157,480,6
158,762,10
159,1515,14
160,762,10
161,762,10
162,762,10
163,1515,14
164,1515,14
165,1515,14
166,1515,14
167,1515,14
168,480,6
169,1515,14
170,762,10
171,762,10
172,1515,14
173,73,2
174,73,2
175,1515,14
176,73,2
177,73,2
178,73,2
179,1201,13
180,180,4
181,1898,16
182,1898,16
183,1898,16
184,1898,16
185,1898,16
186,1898,16
187,73,2
188,73,2
189,73,2
190,73,2
191,1201,13
192,1898,16
193,1898,16
194,1898,16
195,1898,16
196,1898,16
197,1898,16
198,73,2
199,73,2
200,1898,16
201,1898,16
202,1201,13
203,73,2
204,1898,16
205,73,2
206,1898,16
207,73,2
208,480,6
209,480,6
210,480,6
211,1201,13
212,480,6
213,1201,13
214,480,6
215,480,6
216,1201,13
217,1201,13
218,1201,13
219,1201,13
220,480,6
221,480,6
222,480,6
223,480,6
224,762,10
225,1201,13
226,480,6
227,1201,13
228,1201,13
229,1201,13
230,1201,13
231,480,6
232,480,6
233,480,6
234,480,6
235,480,6
236,1949,17
237,1201,13
238,480,6
239,1201,13
240,1201,13
241,480,6
242,480,6
243,480,6
244,1201,13
245,1949,17
246,1949,17
247,1949,17
248,1949,17
249,1949,17
250,1949,17
251,1949,17
252,1949,17
253,1949,17
254,1949,17
255,1949,17
256,1949,17
257,1949,17
258,1949,17
259,1949,17
260,1949,17
261,1949,17
262,1949,17
263,1949,17
264,1949,17
265,1949,17
266,1949,17
267,1949,17
268,1949,17
269,1949,17
270,1949,17
271,1949,17
272,1949,17
273,1949,17
274,1949,17
275,178,3
276,178,3
277,178,3
278,178,3
279,178,3
280,1949,17
281,178,3
282,178,3
283,178,3
284,178,3
285,178,3
286,178,3
287,178,3
288,178,3
289,178,3
290,178,3
291,1949,17
292,178,3
293,178,3
294,178,3
295,178,3
296,178,3
297,178,3
298,178,3
299,178,3
300,178,3
301,178,3
302,1949,17
303,178,3
304,178,3
305,178,3
306,178,3
307,178,3
308,178,3
309,178,3
310,178,3
311,178,3
312,574,7
313,1949,17
314,574,7
315,574,7
316,574,7
317,574,7
318,574,7
319,574,7
320,574,7
321,574,7
322,574,7
323,574,7
324,1949,17
325,574,7
326,574,7
327,574,7
328,574,7
329,574,7
330,574,7
331,574,7
332,574,7
333,574,7
334,574,7
335,24,1
336,1949,17
337,574,7
338,574,7
339,574,7
340,574,7
341,574,7
342,574,7
343,574,7
344,574,7
345,574,7
346,574,7
347,1949,17
348,574,7
349,1690,15
350,574,7
351,1690,15
352,1690,15
353,1690,15
354,1690,15
355,1690,15
356,1690,15
357,1690,15
358,1949,17
359,1690,15
360,1690,15
361,1690,15
362,1690,15
363,1690,15
364,1690,15
365,1690,15
366,1690,15
367,1690,15
368,1690,15
369,1949,17
370,2444,19
371,1690,15
372,1690,15
373,1690,15
374,1690,15
375,1690,15
376,1690,15
377,1690,15
378,1690,15
379,1690,15
380,1949,17
381,2444,19
382,2444,19
383,2444,19
384,2444,19
385,2444,19
386,2444,19
387,2444,19
388,2444,19
389,2444,19
390,2444,19
391,1949,17
392,2444,19
393,2444,19
394,2444,19
395,2444,19
396,2444,19
397,2444,19
398,2444,19
399,2444,19
400,2444,19
401,2444,19
402,1949,17
403,2444,19
404,2444,19
405,2487,20
406,2444,19
407,2444,19
408,2444,19
409,2487,20
410,2444,19
411,2487,20
412,2487,20
413,1949,17
414,2444,19
415,2487,20
416,2487,20
417,2487,20
418,279,5
419,2487,20
420,2487,20
421,279,5
422,279,5
423,279,5
424,1949,17
425,279,5
426,279,5
427,2487,20
428,2487,20
429,2487,20
430,2487,20
431,279,5
432,279,5
433,2487,20
434,2487,20
435,1949,17
436,2487,20
437,279,5
438,279,5
439,279,5
440,2487,20
441,2487,20
442,2487,20
443,2487,20
444,2487,20
445,2487,20
446,24,1
447,1949,17
448,686,8
449,279,5
450,686,8
451,686,8
452,686,8
453,686,8
454,686,8
455,686,8
456,686,8
457,686,8
458,1949,17
459,686,8
460,686,8
461,686,8
462,686,8
463,686,8
464,686,8
465,1067,11
466,686,8
467,686,8
468,686,8
469,1949,17
470,686,8
471,1067,11
472,1067,11
473,686,8
474,686,8
475,1067,11
476,1067,11
477,686,8
478,686,8
479,1067,11
480,1949,17
481,1067,11
482,1067,11
483,719,9
484,719,9
485,1067,11
486,1067,11
487,1067,11
488,1067,11
489,719,9
490,719,9
491,1949,17
492,719,9
493,1067,11
494,1067,11
495,1067,11
496,1067,11
497,719,9
498,719,9
499,719,9
500,719,9
501,719,9
502,1949,17
503,719,9
504,719,9
505,1067,11
506,719,9
507,719,9
508,1067,11
509,1067,11
510,1067,11
511,719,9
512,719,9
513,1949,17
514,762,10
515,762,10
516,762,10
517,24,1
518,24,1
519,24,1
520,24,1
521,24,1
522,24,1
523,762,10
524,1949,17
525,24,1
526,24,1
527,762,10
528,24,1
529,24,1
530,24,1
531,24,1
532,24,1
533,24,1
534,24,1
535,1949,17
536,24,1
537,24,1
538,24,1
539,24,1
540,24,1
541,24,1
542,24,1
543,24,1
544,24,1
545,24,1
546,1949,17
547,24,1
548,1515,14
549,1515,14
550,762,10
551,1515,14
552,1515,14
553,1515,14
554,1515,14
555,1515,14
556,762,10
557,24,1
558,178,3
559,1515,14
560,1515,14
561,1515,14
562,762,10
563,762,10
564,762,10
565,1515,14
566,1515,14
567,762,10
568,762,10
569,178,3
570,762,10
571,1515,14
572,762,10
573,1515,14
574,1515,14
575,1515,14
576,762,10
577,1515,14
578,1515,14
579,762,10
580,178,3
581,1898,16
582,73,2
583,1898,16
584,73,2
585,73,2
586,73,2
587,73,2
588,1898,16
589,73,2
590,73,2
591,178,3
592,73,2
593,73,2
594,73,2
595,1898,16
596,1898,16
597,1898,16
598,1898,16
599,73,2
600,1898,16
601,1898,16
602,178,3
603,73,2
604,73,2
605,73,2
606,1898,16
607,1898,16
608,1898,16
609,1898,16
610,1898,16
611,1898,16
612,1898,16
613,178,3
614,1898,16
615,1201,13
616,1201,13
617,480,6
618,1201,13
619,1201,13
620,1201,13
621,480,6
622,480,6
623,480,6
624,178,3
625,480,6
626,1201,13
627,1201,13
628,480,6
629,480,6
630,480,6
631,1201,13
632,1201,13
633,480,6
634,480,6
635,178,3
636,1201,13
637,1201,13
638,480,6
639,1201,13
640,480,6
641,480,6
642,1201,13
643,1201,13
644,1201,13
645,1201,13
646,178,3
647,480,6
648,480,6
649,1949,17
650,1949,17
651,1949,17
652,1949,17
653,1949,17
654,1949,17
655,1949,17
656,1949,17
657,178,3
658,1949,17
659,1949,17
660,1949,17
661,1949,17
662,1949,17
663,1949,17
664,1949,17
665,1949,17
666,1949,17
667,1949,17
668,762,10
669,178,3
670,1949,17
671,1949,17
672,1949,17
673,1949,17
674,1949,17
675,1949,17
676,1949,17
677,1949,17
678,1949,17
679,1949,17
680,178,3
681,1949,17
682,1949,17
683,1949,17
684,1949,17
685,178,3
686,178,3
687,178,3
688,178,3
689,178,3
690,178,3
691,178,3
692,178,3
693,178,3
694,178,3
695,178,3
696,178,3
697,178,3
698,178,3
699,178,3
700,178,3
701,178,3
702,178,3
703,178,3
704,178,3
705,178,3
706,178,3
707,178,3
708,178,3
709,178,3
710,178,3
711,178,3
712,178,3
713,178,3
714,178,3
715,178,3
716,574,7
717,574,7
718,574,7
719,574,7
720,574,7
721,574,7
722,574,7
723,574,7
724,178,3
725,574,7
726,574,7
727,574,7
728,574,7
729,574,7
730,574,7
731,574,7
732,574,7
733,574,7
734,574,7
735,178,3
736,574,7
737,574,7
738,574,7
739,574,7
740,574,7
741,574,7
742,574,7
743,574,7
744,574,7
745,574,7
746,178,3
747,574,7
748,574,7
749,574,7
750,574,7
751,574,7
752,574,7
753,1690,15
754,1690,15
755,1690,15
756,1690,15
757,178,3
758,1690,15
759,1690,15
760,574,7
761,1690,15
762,1690,15
763,1690,15
764,1690,15
765,1690,15
766,1690,15
767,1690,15
768,178,3
769,1690,15
770,1690,15
771,1690,15
772,1690,15
773,1690,15
774,1690,15
775,2444,19
776,2444,19
777,1690,15
778,1690,15
779,24,1
780,178,3
781,2444,19
782,1690,15
783,1690,15
784,1690,15
785,1690,15
786,2444,19
787,2444,19
788,2444,19
789,2444,19
790,2444,19
791,178,3
792,2444,19
793,2444,19
794,1690,15
795,1690,15
796,2444,19
797,2444,19
798,2444,19
799,2444,19
800,2444,19
801,2444,19
802,178,3
803,2444,19
804,2444,19
805,2444,19
806,2444,19
807,2444,19
808,2444,19
809,2444,19
810,2444,19
811,2444,19
812,2444,19
813,178,3
814,2444,19
815,2444,19
816,2444,19
817,2487,20
818,2487,20
819,2487,20
820,279,5
821,279,5
822,279,5
823,279,5
824,178,3
825,279,5
826,279,5
827,279,5
828,279,5
829,279,5
830,2487,20
831,2487,20
832,2487,20
833,2487,20
834,2487,20
835,178,3
836,2487,20
837,279,5
838,2487,20
839,2487,20
840,2487,20
841,279,5
842,279,5
843,2487,20
844,279,5
845,279,5
846,178,3
847,2487,20
848,279,5
849,2487,20
850,686,8
851,2487,20
852,279,5
853,279,5
854,686,8
855,2487,20
856,686,8
857,178,3
858,686,8
859,686,8
860,686,8
861,686,8
862,686,8
863,1067,11
864,1067,11
865,1067,11
866,1067,11
867,686,8
868,178,3
869,686,8
870,1067,11
871,686,8
872,1067,11
873,1067,11
874,686,8
875,686,8
876,1067,11
877,686,8
878,686,8
879,178,3
880,686,8
881,1067,11
882,1067,11
883,1067,11
884,1067,11
885,719,9
886,719,9
887,719,9
888,1067,11
889,719,9
890,24,1
891,719,9
892,719,9
893,1067,11
894,719,9
895,719,9
896,719,9
897,719,9
898,719,9
899,719,9
900,1067,11
901,574,7
902,719,9
903,719,9
904,719,9
905,1067,11
906,719,9
907,1067,11
908,719,9
909,719,9
910,719,9
911,1067,11
912,574,7
913,719,9
914,1067,11
915,1067,11
916,719,9
917,719,9
918,719,9
919,762,10
920,762,10
921,762,10
922,24,1
923,574,7
924,24,1
925,762,10
926,762,10
927,24,1
928,24,1
929,24,1
930,24,1
931,762,10
932,762,10
933,24,1
934,574,7
935,24,1
936,762,10
937,762,10
938,24,1
939,762,10
940,24,1
941,24,1
942,24,1
943,762,10
944,24,1
945,574,7
946,24,1
947,24,1
948,762,10
949,762,10
950,762,10
951,24,1
952,762,10
953,762,10
954,1515,14
955,1515,14
956,574,7
957,1515,14
958,1515,14
959,1515,14
960,1515,14
961,1515,14
962,1515,14
963,1515,14
964,762,10
965,762,10
966,1515,14
967,574,7
968,1515,14
969,1515,14
970,1515,14
971,1515,14
972,1515,14
973,1515,14
974,1515,14
975,762,10
976,762,10
977,1515,14
978,574,7
979,762,10
980,762,10
981,1515,14
982,762,10
983,1515,14
984,73,2
985,73,2
986,73,2
987,73,2
988,1898,16
989,574,7
990,1898,16
991,73,2
992,73,2
993,73,2
994,1898,16
995,1898,16
996,1898,16
997,73,2
998,1898,16
999,1898,16
1000,762,10
1001,574,7
1002,1898,16
1003,1898,16
1004,1898,16
1005,1898,16
1006,1898,16
1007,1898,16
1008,1898,16
1009,1898,16
1010,1898,16
1011,1898,16
1012,574,7
1013,73,2
1014,1898,16
1015,73,2
1016,73,2
1017,1898,16
1018,1898,16
1019,480,6
1020,480,6
1021,480,6
1022,1201,13
1023,574,7
1024,1201,13
1025,1201,13
1026,1201,13
1027,1201,13
1028,1201,13
1029,1201,13
1030,1201,13
1031,480,6
1032,480,6
1033,480,6
1034,574,7
1035,1201,13
1036,1201,13
1037,1201,13
1038,480,6
1039,480,6
1040,480,6
1041,1201,13
1042,1201,13
1043,1201,13
1044,1201,13
1045,574,7
1046,480,6
1047,1201,13
1048,1201,13
1049,480,6
1050,480,6
1051,480,6
1052,480,6
1053,1949,17
1054,1949,17
1055,1949,17
1056,574,7
1057,1949,17
1058,1949,17
1059,1949,17
1060,1949,17
1061,1949,17
1062,1949,17
1063,1949,17
1064,1949,17
1065,1949,17
1066,1949,17
1067,574,7
1068,1949,17
1069,1949,17
1070,1949,17
1071,1071,12
1072,1949,17
1073,1949,17
1074,1949,17
1075,1949,17
1076,1949,17
1077,1949,17
1078,1949,17
1079,574,7
1080,1949,17
1081,1949,17
1082,1949,17
1083,1949,17
1084,1949,17
1085,178,3
1086,178,3
1087,1949,17
1088,1949,17
1089,178,3
1090,574,7
1091,178,3
1092,178,3
1093,178,3
1094,178,3
1095,178,3
1096,178,3
1097,178,3
1098,178,3
1099,178,3
1100,178,3
1101,574,7
1102,178,3
1103,178,3
1104,178,3
1105,178,3
1106,178,3
1107,178,3
1108,178,3
1109,178,3
1110,178,3
1111,178,3
1112,24,1
1113,24,1
1114,574,7
1115,178,3
1116,178,3
1117,178,3
1118,178,3
1119,178,3
1120,178,3
1121,574,7
1122,574,7
1123,574,7
1124,574,7
1125,574,7
1126,574,7
1127,574,7
1128,574,7
1129,574,7
1130,574,7
1131,574,7
1132,574,7
1133,574,7
1134,574,7
1135,574,7
1136,574,7
1137,574,7
1138,574,7
1139,574,7
1140,574,7
1141,574,7
1142,574,7
1143,574,7
1144,574,7
1145,574,7
1146,574,7
1147,574,7
1148,574,7
1149,574,7
1150,574,7
1151,574,7
1152,574,7
1153,574,7
1154,574,7
1155,574,7
1156,574,7
1157,574,7
1158,574,7
1159,1690,15
1160,574,7
1161,574,7
1162,1690,15
1163,1690,15
1164,1690,15
1165,1690,15
1166,1690,15
1167,1690,15
1168,1690,15
1169,574,7
1170,1690,15
1171,1690,15
1172,1690,15
1173,1690,15
1174,1690,15
1175,1690,15
1176,1690,15
1177,1690,15
1178,1690,15
1179,574,7
1180,1690,15
1181,1690,15
1182,1690,15
1183,1690,15
1184,1690,15
1185,1690,15
1186,1690,15
1187,1690,15
1188,2444,19
1189,1690,15
1190,574,7
1191,1690,15
1192,2444,19
1193,2444,19
1194,1690,15
1195,1690,15
1196,1690,15
1197,2444,19
1198,2444,19
1199,2444,19
1200,1690,15
1201,574,7
1202,2444,19
1203,2444,19
1204,2444,19
1205,2444,19
1206,2444,19
1207,2444,19
1208,2487,20
1209,2444,19
1210,2444,19
1211,2444,19
1212,574,7
1213,2444,19
1214,2444,19
1215,2444,19
1216,2444,19
1217,2444,19
1218,2444,19
1219,2444,19
1220,2444,19
1221,2444,19
1222,279,5
1223,24,1
1224,574,7
1225,2444,19
1226,279,5
1227,279,5
1228,279,5
