dim1,Value,Current_Max_Line_Reinforcement
1,-3.2126215992266927e6,5529.0
2,-991653.1471067413,0.0
3,-0.0,3332.0
4,-1.8644089755089881e6,0.0
5,-140854.86777062964,0.0
6,-0.0,2150.0
7,-48259.47873454064,0.0
8,-2.399674309756442e6,956.0
9,-805728.0816449148,1000.0
10,-737051.1072674403,716.0
11,-0.0,3400.0
12,-32822.40999649073,0.0
13,-64688.59935601499,0.0
14,-833385.980801779,0.0
15,-586264.7749665658,1000.0
16,-91274.75018755041,0.0
17,-272400.80040132557,0.0
18,-120329.73734973841,0.0
19,-257537.80821023718,0.0
20,-0.0,1616.0
21,-820833.4158003352,223.0
22,-686549.593315007,1000.0
23,-0.0,1195.0
24,-22289.38018779154,0.0
25,-21042.725463235354,0.0
26,-10095.636965516793,0.0
27,-796844.1151202476,716.0
28,-0.0,1000.0
29,-580102.9674434442,0.0
30,-19290.49418413848,0.0
31,-10212.587397872578,0.0
32,-18891.971178498632,0.0
33,-42729.85932550173,0.0
34,-2.419703177466477e6,1000.0
35,-95689.41861252364,0.0
36,-123680.61944909277,0.0
37,-40064.389282587385,0.0
38,-132088.4818297404,0.0
39,-716977.6861394233,1480.0
40,-114738.70330257002,0.0
41,-5537.460460846759,0.0
42,-13011.377899642224,1200.0
43,-73771.24846874842,0.0
44,-0.0,200.0
45,-0.0,1699.0
46,-0.0,1732.0
47,-40475.80435491585,0.0
48,-340984.484221949,0.0
49,-57358.409587362985,0.0
50,-99318.2812171326,0.0
51,-0.0,1732.0
52,-0.0,0.0
53,-495589.8982637769,0.0
54,-454527.6849806274,0.0
55,-98747.73790383912,0.0
56,-0.0,2950.0
57,-24595.550389117467,0.0
58,-84192.6897037833,0.0
59,-0.0,2000.0
60,-6671.689867439751,0.0
61,-6607.055076440551,0.0
62,-0.0,3250.0
63,-0.0,2150.0
64,-0.0,1300.0
65,-0.0,1600.0
66,-525455.0264193118,0.0
67,-0.0,3475.0
68,-0.0,4450.0
69,-0.0,1290.0
70,-0.0,175.0
71,-280996.98771127296,0.0
72,-0.0,1930.0
73,-563914.2984002484,0.0
74,-0.0,6900.0
75,-1.2400171786949357e6,780.0
76,-0.0,1000.0
77,-0.0,3565.0
78,-1.4747240245636334e6,300.0
79,-0.0,1100.0
80,-0.0,1200.0
81,-0.0,4800.0
82,-1.0344976699694132e6,980.0
83,-0.0,7400.0
84,-0.0,1530.0
85,-864383.700682535,0.0
86,-7508.394360116086,0.0
87,-108536.96185457514,0.0
88,-0.0,2444.0
89,-0.0,5400.0
90,-0.0,2785.0
91,-0.0,1000.0
92,-554584.0477323354,0.0
93,-1.0071180588259507e6,216.0
94,-0.0,1400.0
95,-0.0,764.0
96,-2.2896500683268867e6,1000.0
97,-20611.856738388276,0.0
98,-274270.754602229,0.0
99,-61315.02719140358,0.0
100,-21218.187158052177,0.0
101,-748775.2494030473,3196.0
102,-0.0,1433.0
103,-0.0,1000.0
104,-0.0,1440.0
105,-40428.39436672882,2903.0
106,-1.337338123120661e6,469.0
107,-606154.4931089419,1289.0
108,-2.2957218456837432e6,0.0
109,-0.0,3675.0
110,-0.0,2750.0
111,-336630.6388057802,0.0
112,-112723.95828770121,0.0
113,-0.0,3750.0
114,-0.0,0.0
115,-0.0,0.0
116,-24904.36491999278,0.0
117,-0.0,0.0
118,-0.0,1273.0
119,-0.0,0.0
120,-31471.42346898048,0.0
121,-51387.44642107634,0.0
122,-33869.49724967759,0.0
123,-2032.7189653743199,0.0
124,-0.0,325.0
125,-0.0,2000.0
126,-99005.80939692924,400.0
127,-0.0,350.0
128,-0.0,680.0
129,-0.0,2850.0
130,-0.0,1500.0
131,-0.0,235.0
132,-0.0,300.0
133,-759023.4094817356,250.0
134,-0.0,0.0
135,-165422.78655731046,0.0
136,-0.0,1600.0
137,-562087.0391158054,0.0
138,-305218.6780958376,0.0
139,-2555.0713713206646,0.0
140,-271785.82749905036,614.0
141,-0.0,2400.0
142,-555070.7995795078,255.0
