bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
relation/10056249-132,132,f,Substation,f,relation/10056249,10.30741696,64.1486047,NO,POINT (10.30741696 64.1486047)
relation/10056251-132,132,f,Substation,f,relation/10056251,10.41166597,64.14826284,NO,POINT (10.41166597 64.14826284)
relation/10077392-132,132,f,Substation,f,relation/10077392,5.59051577,60.87439076,NO,POINT (5.59051577 60.87439076)
relation/10086891-300,300,f,Substation,f,relation/10086891,5.975945,60.9262513,NO,POINT (5.975945 60.9262513)
relation/10086892-132,132,f,Substation,f,relation/10086892,5.70323609,60.9607834,NO,POINT (5.70323609 60.9607834)
relation/10104222-420,420,f,Substation,f,relation/10104222,6.94572226,62.84254153,NO,POINT (6.94572226 62.84254153)
relation/10153505-132,132,f,Substation,f,relation/10153505,12.96081909,59.38824981,SE,POINT (12.96081909 59.38824981)
relation/10153505-400,400,f,Substation,f,relation/10153505,12.96120756,59.38843251,SE,POINT (12.96120756 59.38843251)
relation/10175479-132,132,f,Substation,f,relation/10175479,6.4536106,58.29494282,NO,POINT (6.4536106 58.29494282)
relation/10175479-300,300,f,Substation,f,relation/10175479,6.45395258,58.29514278,NO,POINT (6.45395258 58.29514278)
relation/10213675-132,132,f,Substation,f,relation/10213675,10.47542642,45.65123116,IT,POINT (10.47542642 45.65123116)
relation/10220813-420,420,f,Substation,f,relation/10220813,7.14464134,60.4992759,NO,POINT (7.14464134 60.4992759)
relation/10295969-400,400,f,Substation,f,relation/10295969,1.93506053,41.76692034,ES,POINT (1.93506053 41.76692034)
relation/10308957-132,132,f,Substation,f,relation/10308957,10.72059958,59.95797311,NO,POINT (10.72059958 59.95797311)
relation/10308957-300,300,f,Substation,f,relation/10308957,10.72098233,59.95816205,NO,POINT (10.72098233 59.95816205)
relation/10327289-300,300,f,Substation,f,relation/10327289,6.55574855,60.12249521,NO,POINT (6.55574855 60.12249521)
relation/10336704-132,132,f,Substation,f,relation/10336704,10.46962961,59.86423134,NO,POINT (10.46962961 59.86423134)
relation/10355948-132,132,f,Substation,f,relation/10355948,10.40321563,59.60794937,NO,POINT (10.40321563 59.60794937)
relation/10355950-132,132,f,Substation,f,relation/10355950,10.27039734,59.56318324,NO,POINT (10.27039734 59.56318324)
relation/10377509-132,132,f,Substation,f,relation/10377509,-3.05101835,55.03277507,GB,POINT (-3.05101835 55.03277507)
relation/10377509-400,400,f,Substation,f,relation/10377509,-3.05075259,55.03299641,GB,POINT (-3.05075259 55.03299641)
relation/10381724-132,132,f,Substation,f,relation/10381724,10.32825529,59.47883571,NO,POINT (10.32825529 59.47883571)
relation/10381726-132,132,f,Substation,f,relation/10381726,10.31232843,59.47123277,NO,POINT (10.31232843 59.47123277)
relation/10384523-132,132,f,Substation,f,relation/10384523,10.51304589,59.31281936,NO,POINT (10.51304589 59.31281936)
relation/10386410-132,132,f,Substation,f,relation/10386410,10.43065804,59.28360028,NO,POINT (10.43065804 59.28360028)
relation/10386982-132,132,f,Substation,f,relation/10386982,8.7334822,62.64330221,NO,POINT (8.7334822 62.64330221)
relation/10431096-132,132,f,Substation,f,relation/10431096,11.78353649,57.72497191,SE,POINT (11.78353649 57.72497191)
relation/10465157-132,132,f,Substation,f,relation/10465157,12.90301041,56.66429255,SE,POINT (12.90301041 56.66429255)
relation/10465651-132,132,f,Substation,f,relation/10465651,12.94041554,56.64377188,SE,POINT (12.94041554 56.64377188)
relation/10547156-300,300,f,Substation,f,relation/10547156,7.9390625,59.46320825,NO,POINT (7.9390625 59.46320825)
relation/10582233-132,132,f,Substation,f,relation/10582233,9.65748362,59.17559381,NO,POINT (9.65748362 59.17559381)
relation/10604779-132,132,f,Substation,f,relation/10604779,12.01347847,57.74856833,SE,POINT (12.01347847 57.74856833)
relation/10629005,300,t,Substation,f,relation/10629005,15.8541784059845,56.76732184567534,SE,POINT (15.8541784059845 56.76732184567534)
relation/10629005-400,400,f,Substation,f,relation/10629005,15.85417841,56.76732185,SE,POINT (15.85417841 56.76732185)
relation/10662040-150,150,f,Substation,f,relation/10662040,13.26018142,42.34945776,IT,POINT (13.26018142 42.34945776)
relation/10695345,400,t,Substation,f,relation/10695345,1.34653130045137,51.31010054490359,GB,POINT (1.34653130045137 51.31010054490359)
