converter_id,bus0,bus1,voltage,p_nom,geometry
conv-relation/10629005,relation/10629005,relation/10629005-400,300,700,'LINESTRING (15.8541784059845 56.76732184567534, 15.85417841 56.76732185)'
conv-relation/10695345,relation/10695345,relation/10695345-400,400,1000,'LINESTRING (1.34653130045137 51.31010054490359, 1.34666458 51.31020638)'
conv-relation/11981383,relation/11981383,relation/8894066-420,450,700,'LINESTRING (6.8661568391267895 58.28250865848761, 6.84839074 58.27635466)'
conv-relation/12832053,relation/12832053,relation/12832053-420,515,1400,'LINESTRING (6.654928160547617 59.530194869729044, 6.65477856 59.5298075)'
conv-relation/14939275,relation/14939275,relation/14939275-400,450,600,'LINESTRING (14.840064437359892 56.15303706800383, 14.84006444 56.15303707)'
conv-relation/7928148,relation/7928148,relation/7928148-420,500,1640,'LINESTRING (7.899684218401868 58.25972533676882, 7.89985899 58.25982347)'
conv-relation/8890887,relation/8890887,relation/18292370-420,525,1400,'LINESTRING (6.754430988350662 58.66905045142371, 6.75369328 58.66981083)'
conv-way/103386958,way/103386958,way/103386958-380,400,500,'LINESTRING (18.130836318442434 40.16452968821595, 18.1308649 40.16439563)'
conv-way/1078532568,way/1078532568,way/1078532568-400,525,1400,'LINESTRING (-0.2364999942172544 52.920992852182344, -0.236634 52.92088524)'
conv-way/109189896,way/109189896,way/143783006-400,450,1000,'LINESTRING (0.7161575572786378 51.44049830078341, 0.71538287 51.44476374)'
conv-way/1101832649,way/1101832649,way/1101832649-400,525,1400,'LINESTRING (9.167976905287395 55.505082075630234, 9.16700681 55.50457726)'
conv-way/1158716725,way/1158716725,way/339704025-380,500,1000,'LINESTRING (12.807095871398033 41.430021018019964, 12.80742165 41.42967949)'
conv-way/1258230090,way/1258230090,way/1258230062-380,320,1000,'LINESTRING (5.66767631877877 50.75299747658887, 5.66806755 50.75441745)'
conv-way/1262323677,way/1262323677,way/1262323677-400,150,700,'LINESTRING (24.55151884975428 60.203800393687196, 24.55062113 60.20487626)'
conv-way/1262971878,way/1262971878,way/495624573-275,320,800,'LINESTRING (-3.4521646312538867 58.479987860253935, -3.45172033 58.47925149)'
conv-way/1265541077,way/1265541077,way/281379470-400,300,1200,'LINESTRING (14.655430907089961 57.74799823027537, 14.65642764 57.74873715)'
conv-way/1271288346,way/1271288346,way/1271288345-400,270,2000,'LINESTRING (1.7820196329028115 50.90347807360708, 1.78345952 50.90280566)'
conv-way/1271587268,way/1271587268,way/1271587263-400,350,940,'LINESTRING (9.566368138932917 56.47966984843764, 9.56905693 56.48005289)'
conv-way/1271587272,way/1271587272,way/1271587263-400,500,700,'LINESTRING (9.564198051393532 56.478562110098224, 9.56905693 56.48005289)'
conv-way/1275744416,way/1275744416,way/41906390-400,500,800,'LINESTRING (17.06373092827985 60.425172985323655, 17.06168089 60.42498572)'
conv-way/1275744419,way/1275744419,way/26501426-400,500,1300,'LINESTRING (21.626077025170257 61.15204766844002, 21.62390054 61.15239102)'
conv-way/1302589312,way/1302589312,way/28390455-400,450,600,'LINESTRING (13.146393787242053 55.50075713190203, 13.14527602 55.50208802)'
conv-way/131323212,way/131323212,way/347643820-220,250,400,'LINESTRING (2.506371701063607 39.53389638665294, 2.50921459 39.53623416)'
conv-way/136762727,way/136762727,way/1156702013-380,200,300,'LINESTRING (8.713929530524116 40.65208830353866, 8.71241088 40.65231548)'
conv-way/136789074,way/136789074,way/100253768-380,200,300,'LINESTRING (10.69435403947908 43.05188136384401, 10.69676817 43.05187484)'
conv-way/137050527,way/137050527,way/137050527-275,500,500,'LINESTRING (-5.770151552693588 54.84301675886533, -5.77002657 54.84313013)'
conv-way/1384028957,way/1384028957,way/1384028953-400,400,600,'LINESTRING (10.506795367518944 55.36705048591617, 10.50546156 55.36601882)'
conv-way/140248140,way/140248140,way/279842937-400,150,260,'LINESTRING (16.64765224409412 57.728335826479515, 16.65307895 57.41588187)'
conv-way/140248147,way/140248147,way/80702333-400,400,500,'LINESTRING (18.13618945001536 60.404099712220564, 18.15801242 60.39879219)'
conv-way/142321228,way/142321228,way/26953215-400,400,600,'LINESTRING (12.007610327774492 55.450251070523564, 12.00624562 55.45159892)'
conv-way/1451345383,way/1451345383,way/1346380309-400,300,680,'LINESTRING (12.110417603728928 57.60675496832211, 12.11060016 57.60684747)'
