transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
relation/10153505-400-132,relation/10153505-400,relation/10153505-132,400,132,8938,'LINESTRING (12.96120756 59.38843251, 12.96081909 59.38824981)'
relation/10175479-300-132,relation/10175479-300,relation/10175479-132,300,132,2011,'LINESTRING (6.45395258 58.29514278, 6.4536106 58.29494282)'
relation/10308957-300-132,relation/10308957-300,relation/10308957-132,300,132,5028,'LINESTRING (10.72098233 59.95816205, 10.72059958 59.95797311)'
relation/10377509-400-132,relation/10377509-400,relation/10377509-132,400,132,3575,'LINESTRING (-3.05075259 55.03299641, -3.05101835 55.03277507)'
relation/10695345-400-132,relation/10695345-400,relation/10695345-132,400,132,1788,'LINESTRING (1.34666458 51.31020638, 1.34639802 51.30999471)'
relation/10925187-275-132,relation/10925187-275,relation/10925187-132,275,132,1844,'LINESTRING (-1.49517472 53.77780995, -1.49544134 53.77759196)'
relation/11036958-420-300,relation/11036958-420,relation/11036958-300,420,300,5631,'LINESTRING (6.67108467 59.48467757, 6.67072995 59.48447803)'
relation/11051275-400-132,relation/11051275-400,relation/11051275-132,400,132,3575,'LINESTRING (-2.67033299 54.29776336, -2.67059652 54.29754286)'
relation/11097406-400-132,virtual_relation/5963403:0-400,relation/11097406-132,400,132,1788,'LINESTRING (11.73499814 58.83726571, 11.73468881 58.83743491)'
relation/11097406-420-132,relation/11097406-420,relation/11097406-132,420,132,1877,'LINESTRING (11.7351254 58.83748987, 11.73468881 58.83743491)'
relation/11097406-420-400,relation/11097406-420,virtual_relation/5963403:0-400,420,400,1877,'LINESTRING (11.7351254 58.83748987, 11.73499814 58.83726571)'
relation/11278540-400-225,relation/11278540-400,relation/11278540-225,400,225,14300,'LINESTRING (4.7150552 44.32959535, 4.71480804 44.32939109)'
relation/11520073-420-132,virtual_way/548201574:1-420,relation/11520073-132,420,132,7508,'LINESTRING (5.3029065 61.77161738, 5.30253548 61.77141408)'
relation/11543333-400-132,relation/11543333-400,relation/11543333-132,400,132,3575,'LINESTRING (-1.55449468 54.70549839, -1.55476643 54.7052802)'
relation/11568632-420-132,relation/11568632-420,relation/11568632-132,420,132,3754,'LINESTRING (9.47688263 59.12896837, 9.47651579 59.12877615)'
relation/11964241-400-132,relation/11964241-400,relation/11964241-132,400,132,8938,'LINESTRING (12.21483209 58.29429337, 12.21445943 58.29410864)'
relation/11971282-400-132,relation/11971282-400,virtual_way/309145397:0-132,400,132,3575,'LINESTRING (16.45591501 62.41934913, 16.45546782 62.41917644)'
relation/12543034-275-132,relation/12543034-275,relation/12543034-132,275,132,2766,'LINESTRING (-3.29919116 51.57454936, -3.2994374 51.57432775)'
relation/12884169-150-132,relation/12884169-150,relation/12884169-132,150,132,503,'LINESTRING (14.20760197 42.44060866, 14.2073319 42.44042809)'
relation/13020240-220-150,relation/13020240-220,relation/13020240-150,220,150,984,'LINESTRING (12.47834558 41.86823275, 12.47808336 41.86804746)'
relation/13110367-400-132,relation/13110367-400,virtual_way/940773320:1-132,400,132,3575,'LINESTRING (-4.98948174 51.68238463, -4.98981825 51.68227956)'
relation/13260100-400-225,relation/13260100-400,relation/13260100-225,400,225,3575,'LINESTRING (0.14986633 49.47483792, 0.14961434 49.47462362)'
relation/13447790-420-132,relation/13447790-420,relation/13447790-132,420,132,3754,'LINESTRING (6.01633754 61.44636898, 6.01596572 61.44616752)'
relation/13534535-420-132,relation/13534535-420,relation/13534535-132,420,132,3754,'LINESTRING (11.68739604 63.03005607, 11.68696835 63.02986948)'
relation/13889505-400-220,relation/13889505-400,relation/13889505-220,400,220,12513,'LINESTRING (17.10352552 63.17650588, 17.10306294 63.1763351)'
relation/14921826-275-132,relation/14921826-275,relation/14921826-132,275,132,1033,'LINESTRING (-2.9618497 54.94244332, -2.96218455 54.94257578)'
relation/14921826-400-132,relation/14921826-400,relation/14921826-132,400,132,3575,'LINESTRING (-2.96181784 54.94267542, -2.96218455 54.94257578)'
relation/14921826-400-275,relation/14921826-400,relation/14921826-275,400,275,3575,'LINESTRING (-2.96181784 54.94267542, -2.9618497 54.94244332)'
relation/15657011-400-220,relation/15657011-400,relation/15657011-220,400,220,1788,'LINESTRING (14.62818681 62.48943528, 14.62774915 62.48925717)'
relation/15715982-400-220,relation/15715982-400,relation/15715982-220,400,220,1788,'LINESTRING (-6.80632931 41.04389548, -6.80652483 41.0436666)'
relation/16809528-400-220,relation/16809528-400,relation/16809528-220,400,220,5363,'LINESTRING (1.90250998 41.3555249, 1.90228354 41.35531385)'
relation/17148268-400-220,relation/17148268-400,relation/17148268-220,400,220,14300,'LINESTRING (-5.69312627 39.80748631, -5.6933227 39.80725935)'
relation/17239840-150-132,relation/17239840-150,relation/17239840-132,150,132,671,'LINESTRING (14.1294368 42.40337311, 14.12954333 42.40351082)'
relation/17239840-220-132,virtual_way/158652471:1-220,relation/17239840-132,220,132,590,'LINESTRING (14.12957988 42.4032545, 14.12954333 42.40351082)'
relation/17239840-220-150,virtual_way/158652471:1-220,relation/17239840-150,220,150,671,'LINESTRING (14.12957988 42.4032545, 14.1294368 42.40337311)'
relation/17239840-380-132,relation/17239840-380,relation/17239840-132,380,132,6793,'LINESTRING (14.12977483 42.40331892, 14.12954333 42.40351082)'
relation/17239840-380-150,relation/17239840-380,relation/17239840-150,380,150,6793,'LINESTRING (14.12977483 42.40331892, 14.1294368 42.40337311)'
relation/17239840-380-220,relation/17239840-380,virtual_way/158652471:1-220,380,220,6793,'LINESTRING (14.12977483 42.40331892, 14.12957988 42.4032545)'
relation/17294958-400-220,virtual_way/144385775:1-400,relation/17294958-220,400,220,1788,'LINESTRING (-6.47265148 41.30157275, -6.47284882 41.30134453)'
relation/17294973-400-150,relation/17294973-400,relation/17294973-150,400,150,5363,'LINESTRING (-8.80319209 37.93054576, -8.8033741 37.93031276)'
relation/17319555-220-132,relation/17319555-220,virtual_way/171642116:1-132,220,132,1967,'LINESTRING (-0.45728437 39.14976406, -0.45749636 39.14954754)'
relation/17467354-380-150,relation/17467354-380,virtual_way/76704452:0-150,380,150,3397,'LINESTRING (12.32688817 41.87724413, 12.32662637 41.87705844)'
relation/17678185-220-132,relation/17678185-220,relation/17678185-132,220,132,1475,'LINESTRING (0.73929959 42.40332084, 0.7390736 42.40310737)'
relation/18111284-220-132,virtual_way/57814828:1-220,relation/18111284-132,220,132,492,'LINESTRING (7.96677235 47.54168527, 7.96649836 47.54148918)'
relation/18292370-300-132,virtual_way/641064271:1-300,relation/18292370-132,300,132,2011,'LINESTRING (6.75332871 58.66980214, 6.75331131 58.66999269)'
relation/18292370-420-132,relation/18292370-420,relation/18292370-132,420,132,7508,'LINESTRING (6.75369328 58.66981083, 6.75331131 58.66999269)'
relation/18292370-420-300,relation/18292370-420,virtual_way/641064271:1-300,420,300,7508,'LINESTRING (6.75369328 58.66981083, 6.75332871 58.66980214)'
relation/18667238-300-132,relation/18667238-300,relation/18667238-132,300,132,3017,'LINESTRING (9.54352955 59.27271093, 9.5432059 59.27287513)'
relation/18667238-420-132,relation/18667238-420,relation/18667238-132,420,132,5631,'LINESTRING (9.54364426 59.27293707, 9.5432059 59.27287513)'
relation/18667238-420-300,relation/18667238-420,relation/18667238-300,420,300,5631,'LINESTRING (9.54364426 59.27293707, 9.54352955 59.27271093)'
relation/19169705-145-132,virtual_way/1389337285:0-145,relation/19169705-132,145,132,443,'LINESTRING (-2.89038884 54.03244611, -2.89025839 54.03255657)'
relation/19169705-170-132,virtual_way/1389288105:1-170,relation/19169705-132,170,132,443,'LINESTRING (-2.8902906 54.0323245, -2.89025839 54.03255657)'
relation/19169705-170-145,virtual_way/1389288105:1-170,virtual_way/1389337285:0-145,170,145,190,'LINESTRING (-2.8902906 54.0323245, -2.89038884 54.03244611)'
relation/19169705-220-132,virtual_way/636036442:0-220,relation/19169705-132,220,132,492,'LINESTRING (-2.88993146 54.03242381, -2.89025839 54.03255657)'
relation/19169705-220-145,virtual_way/636036442:0-220,virtual_way/1389337285:0-145,220,145,492,'LINESTRING (-2.88993146 54.03242381, -2.89038884 54.03244611)'
relation/19169705-220-170,virtual_way/636036442:0-220,virtual_way/1389288105:1-170,220,170,492,'LINESTRING (-2.88993146 54.03242381, -2.8902906 54.0323245)'
relation/19169705-400-132,relation/19169705-400,relation/19169705-132,400,132,10725,'LINESTRING (-2.8900297 54.03254542, -2.89025839 54.03255657)'
relation/19169705-400-145,relation/19169705-400,virtual_way/1389337285:0-145,400,145,10725,'LINESTRING (-2.8900297 54.03254542, -2.89038884 54.03244611)'
relation/19169705-400-170,relation/19169705-400,virtual_way/1389288105:1-170,400,170,10725,'LINESTRING (-2.8900297 54.03254542, -2.8902906 54.0323245)'
relation/19169705-400-220,relation/19169705-400,virtual_way/636036442:0-220,400,220,10725,'LINESTRING (-2.8900297 54.03254542, -2.88993146 54.03242381)'
relation/19396462-400-132,relation/19396462-400,relation/19396462-132,400,132,3575,'LINESTRING (0.00972139 51.75885089, 0.00945858 51.75863624)'
relation/19581815-300-132,relation/19581815-300,relation/19581815-132,300,132,2011,'LINESTRING (11.00439178 63.44830169, 11.00396235 63.44811315)'
relation/19897532-275-132,relation/19897532-275,relation/19897532-132,275,132,2766,'LINESTRING (-2.97721976 51.54771395, -2.97746741 51.547493)'
relation/2452471-275-132,relation/2452471-275,relation/2452471-132,275,132,922,'LINESTRING (-3.86058799 56.00768827, -3.8608551 56.00746517)'
relation/2820883-220-132,virtual_way/131293965:0-220,relation/2820883-132,220,132,1967,'LINESTRING (10.99024533 45.75689414, 10.98992214 45.75683657)'
relation/3184141-380-132,relation/3184141-380,relation/3184141-132,380,132,6793,'LINESTRING (9.1320186 45.34447137, 9.13175137 45.344278)'
relation/4741777-220-132,virtual_way/41936332:0-220,relation/4741777-132,220,132,2458,'LINESTRING (9.45292952 45.65651891, 9.4526925 45.65668321)'
relation/4741777-380-132,relation/4741777-380,relation/4741777-132,380,132,5095,'LINESTRING (9.45301341 45.65674545, 9.4526925 45.65668321)'
relation/4741777-380-220,relation/4741777-380,virtual_way/41936332:0-220,380,220,5095,'LINESTRING (9.45301341 45.65674545, 9.45292952 45.65651891)'
relation/5378910-220-132,relation/5378910-220,relation/5378910-132,220,132,984,'LINESTRING (7.19053313 46.97455634, 7.19026494 46.97435828)'
relation/6277789-220-132,virtual_way/131290697:0-220,relation/6277789-132,220,132,984,'LINESTRING (10.26410235 45.57920396, 10.26386812 45.57937007)'
relation/6277789-380-132,relation/6277789-380,relation/6277789-132,380,132,5095,'LINESTRING (10.26418948 45.57942986, 10.26386812 45.57937007)'
relation/6277789-380-220,relation/6277789-380,virtual_way/131290697:0-220,380,220,5095,'LINESTRING (10.26418948 45.57942986, 10.26410235 45.57920396)'
relation/7107330-220-132,relation/7107330-220,virtual_way/996227052:0-132,220,132,984,'LINESTRING (16.27603916 60.53319107, 16.27561921 60.53301791)'
relation/7123679-220-132,relation/7123679-220,relation/7123679-132,220,132,984,'LINESTRING (16.71034403 60.94233368, 16.70991636 60.9421618)'
relation/7313829-400-220,relation/7313829-400,relation/7313829-220,400,220,10725,'LINESTRING (16.99035258 60.60423703, 16.98992794 60.604066)'
relation/7578992-380-220,relation/7578992-380,relation/7578992-220,380,220,2458,'LINESTRING (5.47196518 50.54040709, 5.47168476 50.54020502)'
relation/7650368-400-132,relation/7650368-400,relation/7650368-132,400,132,8938,'LINESTRING (-0.49986894 51.93313187, -0.50013029 51.93291611)'
relation/7805329-300-132,relation/7805329-300,virtual_way/638373397:0-132,300,132,2011,'LINESTRING (6.33124235 60.1323191, 6.33088296 60.13211862)'
relation/7839089-420-132,relation/7839089-420,relation/7839089-132,420,132,3754,'LINESTRING (7.11098617 62.85923324, 7.11059015 62.85903435)'
relation/7839720-300-132,relation/7839720-300,relation/7839720-132,300,132,2011,'LINESTRING (8.52315165 62.66367559, 8.52278689 62.66383764)'
relation/7839720-420-132,relation/7839720-420,relation/7839720-132,420,132,1877,'LINESTRING (8.52327124 62.66390299, 8.52278689 62.66383764)'
relation/7839720-420-300,relation/7839720-420,relation/7839720-300,420,300,2011,'LINESTRING (8.52327124 62.66390299, 8.52315165 62.66367559)'
relation/7842598-150-132,relation/7842598-150,relation/7842598-132,150,132,336,'LINESTRING (12.40847806 41.96647982, 12.40821562 41.96629436)'
relation/7851611-300-132,relation/7851611-300,relation/7851611-132,300,132,2011,'LINESTRING (9.07010428 60.60618368, 9.06972357 60.60599024)'
relation/7854485-420-300,relation/7854485-420,relation/7854485-300,420,300,3754,'LINESTRING (8.96206273 60.2670031, 8.96168649 60.26680941)'
relation/7871517-300-132,relation/7871517-300,relation/7871517-132,300,132,5028,'LINESTRING (9.84789821 59.71784421, 9.84752301 59.71765294)'
relation/7872518-400-132,relation/7872518-400,relation/7872518-132,400,132,3575,'LINESTRING (0.57589231 51.86608611, 0.57562627 51.8658727)'
relation/7879831-275-132,relation/7879831-275,relation/7879831-132,275,132,922,'LINESTRING (-3.95850201 51.68569825, -3.95881411 51.68582842)'
relation/7879831-400-132,relation/7879831-400,relation/7879831-132,400,132,7150,'LINESTRING (-3.95847537 51.68593055, -3.95881411 51.68582842)'
