Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;3,818.50;1,441.00;2,502.00;32,875.75;9.50;131.25;-;3,269.50;2,806.50;4,692.50;458.00;1,895.00
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;3,763.00;1,380.00;2,395.50;33,520.00;9.50;131.00;-;3,739.25;2,719.00;4,327.50;144.25;1,871.00
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;3,737.00;1,343.75;2,614.00;33,767.00;9.00;131.00;-;3,265.00;2,717.00;4,217.75;1.00;1,837.25
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;3,739.50;1,316.25;1,684.25;32,876.25;9.25;127.75;-;3,226.50;2,639.00;4,279.50;97.00;1,789.00
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;3,714.50;1,321.50;1,327.75;33,113.75;9.00;127.50;-;3,237.50;2,583.25;4,335.00;3.25;1,770.25
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;3,715.75;1,298.25;1,163.25;33,570.75;9.25;129.75;-;3,223.75;2,403.25;4,464.00;0.00;1,766.00
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;3,751.50;1,350.50;1,037.00;35,440.25;10.50;129.50;-;3,237.00;2,268.25;4,477.75;16.75;1,763.00
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;3,783.00;1,454.00;1,310.00;36,089.75;12.50;129.25;-;3,251.25;1,987.75;4,427.00;95.00;1,761.00
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;3,886.75;1,411.25;2,419.00;35,661.50;723.50;128.75;-;3,241.25;1,860.00;4,080.75;56.75;1,748.50
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;3,895.25;1,446.50;2,093.75;34,597.25;4,051.75;128.25;-;3,238.50;1,828.25;4,009.75;40.50;1,757.75
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;3,822.00;1,431.50;2,116.25;36,147.00;7,913.00;126.75;-;3,273.25;1,844.25;3,988.00;26.50;1,791.50
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;3,830.00;1,437.25;1,851.00;35,918.25;11,146.75;124.75;-;3,265.50;1,849.75;3,969.50;54.25;1,829.00
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;3,772.50;1,487.50;2,145.00;36,641.25;12,110.50;119.25;-;3,283.50;1,848.75;3,646.25;53.75;1,826.25
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;3,755.25;1,489.25;2,689.75;37,617.00;10,659.25;115.25;-;3,242.00;1,849.50;3,623.00;140.25;1,814.75
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;3,762.00;1,438.50;3,463.50;38,592.00;7,043.00;124.50;-;3,291.50;1,836.00;3,614.00;88.00;1,772.75
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;3,806.25;1,425.75;4,613.00;41,261.75;2,772.75;125.75;-;3,348.50;1,833.75;3,590.50;97.00;1,796.50
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;3,971.00;1,461.00;4,720.50;41,900.00;192.75;128.00;-;3,395.75;1,934.25;3,642.50;432.25;1,860.25
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;4,099.25;1,434.00;4,809.75;43,761.75;19.25;128.00;-;3,337.25;2,326.50;3,691.25;393.25;1,849.75
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;4,131.50;1,359.75;3,803.25;44,199.75;14.50;128.00;-;3,289.25;2,667.75;3,698.50;516.00;1,810.50
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;4,113.50;1,428.50;3,496.75;43,338.50;12.25;128.00;-;3,308.75;2,778.25;3,732.00;448.75;1,801.75
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;4,036.25;1,350.00;3,979.25;42,674.50;12.50;127.00;-;3,209.50;2,897.75;3,586.00;404.25;1,787.25
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;3,975.50;1,355.50;3,979.50;41,421.25;11.25;127.75;-;3,195.25;3,005.00;3,563.50;556.25;1,798.50
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;3,930.00;1,351.50;3,853.50;39,663.25;10.00;128.25;-;3,192.00;3,089.75;3,531.00;560.75;1,770.00
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;3,832.75;1,347.75;4,115.00;39,612.25;9.75;128.75;-;3,186.25;3,115.00;3,526.75;487.50;1,791.25
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;3,726.50;1,400.25;4,033.00;37,737.50;8.50;129.25;-;3,441.00;3,228.25;3,563.50;693.00;1,794.25
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;3,723.50;1,349.50;4,753.75;36,230.75;6.50;129.75;-;3,844.00;2,909.75;3,346.50;451.00;1,756.75
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;3,727.25;1,349.50;5,264.75;34,086.00;6.00;129.00;-;3,941.25;2,460.50;3,390.75;411.25;1,772.00
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;3,731.75;1,357.75;5,593.75;32,543.75;6.50;127.75;-;3,999.50;2,299.75;3,488.75;423.25;1,764.00
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;3,762.75;1,409.00;4,933.75;30,886.25;6.00;126.25;-;4,464.75;2,505.75;4,083.50;148.00;1,769.50
Jan 2, 2025 5:00 AM;Jan 2, 2025 6:00 AM;3,818.00;1,383.25;4,567.50;29,820.00;6.00;124.75;-;4,668.75;2,840.25;5,120.25;178.75;1,788.50
Jan 2, 2025 6:00 AM;Jan 2, 2025 7:00 AM;3,901.00;1,387.25;5,589.25;28,246.00;6.25;125.00;-;6,380.25;3,102.25;6,210.00;203.50;1,790.25
Jan 2, 2025 7:00 AM;Jan 2, 2025 8:00 AM;4,078.25;1,400.75;5,867.00;25,102.25;8.25;124.00;-;7,933.75;3,788.00;7,606.00;305.00;1,857.25
Jan 2, 2025 8:00 AM;Jan 2, 2025 9:00 AM;4,267.75;1,410.25;5,753.25;22,035.50;191.50;121.00;-;8,889.00;4,685.75;8,599.75;1,036.50;1,869.75
Jan 2, 2025 9:00 AM;Jan 2, 2025 10:00 AM;4,317.50;1,374.75;5,976.25;18,455.50;1,609.00;120.00;-;9,359.50;4,939.50;9,233.50;934.50;1,802.00
Jan 2, 2025 10:00 AM;Jan 2, 2025 11:00 AM;4,267.50;1,407.00;5,100.75;15,182.00;4,077.75;122.00;-;9,508.50;5,127.25;10,122.25;1,126.75;1,780.50
Jan 2, 2025 11:00 AM;Jan 2, 2025 12:00 PM;4,177.25;1,357.75;5,169.50;12,916.00;6,173.00;124.75;-;9,501.75;5,194.25;10,174.75;475.75;1,779.75
Jan 2, 2025 12:00 PM;Jan 2, 2025 1:00 PM;4,061.00;1,378.50;5,390.25;11,792.50;6,704.75;124.00;-;9,447.75;5,216.00;10,159.00;220.50;1,756.75
Jan 2, 2025 1:00 PM;Jan 2, 2025 2:00 PM;4,032.25;1,434.50;5,468.25;11,863.75;5,859.25;125.75;-;9,597.50;4,907.75;10,060.00;178.50;1,760.50
Jan 2, 2025 2:00 PM;Jan 2, 2025 3:00 PM;4,111.50;1,541.25;5,120.50;11,327.50;3,569.25;126.50;-;9,493.75;4,872.00;10,082.75;866.25;1,707.75
Jan 2, 2025 3:00 PM;Jan 2, 2025 4:00 PM;4,250.25;1,579.50;5,181.25;11,582.00;1,084.25;125.25;-;9,579.25;4,878.50;10,234.00;3,801.50;1,678.00
Jan 2, 2025 4:00 PM;Jan 2, 2025 5:00 PM;4,395.25;1,648.50;5,315.50;12,834.50;53.00;126.25;-;9,626.50;4,771.75;10,444.75;3,187.25;1,707.25
Jan 2, 2025 5:00 PM;Jan 2, 2025 6:00 PM;4,500.25;1,723.00;6,058.75;14,678.00;22.50;127.00;-;9,548.25;4,774.25;10,464.75;5,922.25;1,674.50
Jan 2, 2025 6:00 PM;Jan 2, 2025 7:00 PM;4,522.25;1,769.50;5,556.50;15,957.75;25.75;128.00;-;9,594.50;4,858.75;10,894.00;5,837.25;1,704.75
Jan 2, 2025 7:00 PM;Jan 2, 2025 8:00 PM;4,450.25;1,671.50;5,842.75;17,922.50;17.50;127.00;-;9,644.50;4,791.75;11,081.00;4,846.50;1,747.25
Jan 2, 2025 8:00 PM;Jan 2, 2025 9:00 PM;4,328.25;1,447.00;5,894.50;18,922.00;8.00;126.75;-;9,671.75;4,632.25;10,892.25;2,550.25;1,782.25
Jan 2, 2025 9:00 PM;Jan 2, 2025 10:00 PM;4,152.75;1,180.25;5,907.00;18,811.75;6.00;127.75;-;9,645.75;4,489.25;9,812.75;573.25;1,783.00
Jan 2, 2025 10:00 PM;Jan 2, 2025 11:00 PM;4,042.00;1,345.00;6,626.75;18,384.25;7.75;128.50;-;9,222.50;4,777.75;9,462.00;436.25;1,803.50
