Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;47,741.75;48,609.25;867.50;12,354.50
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;46,867.25;47,967.75;1,100.50;10,942.25
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;45,797.50;48,047.50;2,250.00;9,407.50
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;44,623.50;47,268.50;2,645.00;10,053.75
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;43,626.00;48,192.25;4,566.25;9,175.50
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;43,838.50;49,001.00;5,162.50;9,095.25
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;43,176.00;48,127.75;4,951.75;6,688.25
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;43,525.00;46,368.00;2,843.00;6,112.75
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;45,659.00;47,920.00;2,261.00;6,855.00
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;47,680.00;51,755.25;4,075.25;6,937.25
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;50,088.25;55,720.50;5,632.25;3,912.00
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;52,089.50;57,674.00;5,584.50;3,173.50
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;53,127.75;58,646.00;5,518.25;2,231.00
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;51,859.00;57,243.75;5,384.75;893.00
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;50,763.00;55,777.25;5,014.25;1,664.50
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;51,838.00;54,983.75;3,145.75;3,190.50
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;53,929.75;55,030.25;1,100.50;7,116.50
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;55,772.25;56,288.50;516.25;7,181.50
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;55,923.75;56,372.00;448.25;7,906.25
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;54,756.25;55,573.25;817.00;7,908.75
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;52,526.50;53,963.75;1,437.25;5,860.25
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;50,685.75;52,209.00;1,523.25;5,273.75
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;48,596.00;49,673.75;1,077.75;5,069.25
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;46,001.75;47,422.00;1,420.25;2,264.75
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;44,101.50;46,085.75;1,984.25;2,322.50
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;42,051.75;44,409.75;2,358.00;1,060.75
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;41,234.50;43,110.75;1,876.25;1,877.75
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;41,547.50;43,049.50;1,502.00;3,403.50
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;42,063.00;43,200.00;1,137.00;6,237.00
