Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;11,198.00;11,579.50;381.50;-3,164.75
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;11,128.50;11,581.75;453.25;-3,775.25
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;10,931.00;11,507.50;576.50;-3,944.25
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;10,328.50;10,943.50;615.00;-4,105.25
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;9,328.25;10,034.50;706.25;-4,802.50
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;9,542.75;10,777.75;1,235.00;-4,744.25
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;9,368.25;10,600.50;1,232.25;-4,768.75
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;9,540.75;10,142.75;602.00;-4,781.50
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;10,642.50;10,925.25;282.75;-4,567.75
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;11,001.00;11,393.50;392.50;-4,653.50
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;11,505.50;13,694.25;2,188.75;-5,038.25
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;12,026.75;14,208.75;2,182.00;-4,753.50
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;12,105.75;14,481.50;2,375.75;-4,705.00
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;11,950.25;14,311.00;2,360.75;-4,427.50
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;12,089.50;14,381.00;2,291.50;-4,091.75
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;12,494.25;14,344.00;1,849.75;-4,137.00
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;12,929.00;13,101.25;172.25;-3,379.25
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;12,615.25;12,673.25;58.00;-3,978.00
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;12,647.25;12,660.50;13.25;-4,086.00
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;12,334.50;12,341.50;7.00;-4,280.50
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;11,879.25;11,887.00;7.75;-4,667.75
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;11,358.75;11,366.75;8.00;-4,991.50
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;11,024.25;11,032.25;8.00;-5,022.00
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;10,353.50;10,361.75;8.25;-5,690.50
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;10,524.00;10,536.75;12.75;-5,386.25
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;10,072.75;10,705.75;633.00;-5,537.50
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;9,834.50;10,327.00;492.50;-5,099.50
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;9,756.25;10,192.50;436.25;-4,705.50
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;9,996.25;10,284.75;288.50;-4,194.00
Jan 2, 2025 5:00 AM;Jan 2, 2025 6:00 AM;10,345.25;10,357.00;11.75;-3,809.75
Jan 2, 2025 6:00 AM;Jan 2, 2025 7:00 AM;12,000.75;12,005.25;4.50;-2,077.50
Jan 2, 2025 7:00 AM;Jan 2, 2025 8:00 AM;13,068.25;13,071.25;3.00;309.25
Jan 2, 2025 8:00 AM;Jan 2, 2025 9:00 AM;13,503.75;13,507.25;3.50;2,535.75
Jan 2, 2025 9:00 AM;Jan 2, 2025 10:00 AM;13,818.50;13,884.75;66.25;4,280.00
Jan 2, 2025 10:00 AM;Jan 2, 2025 11:00 AM;14,108.00;14,152.75;44.75;5,301.75
Jan 2, 2025 11:00 AM;Jan 2, 2025 12:00 PM;14,296.25;14,305.25;9.00;5,675.00
Jan 2, 2025 12:00 PM;Jan 2, 2025 1:00 PM;14,169.75;14,178.50;8.75;5,847.50
Jan 2, 2025 1:00 PM;Jan 2, 2025 2:00 PM;13,746.00;13,751.75;5.75;5,801.00
Jan 2, 2025 2:00 PM;Jan 2, 2025 3:00 PM;13,150.75;13,154.50;3.75;6,708.75
Jan 2, 2025 3:00 PM;Jan 2, 2025 4:00 PM;12,756.00;12,757.25;1.25;7,696.25
Jan 2, 2025 4:00 PM;Jan 2, 2025 5:00 PM;13,187.00;13,187.00;0.00;8,000.00
Jan 2, 2025 5:00 PM;Jan 2, 2025 6:00 PM;13,692.75;13,692.75;0.00;7,597.75
Jan 2, 2025 6:00 PM;Jan 2, 2025 7:00 PM;13,933.50;13,933.50;0.00;6,787.00
Jan 2, 2025 7:00 PM;Jan 2, 2025 8:00 PM;13,907.75;13,907.75;0.00;5,576.25
Jan 2, 2025 8:00 PM;Jan 2, 2025 9:00 PM;13,402.00;13,459.50;57.50;4,344.75
Jan 2, 2025 9:00 PM;Jan 2, 2025 10:00 PM;12,919.50;12,992.00;72.50;3,445.00
Jan 2, 2025 10:00 PM;Jan 2, 2025 11:00 PM;12,486.25;12,506.00;19.75;2,768.50
Jan 2, 2025 11:00 PM;Jan 3, 2025 12:00 AM;11,825.50;11,843.50;18.00;1,891.25
Jan 3, 2025 12:00 AM;Jan 3, 2025 1:00 AM;11,295.75;11,579.75;284.00;1,277.00
Jan 3, 2025 1:00 AM;Jan 3, 2025 2:00 AM;10,932.75;11,983.50;1,050.75;1,092.50
Jan 3, 2025 2:00 AM;Jan 3, 2025 3:00 AM;10,673.50;12,458.00;1,784.50;963.50
Jan 3, 2025 3:00 AM;Jan 3, 2025 4:00 AM;10,794.00;12,734.50;1,940.50;733.25
Jan 3, 2025 4:00 AM;Jan 3, 2025 5:00 AM;11,008.25;12,994.75;1,986.50;641.00
Jan 3, 2025 5:00 AM;Jan 3, 2025 6:00 AM;11,192.50;13,128.25;1,935.75;525.75
Jan 3, 2025 6:00 AM;Jan 3, 2025 7:00 AM;11,835.75;13,581.50;1,745.75;484.00
Jan 3, 2025 7:00 AM;Jan 3, 2025 8:00 AM;12,355.00;12,630.75;275.75;338.00
Jan 3, 2025 8:00 AM;Jan 3, 2025 9:00 AM;12,945.50;12,955.00;9.50;-184.50
Jan 3, 2025 9:00 AM;Jan 3, 2025 10:00 AM;13,329.25;13,444.75;115.50;-1,266.25
Jan 3, 2025 10:00 AM;Jan 3, 2025 11:00 AM;13,720.00;14,118.50;398.50;-2,514.25
Jan 3, 2025 11:00 AM;Jan 3, 2025 12:00 PM;14,057.00;15,362.50;1,305.50;-3,027.00
Jan 3, 2025 12:00 PM;Jan 3, 2025 1:00 PM;14,094.00;15,643.00;1,549.00;-3,152.25
Jan 3, 2025 1:00 PM;Jan 3, 2025 2:00 PM;13,748.75;15,157.75;1,409.00;-3,197.75
Jan 3, 2025 2:00 PM;Jan 3, 2025 3:00 PM;14,164.75;15,033.00;868.25;-2,569.25
Jan 3, 2025 3:00 PM;Jan 3, 2025 4:00 PM;14,691.25;15,025.75;334.50;-1,686.50
Jan 3, 2025 4:00 PM;Jan 3, 2025 5:00 PM;14,910.25;14,913.00;2.75;-658.50
Jan 3, 2025 5:00 PM;Jan 3, 2025 6:00 PM;15,112.00;15,114.00;2.00;663.00
Jan 3, 2025 6:00 PM;Jan 3, 2025 7:00 PM;14,973.00;14,973.50;0.50;1,398.50
Jan 3, 2025 7:00 PM;Jan 3, 2025 8:00 PM;14,691.25;14,692.25;1.00;1,862.25
Jan 3, 2025 8:00 PM;Jan 3, 2025 9:00 PM;14,180.25;14,183.00;2.75;1,182.00
Jan 3, 2025 9:00 PM;Jan 3, 2025 10:00 PM;13,704.00;13,809.75;105.75;556.75
Jan 3, 2025 10:00 PM;Jan 3, 2025 11:00 PM;13,157.75;13,278.25;120.50;72.75
Jan 3, 2025 11:00 PM;Jan 4, 2025 12:00 AM;12,682.00;14,113.00;1,431.00;-516.75
Jan 4, 2025 12:00 AM;Jan 4, 2025 1:00 AM;12,127.25;12,242.00;114.75;-927.25
Jan 4, 2025 1:00 AM;Jan 4, 2025 2:00 AM;11,761.00;12,502.25;741.25;-494.25
Jan 4, 2025 2:00 AM;Jan 4, 2025 3:00 AM;11,077.50;11,289.50;212.00;374.00
Jan 4, 2025 3:00 AM;Jan 4, 2025 4:00 AM;10,507.50;10,583.75;76.25;1,200.00
Jan 4, 2025 4:00 AM;Jan 4, 2025 5:00 AM;10,030.25;10,093.25;63.00;1,931.50
