Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;17,243.50;17,364.50;121.00;12,142.50
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;16,901.75;16,939.25;37.50;11,736.50
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;16,319.25;16,716.75;397.50;10,993.75
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;15,984.00;16,161.75;177.75;10,840.25
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;16,069.00;17,326.50;1,257.50;10,691.50
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;16,057.75;17,290.00;1,232.25;10,465.50
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;15,599.75;16,866.00;1,266.25;9,374.75
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;15,894.50;16,573.00;678.50;9,536.25
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;16,635.75;17,109.75;474.00;10,216.75
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;17,270.25;18,342.00;1,071.75;10,410.25
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;18,453.75;19,410.75;957.00;10,605.50
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;19,284.25;20,346.25;1,062.00;11,109.25
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;20,009.25;21,017.75;1,008.50;11,617.00
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;19,367.50;20,380.50;1,013.00;10,695.75
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;18,679.75;19,652.25;972.50;9,987.75
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;18,835.00;19,050.50;215.50;10,313.25
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;19,144.25;19,241.00;96.75;10,822.00
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;19,847.50;19,922.50;75.00;10,901.25
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;19,992.75;20,068.25;75.50;10,875.25
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;19,792.75;20,135.50;342.75;10,879.75
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;19,086.75;19,696.50;609.75;10,723.00
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;18,621.50;19,050.50;429.00;10,738.75
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;17,555.25;18,008.00;452.75;9,952.00
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;16,812.50;17,269.75;457.25;9,247.75
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;15,814.25;16,473.75;659.50;8,495.00
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;15,193.50;15,635.50;442.00;8,219.50
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;15,067.25;15,316.75;249.50;8,825.50
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;15,482.25;15,502.75;20.50;10,218.25
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;15,406.50;15,424.00;17.50;10,740.25
Jan 2, 2025 5:00 AM;Jan 2, 2025 6:00 AM;15,863.25;15,993.50;130.25;11,529.50
Jan 2, 2025 6:00 AM;Jan 2, 2025 7:00 AM;17,617.00;17,635.75;18.75;13,866.00
Jan 2, 2025 7:00 AM;Jan 2, 2025 8:00 AM;18,870.25;19,099.25;229.00;15,685.75
Jan 2, 2025 8:00 AM;Jan 2, 2025 9:00 AM;20,586.00;20,664.00;78.00;17,917.75
Jan 2, 2025 9:00 AM;Jan 2, 2025 10:00 AM;21,547.75;21,547.75;0.00;19,290.75
Jan 2, 2025 10:00 AM;Jan 2, 2025 11:00 AM;21,425.50;21,425.50;0.00;19,109.25
Jan 2, 2025 11:00 AM;Jan 2, 2025 12:00 PM;21,775.25;21,775.25;0.00;19,230.75
Jan 2, 2025 12:00 PM;Jan 2, 2025 1:00 PM;22,278.50;22,278.50;0.00;19,682.00
Jan 2, 2025 1:00 PM;Jan 2, 2025 2:00 PM;22,406.25;22,567.00;160.75;19,953.50
Jan 2, 2025 2:00 PM;Jan 2, 2025 3:00 PM;22,024.75;22,067.50;42.75;20,059.00
Jan 2, 2025 3:00 PM;Jan 2, 2025 4:00 PM;21,893.50;21,893.50;0.00;20,373.50
Jan 2, 2025 4:00 PM;Jan 2, 2025 5:00 PM;21,795.25;21,795.25;0.00;19,978.25
Jan 2, 2025 5:00 PM;Jan 2, 2025 6:00 PM;22,389.00;22,389.00;0.00;20,180.50
Jan 2, 2025 6:00 PM;Jan 2, 2025 7:00 PM;22,432.50;22,432.50;0.00;19,844.00
Jan 2, 2025 7:00 PM;Jan 2, 2025 8:00 PM;22,191.75;22,191.75;0.00;19,253.50
Jan 2, 2025 8:00 PM;Jan 2, 2025 9:00 PM;21,065.00;21,065.00;0.00;17,740.00
Jan 2, 2025 9:00 PM;Jan 2, 2025 10:00 PM;20,247.00;20,380.25;133.25;16,647.75
Jan 2, 2025 10:00 PM;Jan 2, 2025 11:00 PM;19,396.50;19,472.75;76.25;15,847.75
Jan 2, 2025 11:00 PM;Jan 3, 2025 12:00 AM;18,122.50;18,204.25;81.75;14,465.50
Jan 3, 2025 12:00 AM;Jan 3, 2025 1:00 AM;16,806.75;16,818.25;11.50;13,157.75
Jan 3, 2025 1:00 AM;Jan 3, 2025 2:00 AM;16,249.75;16,441.75;192.00;12,579.75
Jan 3, 2025 2:00 AM;Jan 3, 2025 3:00 AM;16,338.50;16,812.75;474.25;12,528.00
Jan 3, 2025 3:00 AM;Jan 3, 2025 4:00 AM;16,322.50;17,735.50;1,413.00;12,329.50
Jan 3, 2025 4:00 AM;Jan 3, 2025 5:00 AM;17,018.50;18,716.50;1,698.00;12,845.25
Jan 3, 2025 5:00 AM;Jan 3, 2025 6:00 AM;17,837.00;19,430.50;1,593.50;13,553.50
Jan 3, 2025 6:00 AM;Jan 3, 2025 7:00 AM;19,000.75;19,960.25;959.50;14,129.50
