Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;13,805.75;13,805.75;0.00;-1,261.00
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;13,521.50;13,688.25;166.75;-1,413.75
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;13,386.00;13,848.00;462.00;-1,920.00
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;13,245.50;14,158.00;912.50;-858.50
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;13,187.00;14,214.75;1,027.75;-801.25
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;13,296.25;14,386.00;1,089.75;-546.50
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;13,299.25;14,302.50;1,003.25;-1,830.50
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;13,142.00;13,620.00;478.00;-2,491.00
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;13,418.00;13,734.00;316.00;-2,392.25
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;14,202.25;15,090.25;888.00;-1,982.50
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;14,781.50;15,760.25;978.75;-3,946.75
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;15,274.25;16,177.25;903.00;-4,915.00
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;15,461.75;16,349.25;887.50;-6,056.75
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;15,160.00;15,844.50;684.50;-6,836.75
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;14,829.75;15,310.50;480.75;-6,377.25
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;15,227.75;15,517.50;289.75;-6,249.25
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;16,149.00;16,216.50;67.50;-4,854.25
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;17,018.00;17,018.00;0.00;-4,714.25
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;16,961.00;16,961.00;0.00;-3,767.75
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;16,381.25;16,381.25;0.00;-3,541.25
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;15,615.25;15,648.00;32.75;-4,729.50
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;15,052.50;15,184.50;132.00;-4,759.00
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;14,510.50;14,511.25;0.75;-3,990.00
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;13,663.00;13,692.25;29.25;-5,028.50
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;12,874.25;12,936.25;62.00;-4,318.00
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;12,259.75;12,329.25;69.50;-4,827.50
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;11,928.00;11,957.00;29.00;-5,003.00
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;11,876.75;11,876.75;0.00;-5,275.00
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;12,039.50;12,039.50;0.00;-3,610.25
Jan 2, 2025 5:00 AM;Jan 2, 2025 6:00 AM;12,980.25;12,993.25;13.00;-1,567.75
Jan 2, 2025 6:00 AM;Jan 2, 2025 7:00 AM;14,530.00;14,530.00;0.00;-132.75
Jan 2, 2025 7:00 AM;Jan 2, 2025 8:00 AM;15,823.50;15,831.00;7.50;2,126.25
Jan 2, 2025 8:00 AM;Jan 2, 2025 9:00 AM;16,770.75;16,778.25;7.50;3,819.75
