Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;5,495.25;5,859.50;364.25;4,637.75
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;5,315.75;5,758.25;442.50;4,395.50
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;5,161.75;5,975.75;814.00;4,277.50
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;5,066.25;6,006.00;939.75;4,177.75
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;5,042.00;6,617.00;1,575.00;4,087.75
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;4,942.50;6,547.75;1,605.25;3,922.50
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;4,909.00;6,359.00;1,450.00;3,913.50
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;4,947.75;6,032.25;1,084.50;3,849.00
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;4,963.50;6,151.50;1,188.00;3,599.50
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;5,207.75;6,931.25;1,723.50;3,163.00
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;5,347.75;6,855.75;1,508.00;2,292.50
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;5,504.25;6,941.25;1,437.00;1,731.75
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;5,550.75;6,797.25;1,246.50;1,376.25
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;5,381.00;6,708.00;1,327.00;1,460.50
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;5,164.00;6,433.75;1,269.75;2,145.50
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;5,281.25;6,071.75;790.50;3,263.25
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;5,708.00;6,472.25;764.25;4,528.50
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;6,292.00;6,675.25;383.25;4,973.00
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;6,323.25;6,682.00;358.75;4,884.50
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;6,248.25;6,715.50;467.25;4,851.75
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;5,945.50;6,732.75;787.25;4,535.25
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;5,653.50;6,608.00;954.50;4,285.50
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;5,506.25;6,122.50;616.25;4,129.50
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;5,173.00;6,098.25;925.25;3,737.00
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;4,889.25;6,139.25;1,250.00;3,532.00
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;4,525.75;5,739.00;1,213.25;3,206.25
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;4,405.75;5,511.25;1,105.50;3,155.50
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;4,432.50;5,477.75;1,045.25;3,165.25
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;4,621.00;5,451.75;830.75;3,301.00
Jan 2, 2025 5:00 AM;Jan 2, 2025 6:00 AM;4,873.25;5,751.50;878.25;3,515.75
Jan 2, 2025 6:00 AM;Jan 2, 2025 7:00 AM;5,375.50;6,353.75;978.25;4,025.75
Jan 2, 2025 7:00 AM;Jan 2, 2025 8:00 AM;5,859.50;6,481.75;622.25;4,522.50
Jan 2, 2025 8:00 AM;Jan 2, 2025 9:00 AM;6,191.75;6,240.50;48.75;4,798.25
Jan 2, 2025 9:00 AM;Jan 2, 2025 10:00 AM;6,538.50;6,549.75;11.25;4,985.00
Jan 2, 2025 10:00 AM;Jan 2, 2025 11:00 AM;6,778.00;6,787.25;9.25;4,959.75
Jan 2, 2025 11:00 AM;Jan 2, 2025 12:00 PM;6,993.75;7,078.25;84.50;5,276.25
Jan 2, 2025 12:00 PM;Jan 2, 2025 1:00 PM;7,261.00;7,480.50;219.50;5,822.75
Jan 2, 2025 1:00 PM;Jan 2, 2025 2:00 PM;7,257.75;7,619.50;361.75;6,093.50
Jan 2, 2025 2:00 PM;Jan 2, 2025 3:00 PM;7,161.75;7,274.25;112.50;6,328.50
Jan 2, 2025 3:00 PM;Jan 2, 2025 4:00 PM;7,150.75;7,157.75;7.00;6,688.25
Jan 2, 2025 4:00 PM;Jan 2, 2025 5:00 PM;7,265.00;7,274.00;9.00;6,974.50
Jan 2, 2025 5:00 PM;Jan 2, 2025 6:00 PM;7,412.50;7,414.75;2.25;7,208.25
Jan 2, 2025 6:00 PM;Jan 2, 2025 7:00 PM;7,325.50;7,328.50;3.00;7,194.00
Jan 2, 2025 7:00 PM;Jan 2, 2025 8:00 PM;7,140.75;7,145.00;4.25;7,016.25
Jan 2, 2025 8:00 PM;Jan 2, 2025 9:00 PM;6,818.75;6,890.75;72.00;6,724.25
Jan 2, 2025 9:00 PM;Jan 2, 2025 10:00 PM;6,602.50;7,199.50;597.00;6,595.50
Jan 2, 2025 10:00 PM;Jan 2, 2025 11:00 PM;6,297.25;6,415.00;117.75;6,176.75
Jan 2, 2025 11:00 PM;Jan 3, 2025 12:00 AM;5,955.50;6,096.25;140.75;5,794.75
Jan 3, 2025 12:00 AM;Jan 3, 2025 1:00 AM;5,508.00;5,879.00;371.00;5,372.00
Jan 3, 2025 1:00 AM;Jan 3, 2025 2:00 AM;5,205.75;5,547.00;341.25;5,050.25
Jan 3, 2025 2:00 AM;Jan 3, 2025 3:00 AM;5,109.00;5,764.75;655.75;4,938.50
Jan 3, 2025 3:00 AM;Jan 3, 2025 4:00 AM;5,076.00;6,130.25;1,054.25;4,880.50
Jan 3, 2025 4:00 AM;Jan 3, 2025 5:00 AM;5,199.50;6,490.50;1,291.00;4,941.50
Jan 3, 2025 5:00 AM;Jan 3, 2025 6:00 AM;5,388.25;6,523.25;1,135.00;5,056.75
Jan 3, 2025 6:00 AM;Jan 3, 2025 7:00 AM;5,823.00;7,282.50;1,459.50;5,470.75
Jan 3, 2025 7:00 AM;Jan 3, 2025 8:00 AM;6,265.00;7,318.75;1,053.75;5,909.50
Jan 3, 2025 8:00 AM;Jan 3, 2025 9:00 AM;6,741.00;7,206.00;465.00;6,337.25
Jan 3, 2025 9:00 AM;Jan 3, 2025 10:00 AM;7,037.25;7,440.00;402.75;6,330.25
Jan 3, 2025 10:00 AM;Jan 3, 2025 11:00 AM;7,234.00;7,590.75;356.75;6,034.00
Jan 3, 2025 11:00 AM;Jan 3, 2025 12:00 PM;7,326.75;7,923.25;596.50;5,553.50
Jan 3, 2025 12:00 PM;Jan 3, 2025 1:00 PM;7,401.00;7,949.50;548.50;5,309.25
Jan 3, 2025 1:00 PM;Jan 3, 2025 2:00 PM;7,253.25;7,831.25;578.00;5,190.25
Jan 3, 2025 2:00 PM;Jan 3, 2025 3:00 PM;6,996.75;7,531.00;534.25;5,349.50
Jan 3, 2025 3:00 PM;Jan 3, 2025 4:00 PM;6,935.00;7,353.25;418.25;5,852.25
Jan 3, 2025 4:00 PM;Jan 3, 2025 5:00 PM;7,075.00;7,497.75;422.75;6,450.00
Jan 3, 2025 5:00 PM;Jan 3, 2025 6:00 PM;7,488.50;7,527.00;38.50;6,865.50
Jan 3, 2025 6:00 PM;Jan 3, 2025 7:00 PM;7,453.50;7,491.25;37.75;6,785.00
Jan 3, 2025 7:00 PM;Jan 3, 2025 8:00 PM;7,299.75;7,315.75;16.00;6,514.25
Jan 3, 2025 8:00 PM;Jan 3, 2025 9:00 PM;6,960.75;7,248.50;287.75;6,131.25
Jan 3, 2025 9:00 PM;Jan 3, 2025 10:00 PM;6,747.50;6,986.75;239.25;5,961.00
Jan 3, 2025 10:00 PM;Jan 3, 2025 11:00 PM;6,591.50;6,719.00;127.50;5,918.25
Jan 3, 2025 11:00 PM;Jan 4, 2025 12:00 AM;6,199.50;6,206.50;7.00;5,550.00
Jan 4, 2025 12:00 AM;Jan 4, 2025 1:00 AM;5,823.25;5,878.75;55.50;5,280.00
Jan 4, 2025 1:00 AM;Jan 4, 2025 2:00 AM;5,601.00;5,716.25;115.25;5,173.25
Jan 4, 2025 2:00 AM;Jan 4, 2025 3:00 AM;5,420.50;5,565.25;144.75;5,075.75
Jan 4, 2025 3:00 AM;Jan 4, 2025 4:00 AM;5,250.00;5,330.50;80.50;4,954.75
Jan 4, 2025 4:00 AM;Jan 4, 2025 5:00 AM;5,272.00;5,406.50;134.50;5,024.00
Jan 4, 2025 5:00 AM;Jan 4, 2025 6:00 AM;5,248.50;5,330.75;82.25;5,040.75
Jan 4, 2025 6:00 AM;Jan 4, 2025 7:00 AM;5,383.75;5,507.25;123.50;5,197.75
Jan 4, 2025 7:00 AM;Jan 4, 2025 8:00 AM;5,646.25;5,929.00;282.75;5,518.75
Jan 4, 2025 8:00 AM;Jan 4, 2025 9:00 AM;5,968.50;6,053.00;84.50;5,739.00
Jan 4, 2025 9:00 AM;Jan 4, 2025 10:00 AM;6,317.75;6,419.50;101.75;5,471.50
Jan 4, 2025 10:00 AM;Jan 4, 2025 11:00 AM;6,472.00;6,483.75;11.75;4,865.75
Jan 4, 2025 11:00 AM;Jan 4, 2025 12:00 PM;6,532.75;6,549.75;17.00;4,563.50
Jan 4, 2025 12:00 PM;Jan 4, 2025 1:00 PM;6,568.75;6,696.25;127.50;4,438.50
Jan 4, 2025 1:00 PM;Jan 4, 2025 2:00 PM;6,400.25;6,411.00;10.75;4,617.75
Jan 4, 2025 2:00 PM;Jan 4, 2025 3:00 PM;6,217.50;6,240.75;23.25;5,039.75
Jan 4, 2025 3:00 PM;Jan 4, 2025 4:00 PM;6,320.50;6,329.25;8.75;5,951.50
Jan 4, 2025 4:00 PM;Jan 4, 2025 5:00 PM;6,566.25;6,569.50;3.25;6,456.50
Jan 4, 2025 5:00 PM;Jan 4, 2025 6:00 PM;6,921.25;6,921.50;0.25;6,772.00
Jan 4, 2025 6:00 PM;Jan 4, 2025 7:00 PM;6,893.00;6,896.00;3.00;6,684.50
