Bus_id,Zone_id,TSO,State,Latitude,Longitude,MappingSource,Confidence,Notes
B1,TransnetBW,TransnetBW,,49.44494142,8.50191528,nearest_anchor,low,distance_km=49.23
B2,Amprion,Amprion,,51.62896995,7.36795125,nearest_anchor,low,distance_km=14.49
B3,Amprion,Amprion,,51.586949,7.3699008,nearest_anchor,low,distance_km=10.49
B4,Amprion,Amprion,,51.446657,6.8730102,nearest_anchor,low,distance_km=41.69
B5,50Hertz,50Hertz,,52.56056824,13.69468231,nearest_anchor,low,distance_km=20.10
B6,50Hertz,50Hertz,,52.5846884,13.6798066,nearest_anchor,low,distance_km=19.92
B7,50Hertz,50Hertz,,51.40012245,11.9490965,nearest_anchor,low,distance_km=30.19
B8,Amprion,Amprion,,51.5201853,6.8125294,nearest_anchor,low,distance_km=45.17
B9,50Hertz,50Hertz,,53.09798135,14.26893339,nearest_anchor,low,distance_km=86.62
B10,TenneT,TenneT,,52.756857,7.1836184,nearest_anchor,low,distance_km=81.36
B11,Amprion,Amprion,,51.42891032,7.42771352,nearest_anchor,low,distance_km=9.77
B12,50Hertz,50Hertz,,52.1241478,11.5632769,nearest_anchor,low,distance_km=103.53
B13,TenneT,TenneT,,52.26891834,11.63726956,nearest_anchor,low,distance_km=113.25
B14,Amprion,Amprion,,52.28894431,7.74846539,nearest_anchor,low,distance_km=88.38
B15,50Hertz,50Hertz,,54.7830701,14.0307483,nearest_anchor,low,distance_km=146.63
B16,50Hertz,50Hertz,,53.58818422,12.61320012,nearest_anchor,low,distance_km=65.43
B17,50Hertz,50Hertz,,54.1408596,12.1304799,nearest_anchor,low,distance_km=5.76
B18,TransnetBW,TransnetBW,,49.02857195,8.27249404,nearest_anchor,low,distance_km=9.87
B19,Amprion,Amprion,,50.05917248,8.43914966,nearest_anchor,low,distance_km=95.33
B20,Amprion,Amprion,,50.0960913,8.5426775,nearest_anchor,low,distance_km=94.03
B21,TransnetBW,TransnetBW,,49.24502648,8.49096373,nearest_anchor,low,distance_km=27.23
B22,TransnetBW,TransnetBW,,49.33322945,8.6286686,nearest_anchor,low,distance_km=39.80
B23,50Hertz,50Hertz,,51.07854346,12.56535948,nearest_anchor,low,distance_km=31.98
B24,50Hertz,50Hertz,,51.41848163,14.57554127,nearest_anchor,low,distance_km=146.39
B25,Amprion,Amprion,,51.6138251,7.4758498,nearest_anchor,low,distance_km=11.17
B26,TransnetBW,TransnetBW,,48.9457539,9.0757491,nearest_anchor,low,distance_km=20.46
B27,TransnetBW,TransnetBW,,48.953202,9.0844334,nearest_anchor,low,distance_km=21.00
B28,TransnetBW,TransnetBW,,48.09974042,7.75406679,nearest_anchor,low,distance_km=12.97
B29,TenneT,TenneT,,54.85084914,9.19758039,nearest_anchor,low,distance_km=200.42
B30,TenneT,TenneT,,50.1960303,11.6734418,nearest_anchor,low,distance_km=28.39
B31,50Hertz,50Hertz,,54.180593,12.14101355,nearest_anchor,low,distance_km=10.18
