HourIndex,TimestampUTC,Load_MW,WindOnshore_MW,WindOffshore_MW,SolarPV_MW,Hydro_MW,Biomass_MW,OtherRenewables_MW,NetImports_MW,SourceDataset,Notes
1,2025-01-01 00:00:00,47741.75,32875.75,2502.0,9.5,1441.0,3818.5,131.25,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
2,2025-01-01 01:00:00,46867.25,33520.0,2395.5,9.5,1380.0,3763.0,131.0,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
3,2025-01-01 02:00:00,45797.5,33767.0,2614.0,9.0,1343.75,3737.0,131.0,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
4,2025-01-01 03:00:00,44623.5,32876.25,1684.25,9.25,1316.25,3739.5,127.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
5,2025-01-01 04:00:00,43626.0,33113.75,1327.75,9.0,1321.5,3714.5,127.5,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
6,2025-01-01 05:00:00,43838.5,33570.75,1163.25,9.25,1298.25,3715.75,129.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
7,2025-01-01 06:00:00,43176.0,35440.25,1037.0,10.5,1350.5,3751.5,129.5,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
8,2025-01-01 07:00:00,43525.0,36089.75,1310.0,12.5,1454.0,3783.0,129.25,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
9,2025-01-01 08:00:00,45659.0,35661.5,2419.0,723.5,1411.25,3886.75,128.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
10,2025-01-01 09:00:00,47680.0,34597.25,2093.75,4051.75,1446.5,3895.25,128.25,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
11,2025-01-01 10:00:00,50088.25,36147.0,2116.25,7913.0,1431.5,3822.0,126.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
12,2025-01-01 11:00:00,52089.5,35918.25,1851.0,11146.75,1437.25,3830.0,124.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
13,2025-01-01 12:00:00,53127.75,36641.25,2145.0,12110.5,1487.5,3772.5,119.25,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
14,2025-01-01 13:00:00,51859.0,37617.0,2689.75,10659.25,1489.25,3755.25,115.25,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
15,2025-01-01 14:00:00,50763.0,38592.0,3463.5,7043.0,1438.5,3762.0,124.5,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
16,2025-01-01 15:00:00,51838.0,41261.75,4613.0,2772.75,1425.75,3806.25,125.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
17,2025-01-01 16:00:00,53929.75,41900.0,4720.5,192.75,1461.0,3971.0,128.0,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
18,2025-01-01 17:00:00,55772.25,43761.75,4809.75,19.25,1434.0,4099.25,128.0,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
19,2025-01-01 18:00:00,55923.75,44199.75,3803.25,14.5,1359.75,4131.5,128.0,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
20,2025-01-01 19:00:00,54756.25,43338.5,3496.75,12.25,1428.5,4113.5,128.0,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
21,2025-01-01 20:00:00,52526.5,42674.5,3979.25,12.5,1350.0,4036.25,127.0,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
22,2025-01-01 21:00:00,50685.75,41421.25,3979.5,11.25,1355.5,3975.5,127.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
23,2025-01-01 22:00:00,48596.0,39663.25,3853.5,10.0,1351.5,3930.0,128.25,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
24,2025-01-01 23:00:00,46001.75,39612.25,4115.0,9.75,1347.75,3832.75,128.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
25,2025-01-02 00:00:00,44101.5,37737.5,4033.0,8.5,1400.25,3726.5,129.25,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
26,2025-01-02 01:00:00,42051.75,36230.75,4753.75,6.5,1349.5,3723.5,129.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
27,2025-01-02 02:00:00,41234.5,34086.0,5264.75,6.0,1349.5,3727.25,129.0,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
28,2025-01-02 03:00:00,41547.5,32543.75,5593.75,6.5,1357.75,3731.75,127.75,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
29,2025-01-02 04:00:00,42063.0,30886.25,4933.75,6.0,1409.0,3762.75,126.25,,germany_actual_load_hourly.csv;germany_actual_generation_hourly.csv,
