Line_id,FromBus,ToBus,Length_km,Voltage_kV,Capacity_MVA,R,X,NumParallel,Carrier,SourceDataset,Notes
merged_relation/1208415:c-380+1,B443,B473,9351.89,380,1698.103,0.280557,2.300565,1,,lines.csv,
merged_relation/14592471:b-380+1,B504,B583,41105.68,380,1698.103,1.23317,10.111997,1,,lines.csv,
merged_relation/14592735:c-380+1,B494,B435,9639.13,380,1698.103,0.289174,2.371226,1,,lines.csv,
merged_relation/14650605:b-220+1,B381,B363,5032.34,220,491.556,0.30194,1.514734,1,,lines.csv,
merged_relation/1636708:b-380+1,B639,B680,48729.98,380,1698.103,1.461899,11.987575,1,,lines.csv,
merged_relation/18799873:b-220+1,B21,B22,15548.03,220,491.556,0.932882,4.679957,1,,lines.csv,
merged_relation/3228400:b-380+1,B494,B428,34128.08,380,1698.103,1.023842,8.395508,1,,lines.csv,
merged_relation/3693986:c-380+1,B322,B633,12662.59,380,1698.103,0.379878,3.114997,1,,lines.csv,
merged_relation/3693986:e-380+2,B633,B365,4105.33,380,1698.103,0.12316,1.009911,1,,lines.csv,
merged_relation/3883863:a-380+1,B583,B582,18420.72,380,1698.103,0.552622,4.531497,1,,lines.csv,
merged_relation/3926258:b-380+1,B653,B511,12634.46,380,3396.205,0.189517,1.554039,2,,lines.csv,
merged_relation/3943784-220+1,B321,B291,9052.02,220,491.556,0.543121,2.724658,1,,lines.csv,
merged_relation/3945260:c-220+2,B37,B38,104703.27,220,491.556,6.282196,31.515684,1,,lines.csv,
merged_relation/69489:a-380+1,B410,B516,44012.66,380,1698.103,1.32038,10.827114,1,,lines.csv,
merged_way/104448814-380+2,B195,B693,5387.08,380,3396.205,0.080806,0.662611,2,,lines.csv,
merged_way/105572022-220+8,B147,B280,8645.08,220,491.556,0.518705,2.602169,1,,lines.csv,
merged_way/105572022-380+5,B343,B281,6661.13,380,1698.103,0.199834,1.638638,1,,lines.csv,
merged_way/106607617-220+8,B47,B556,17422.65,220,983.112,0.522679,2.622109,2,,lines.csv,
merged_way/106607620-220+1,B47,B147,6926.2,220,983.112,0.207786,1.042393,2,,lines.csv,
merged_way/106620935-380+1,B623,B195,9497.79,380,1698.103,0.284934,2.336456,1,,lines.csv,
merged_way/107175372-220+1,B48,B474,2600.12,220,983.112,0.078004,0.391318,2,,lines.csv,
merged_way/107175372-380+1,B49,B262,2579.81,380,3396.205,0.038697,0.317317,2,,lines.csv,
merged_way/1072230175-380+2,B74,B101,7868.67,380,1698.103,0.23606,1.935693,1,,lines.csv,
merged_way/1075677143-380+8,B278,B767,38785.17,380,3396.205,0.581778,4.770576,2,,lines.csv,
merged_way/108188242-220+4,B470,B137,11032.54,220,491.556,0.661952,3.320795,1,,lines.csv,
merged_way/108388734-220+5,B722,B634,19446.19,220,491.556,1.166771,5.853303,1,,lines.csv,
merged_way/109195942-220+2,B493,B188,3779.45,220,491.556,0.226767,1.137614,1,,lines.csv,
merged_way/109330042-380+7,B454,B195,21609.64,380,3396.205,0.324145,2.657986,2,,lines.csv,
merged_way/1093664414-220+9,B159,B672,39733.77,220,491.556,2.384026,11.959865,1,,lines.csv,
