Transformer_id,Bus0,Bus1,VoltageBus0_kV,VoltageBus1_kV,S_nom_MVA,X,SourceDataset,Notes
virtual_relation/18799873:a:0-380-220,B79,B21,380,220,1699,,transformers.csv,
virtual_relation/18799873:b:1-380-220,B94,B22,380,220,3397,,transformers.csv,
virtual_way/107153162:0-380-220,B139,B138,380,220,3397,,transformers.csv,
virtual_way/107175372:0-380-220,B49,B48,380,220,3397,,transformers.csv,
virtual_way/107175828:0-380-220,B51,B50,380,220,3397,,transformers.csv,
virtual_way/107175828:1-380-220,B53,B52,380,220,3397,,transformers.csv,
virtual_way/109505609:0-380-220,B2,B55,380,220,10189,,transformers.csv,
virtual_way/1118659219:1-380-220,B62,B61,380,220,3397,,transformers.csv,
virtual_way/1264466168:1-380-220,B130,B233,380,220,5095,,transformers.csv,
virtual_way/207800275:0-380-220,B123,B122,380,220,3397,,transformers.csv,
virtual_way/215588442:0-380-220,B125,B124,380,220,3397,,transformers.csv,
virtual_way/24479976:0-380-220,B141,B140,380,220,3397,,transformers.csv,
virtual_way/25788425:1-380-220,B157,B156,380,220,3397,,transformers.csv,
virtual_way/30419417:1-380-220,B179,B159,380,220,3397,,transformers.csv,
virtual_way/32672606:1-380-220,B11,B185,380,220,6793,,transformers.csv,
virtual_way/32950166:0-380-220,B187,B186,380,220,3397,,transformers.csv,
virtual_way/34897791:0-380-220,B129,B191,380,220,5095,,transformers.csv,
virtual_way/34942575:0-380-220,B5,B192,380,220,8491,,transformers.csv,
virtual_way/35164077:1-380-220,B194,B207,380,220,5095,,transformers.csv,
virtual_way/381950155:1-380-220,B199,B96,380,220,5095,,transformers.csv,
virtual_way/42509126:1-380-220,B214,B213,380,220,3397,,transformers.csv,
virtual_way/42920999:0-380-220,B148,B147,380,220,5095,,transformers.csv,
virtual_way/60869542:1-380-220,B232,B231,380,220,3397,,transformers.csv,
virtual_way/729102365:0-380-220,B242,B193,380,220,3397,,transformers.csv,
virtual_way/74261765:1-380-220,B241,B240,380,220,3397,,transformers.csv,
virtual_way/844126092:1-380-220,B252,B258,380,220,6793,,transformers.csv,
virtual_way/907517160:0-400-380,B259,B260,400,380,1788,,transformers.csv,
virtual_way/91655773:1-380-220,B265,B263,380,220,3397,,transformers.csv,
way/1011084707-380-220,B273,B272,380,220,3397,,transformers.csv,
way/1076001174-380-220,B281,B280,380,220,5095,,transformers.csv,
way/1086825107-380-220,B284,B283,380,220,11887,,transformers.csv,
way/1094015892-380-220,B289,B288,380,220,8491,,transformers.csv,
way/1102237380-380-220,B292,B291,380,220,1699,,transformers.csv,
way/113546939-380-220,B302,B301,380,220,5095,,transformers.csv,
way/121199242-380-220,B304,B229,380,220,5095,,transformers.csv,
way/1222597066-380-220,B306,B305,380,220,3397,,transformers.csv,
way/1223405794-380-220,B308,B307,380,220,3397,,transformers.csv,
way/1280178911-220-155,B311,B172,220,155,492,,transformers.csv,
way/1280178911-380-155,B312,B172,380,155,3397,,transformers.csv,
way/1280178911-380-220,B312,B311,380,220,3397,,transformers.csv,
way/1280347702-380-220,B314,B313,380,220,10189,,transformers.csv,
way/1282733005-380-220,B318,B317,380,220,5095,,transformers.csv,
way/1303270458-380-220,B320,B151,380,220,3397,,transformers.csv,
way/1327333163-380-220,B322,B37,380,220,6793,,transformers.csv,
way/1329675668-380-220,B80,B324,380,220,1699,,transformers.csv,
way/137602559-380-220,B328,B327,380,220,3397,,transformers.csv,
way/143903369-380-220,B331,B330,380,220,5095,,transformers.csv,
way/1443360811-380-220,B333,B332,380,220,10189,,transformers.csv,
way/1463924130-380-220,B355,B354,380,220,8491,,transformers.csv,
way/1464536985-380-220,B358,B357,380,220,3397,,transformers.csv,
way/1467276102-380-220,B18,B363,380,220,3397,,transformers.csv,
way/149987048-380-220,B370,B369,380,220,8491,,transformers.csv,
way/151967290-380-220,B375,B374,380,220,3397,,transformers.csv,
way/151967291-380-220,B74,B376,380,220,3397,,transformers.csv,
way/152018146-380-220,B378,B377,380,220,3397,,transformers.csv,
way/152261133-380-220,B382,B381,380,220,6793,,transformers.csv,
way/152403632-380-220,B384,B383,380,220,8491,,transformers.csv,
way/152924498-380-220,B200,B385,380,220,3397,,transformers.csv,
way/152973139-380-220,B387,B106,380,220,5095,,transformers.csv,
