HourIndex,TimestampUTC,Load_50Hertz_MW,Load_Amprion_MW,Load_TenneT_MW,Load_TransnetBW_MW,Share_50Hertz,Share_Amprion,Share_TenneT,Share_TransnetBW,SourceDataset,Notes
1,2025-01-01 00:00:00,11198.0,17243.5,13805.75,5495.25,0.23454992930826832,0.36117714824317954,0.28917107399067915,0.11510184845787297,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
2,2025-01-01 01:00:00,11128.5,16901.75,13521.5,5315.75,0.23744599135861738,0.3606283672054195,0.2885048274390569,0.11342081399690618,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
3,2025-01-01 02:00:00,10931.0,16319.25,13386.0,5161.75,0.2386785449146251,0.35633106249181185,0.2922835058299489,0.11270688676361414,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
4,2025-01-01 03:00:00,10328.5,15984.0,13245.5,5066.25,0.23145487038997856,0.35819089396460446,0.2968229157913018,0.1135313198541152,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
5,2025-01-01 04:00:00,9328.25,16069.0,13187.0,5042.0,0.21382195352568695,0.36833328557920975,0.30227214119939255,0.11557261969571073,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
6,2025-01-01 05:00:00,9542.75,16057.75,13296.25,4942.5,0.2176759410801964,0.36628706011165796,0.3032955627662426,0.11274143604190309,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
7,2025-01-01 06:00:00,9368.25,15599.75,13299.25,4909.0,0.21697692597203325,0.36130395761558726,0.308022350250427,0.11369676616195246,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
8,2025-01-01 07:00:00,9540.75,15894.5,13142.0,4947.75,0.21920160827110854,0.3651809304997128,0.3019414129810454,0.11367604824813325,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
9,2025-01-01 08:00:00,10642.5,16635.75,13418.0,4963.5,0.2330827479344499,0.36434167948795165,0.2938693269236034,0.10870624565399505,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
10,2025-01-01 09:00:00,11001.0,17270.25,14202.25,5207.75,0.23071962249311836,0.3622021234762092,0.29785817276182985,0.10922008126884257,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
11,2025-01-01 10:00:00,11505.5,18453.75,14781.5,5347.75,0.22970342493786,0.36842289148207674,0.2951076594427863,0.10676602413727702,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
12,2025-01-01 11:00:00,12026.75,19284.25,15274.25,5504.25,0.23088626306645293,0.3702137666900239,0.2932308814636347,0.10566908877988847,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
13,2025-01-01 12:00:00,12105.75,20009.25,15461.75,5550.75,0.22786221824855302,0.37662698225965835,0.2910310103053974,0.10447978918639123,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
14,2025-01-01 13:00:00,11950.25,19367.5,15160.0,5381.0,0.23043845059898282,0.37346638706100704,0.2923325379034396,0.10376262443657049,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
15,2025-01-01 14:00:00,12089.5,18679.75,14829.75,5164.0,0.23815574335638162,0.36797963083348106,0.2921369895396253,0.10172763627051198,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
16,2025-01-01 15:00:00,12494.25,18835.0,15227.75,5281.25,0.2410237614116989,0.36334174089596005,0.2937550939701861,0.10187940372215497,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
17,2025-01-01 16:00:00,12929.0,19144.25,16149.0,5708.0,0.23973558438909517,0.3549816661335707,0.29944233523857205,0.1058404142387621,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
18,2025-01-01 17:00:00,12615.25,19847.5,17018.0,6292.0,0.2261902093764428,0.3558637506667683,0.3051310900036308,0.11281494995315813,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
19,2025-01-01 18:00:00,12647.25,19992.75,16961.0,6323.25,0.2261496577960366,0.35749697134963815,0.30328524745526314,0.11306812339906212,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
20,2025-01-01 19:00:00,12334.5,19792.75,16381.25,6248.25,0.22525989946444958,0.3614668511188118,0.2991640300054331,0.11410921941130546,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
21,2025-01-01 20:00:00,11879.25,19086.75,15615.25,5945.5,0.2261561966045872,0.36337199617337834,0.29728186114693944,0.11318994607509507,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
22,2025-01-01 21:00:00,11358.75,18621.5,15052.5,5653.5,0.22409923795901254,0.3673876051197317,0.29697403141877726,0.11153912550247848,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
23,2025-01-01 22:00:00,11024.25,17555.25,14510.5,5506.25,0.22685392391388223,0.3612470098001389,0.2985929984309489,0.11330606785502996,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
24,2025-01-01 23:00:00,10353.5,16812.5,13663.0,5173.0,0.2250663014651537,0.36547324029390027,0.2970088257032303,0.11245163253771576,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
25,2025-01-02 00:00:00,10524.0,15814.25,12874.25,4889.25,0.2386299863384106,0.3585855436575646,0.29192152238856733,0.11086294761545744,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
26,2025-01-02 01:00:00,10072.75,15193.5,12259.75,4525.75,0.23953224301010065,0.3613048208457436,0.29153959109906247,0.10762334504509324,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
27,2025-01-02 02:00:00,9834.5,15067.25,11928.0,4405.75,0.23849595615428454,0.36539510858362334,0.2892653175055474,0.10684361775654473,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
28,2025-01-02 03:00:00,9756.25,15482.25,11876.75,4432.5,0.2348201767845431,0.3726375074462516,0.28585783827042377,0.10668447749878152,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
29,2025-01-02 04:00:00,9996.25,15406.5,12039.5,4621.0,0.23764806571056682,0.3662698436283454,0.286223722608215,0.10985836805287276,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
30,2025-01-02 05:00:00,10345.25,15863.25,12980.25,4873.25,0.23478847986927512,0.3600211066224865,0.294590576914348,0.11059983659389043,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
31,2025-01-02 06:00:00,12000.75,17617.0,14530.0,5375.5,0.242325574351441,0.35573190370179664,0.29339754559727,0.10854497634949241,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
32,2025-01-02 07:00:00,13068.25,18870.25,15823.5,5859.5,0.24371287636489095,0.3519157427524407,0.2950961834338838,0.10927519744878454,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
33,2025-01-02 08:00:00,13503.75,20586.0,16770.75,6191.75,0.2366909280527937,0.3608271365283578,0.2939542261698706,0.10852770924897791,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
34,2025-01-02 09:00:00,13818.5,21547.75,17354.0,6538.5,0.2331891914696142,0.3636214061214589,0.2928512666905731,0.11033813571835382,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
35,2025-01-02 10:00:00,14108.0,21425.5,17584.0,6778.0,0.23554357172074697,0.35771468641216786,0.29357798165137616,0.11316376021570902,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
36,2025-01-02 11:00:00,14296.25,21775.25,17869.0,6993.75,0.23461764114598932,0.3573564949104978,0.293250511822169,0.1147753521213439,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
37,2025-01-02 12:00:00,14169.75,22278.5,17918.0,7261.0,0.22992669638836716,0.3615040424487544,0.2907480051438284,0.11782125601905001,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
38,2025-01-02 13:00:00,13746.0,22406.25,17735.75,7257.75,0.22480712069113554,0.36644002240548196,0.2900569540810277,0.11869590282235479,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
39,2025-01-02 14:00:00,13150.75,22024.75,17531.75,7161.75,0.2196587549483038,0.3678823765220732,0.292835190165194,0.119623678364429,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
40,2025-01-02 15:00:00,12756.0,21893.5,17800.75,7150.75,0.21402325464337846,0.36733444069730375,0.29866529085082466,0.11997701380849314,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
41,2025-01-02 16:00:00,13187.0,21795.25,18416.0,7265.0,0.21738037444416514,0.35928259695944414,0.3035775366469815,0.11975949194940924,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
42,2025-01-02 17:00:00,13692.75,22389.0,19309.75,7412.5,0.218023533532896,0.3564900324820075,0.3074605120692949,0.11802592191580154,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
43,2025-01-02 18:00:00,13933.5,22432.5,19206.0,7325.5,0.2215270877220875,0.3566516952184109,0.3053539488850908,0.11646726817441075,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
44,2025-01-02 19:00:00,13907.75,22191.75,18676.25,7140.75,0.22462106223704506,0.3584141545468494,0.3016360743905098,0.11532870882559576,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
45,2025-01-02 20:00:00,13402.0,21065.0,17610.0,6818.75,0.2275546198155215,0.35766587572108344,0.29900289919051887,0.11577660527287623,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
46,2025-01-02 21:00:00,12919.5,20247.0,16565.0,6602.5,0.22933752263286825,0.3594099478112685,0.294049774558881,0.11720275499698228,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
47,2025-01-02 22:00:00,12486.25,19396.5,15951.25,6297.25,0.23066620482623254,0.35832351922410804,0.29467728899665163,0.11633298695300774,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
48,2025-01-02 23:00:00,11825.5,18122.5,14876.25,5955.5,0.2328782634810136,0.35688438796961386,0.2929563457874448,0.11728100276192774,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
49,2025-01-03 00:00:00,11295.75,16806.75,14016.75,5508.0,0.23716989748515818,0.3528809662535628,0.2943010566429932,0.11564807961828576,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
50,2025-01-03 01:00:00,10932.75,16249.75,13544.5,5205.75,0.23801644795924476,0.35377263499355033,0.2948767491604574,0.11333416788674747,load_50Hertz_hourly.csv;load_Amprion_hourly.csv;load_TenneT_hourly.csv;load_TransnetBW_hourly.csv,built_from_separate_smard_control_area_files
