"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20240701_20240731.csv"
"C","Report for: 07/01/2024 - 07/31/2024"
"C","Report generated: 03/15/2026 19:49:35 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","07/01/2024","01",12859.45
"D","07/01/2024","02",12713.66
"D","07/01/2024","03",12252.11
"D","07/01/2024","04",11941.09
"D","07/01/2024","05",11938.94
"D","07/01/2024","06",12281.51
"D","07/01/2024","07",12707.5
"D","07/01/2024","08",13103.35
"D","07/01/2024","09",12794.41
"D","07/01/2024","10",12484.9
"D","07/01/2024","11",12507.43
"D","07/01/2024","12",12867.93
"D","07/01/2024","13",13208.76
"D","07/01/2024","14",13447.86
"D","07/01/2024","15",13632.44
"D","07/01/2024","16",14213.52
"D","07/01/2024","17",14853.24
"D","07/01/2024","18",15771.77
"D","07/01/2024","19",16671.08
"D","07/01/2024","20",16788.72
"D","07/01/2024","21",16339.68
"D","07/01/2024","22",15697.35
"D","07/01/2024","23",14394.49
"D","07/01/2024","24",13077.81
"D","07/02/2024","01",12049.95
"D","07/02/2024","02",11996.08
"D","07/02/2024","03",11897.12
"D","07/02/2024","04",11682.72
"D","07/02/2024","05",11710.09
"D","07/02/2024","06",11808.26
"D","07/02/2024","07",12218.3
"D","07/02/2024","08",12252.42
"D","07/02/2024","09",12088.77
"D","07/02/2024","10",11543.54
"D","07/02/2024","11",11523.91
"D","07/02/2024","12",11780.14
"D","07/02/2024","13",12188.52
"D","07/02/2024","14",12861.26
"D","07/02/2024","15",13605.24
"D","07/02/2024","16",14495.11
"D","07/02/2024","17",15725.07
"D","07/02/2024","18",16925.78
"D","07/02/2024","19",17624.74
"D","07/02/2024","20",17540.48
"D","07/02/2024","21",16899.09
"D","07/02/2024","22",16064.01
"D","07/02/2024","23",14692.13
"D","07/02/2024","24",13306.18
"D","07/03/2024","01",12225.84
"D","07/03/2024","02",12045.96
"D","07/03/2024","03",11861.89
"D","07/03/2024","04",11851.68
"D","07/03/2024","05",11873.32
"D","07/03/2024","06",12175.62
"D","07/03/2024","07",12261.75
"D","07/03/2024","08",12509.86
"D","07/03/2024","09",12302.18
"D","07/03/2024","10",12243.24
"D","07/03/2024","11",12360.16
"D","07/03/2024","12",12788.4
"D","07/03/2024","13",13010.2
"D","07/03/2024","14",13533.51
"D","07/03/2024","15",14024.54
"D","07/03/2024","16",14772.51
"D","07/03/2024","17",15907.38
"D","07/03/2024","18",16799.74
"D","07/03/2024","19",17158.75
"D","07/03/2024","20",16993.88
"D","07/03/2024","21",16355.72
"D","07/03/2024","22",15614.17
"D","07/03/2024","23",14485.45
"D","07/03/2024","24",13297.74
"D","07/04/2024","01",12276.08
"D","07/04/2024","02",11776.48
"D","07/04/2024","03",12096.78
"D","07/04/2024","04",12027.04
"D","07/04/2024","05",11717.99
"D","07/04/2024","06",11832.12
"D","07/04/2024","07",11774.2
"D","07/04/2024","08",11684.17
"D","07/04/2024","09",11600.58
"D","07/04/2024","10",11556.71
"D","07/04/2024","11",11713.7
"D","07/04/2024","12",12362.96
"D","07/04/2024","13",12981.79
"D","07/04/2024","14",13697.96
"D","07/04/2024","15",14473.81
"D","07/04/2024","16",15323.73
"D","07/04/2024","17",15817.07
"D","07/04/2024","18",16434.22
"D","07/04/2024","19",16616.58
"D","07/04/2024","20",16487.1
"D","07/04/2024","21",16347.43
"D","07/04/2024","22",15884.6
"D","07/04/2024","23",15251.56
"D","07/04/2024","24",14453.51
"D","07/05/2024","01",13914.56
"D","07/05/2024","02",13672.73
"D","07/05/2024","03",13316.4
"D","07/05/2024","04",13276.49
"D","07/05/2024","05",13436.93
"D","07/05/2024","06",13711.87
"D","07/05/2024","07",13758.51
"D","07/05/2024","08",14417.34
"D","07/05/2024","09",14804.88
"D","07/05/2024","10",15036.0
"D","07/05/2024","11",15348.15
"D","07/05/2024","12",15820.64
"D","07/05/2024","13",16030.96
"D","07/05/2024","14",16454.43
"D","07/05/2024","15",16965.36
"D","07/05/2024","16",17998.1
"D","07/05/2024","17",19028.52
"D","07/05/2024","18",19727.89
"D","07/05/2024","19",19692.55
"D","07/05/2024","20",19292.4
"D","07/05/2024","21",18842.44
"D","07/05/2024","22",18123.97
"D","07/05/2024","23",17040.08
"D","07/05/2024","24",16074.61
"D","07/06/2024","01",15086.79
"D","07/06/2024","02",14671.33
"D","07/06/2024","03",14405.86
"D","07/06/2024","04",14125.35
"D","07/06/2024","05",14058.11
"D","07/06/2024","06",14433.77
"D","07/06/2024","07",14465.38
"D","07/06/2024","08",14777.85
"D","07/06/2024","09",15410.92
"D","07/06/2024","10",15807.03
"D","07/06/2024","11",15837.54
"D","07/06/2024","12",15672.53
"D","07/06/2024","13",15864.98
"D","07/06/2024","14",16282.62
"D","07/06/2024","15",16845.49
"D","07/06/2024","16",17211.14
"D","07/06/2024","17",17910.82
"D","07/06/2024","18",18791.55
"D","07/06/2024","19",19179.44
"D","07/06/2024","20",19064.22
"D","07/06/2024","21",18791.28
"D","07/06/2024","22",18272.82
"D","07/06/2024","23",17506.89
"D","07/06/2024","24",16330.0
"D","07/07/2024","01",15422.54
"D","07/07/2024","02",14966.26
"D","07/07/2024","03",14779.79
"D","07/07/2024","04",14419.47
"D","07/07/2024","05",14211.0
"D","07/07/2024","06",13844.32
"D","07/07/2024","07",13829.88
"D","07/07/2024","08",13692.95
"D","07/07/2024","09",13880.97
"D","07/07/2024","10",14158.98
"D","07/07/2024","11",14673.01
"D","07/07/2024","12",15521.48
"D","07/07/2024","13",16203.41
"D","07/07/2024","14",16695.25
"D","07/07/2024","15",17401.43
"D","07/07/2024","16",18141.03
"D","07/07/2024","17",19384.64
"D","07/07/2024","18",20710.9
"D","07/07/2024","19",21422.4
"D","07/07/2024","20",21389.54
"D","07/07/2024","21",20806.26
"D","07/07/2024","22",19900.4
"D","07/07/2024","23",18301.59
"D","07/07/2024","24",16836.56
"D","07/08/2024","01",16196.47
"D","07/08/2024","02",15624.07
"D","07/08/2024","03",15039.32
"D","07/08/2024","04",14671.5
"D","07/08/2024","05",14637.24
"D","07/08/2024","06",14777.58
"D","07/08/2024","07",15324.48
"D","07/08/2024","08",15976.31
"D","07/08/2024","09",16129.86
"D","07/08/2024","10",16463.81
"D","07/08/2024","11",17015.82
"D","07/08/2024","12",17777.94
"D","07/08/2024","13",18566.62
"D","07/08/2024","14",19464.12
"D","07/08/2024","15",20167.52
"D","07/08/2024","16",20900.4
"D","07/08/2024","17",21836.04
"D","07/08/2024","18",22578.56
"D","07/08/2024","19",23162.8
"D","07/08/2024","20",22926.17
"D","07/08/2024","21",22315.61
"D","07/08/2024","22",21240.02
"D","07/08/2024","23",19548.92
"D","07/08/2024","24",18341.92
"D","07/09/2024","01",17793.72
"D","07/09/2024","02",16993.89
"D","07/09/2024","03",16314.74
"D","07/09/2024","04",15910.37
"D","07/09/2024","05",15850.17
"D","07/09/2024","06",16109.92
"D","07/09/2024","07",16475.58
"D","07/09/2024","08",17325.8
"D","07/09/2024","09",17777.65
"D","07/09/2024","10",17878.38
"D","07/09/2024","11",18673.2
"D","07/09/2024","12",19317.08
"D","07/09/2024","13",19148.37
"D","07/09/2024","14",19815.72
"D","07/09/2024","15",20541.93
"D","07/09/2024","16",21419.04
"D","07/09/2024","17",22249.71
"D","07/09/2024","18",22926.91
"D","07/09/2024","19",22886.94
"D","07/09/2024","20",22522.55
"D","07/09/2024","21",22176.64
"D","07/09/2024","22",21108.8
"D","07/09/2024","23",19469.96
"D","07/09/2024","24",18296.17
"D","07/10/2024","01",17708.38
"D","07/10/2024","02",17287.79
"D","07/10/2024","03",16704.69
"D","07/10/2024","04",16370.27
"D","07/10/2024","05",16386.47
"D","07/10/2024","06",16700.4
"D","07/10/2024","07",17189.59
"D","07/10/2024","08",17981.6
"D","07/10/2024","09",18119.38
"D","07/10/2024","10",18469.16
"D","07/10/2024","11",18982.8
"D","07/10/2024","12",19781.73
"D","07/10/2024","13",20589.92
"D","07/10/2024","14",21184.46
"D","07/10/2024","15",21565.82
"D","07/10/2024","16",22111.14
"D","07/10/2024","17",22641.53
"D","07/10/2024","18",22776.78
"D","07/10/2024","19",22761.56
"D","07/10/2024","20",22464.1
"D","07/10/2024","21",21886.52
"D","07/10/2024","22",20827.06
"D","07/10/2024","23",19493.46
"D","07/10/2024","24",18415.32
"D","07/11/2024","01",17656.41
"D","07/11/2024","02",17151.49
"D","07/11/2024","03",16826.4
"D","07/11/2024","04",16571.42
"D","07/11/2024","05",16694.14
"D","07/11/2024","06",16959.39
"D","07/11/2024","07",18012.35
"D","07/11/2024","08",18900.16
"D","07/11/2024","09",18936.76
"D","07/11/2024","10",18639.92
"D","07/11/2024","11",18707.26
"D","07/11/2024","12",18741.57
"D","07/11/2024","13",18963.79
"D","07/11/2024","14",19403.47
"D","07/11/2024","15",20136.79
"D","07/11/2024","16",20916.31
"D","07/11/2024","17",21779.87
"D","07/11/2024","18",22281.9
"D","07/11/2024","19",22502.06
"D","07/11/2024","20",22240.98
"D","07/11/2024","21",21546.55
"D","07/11/2024","22",20554.76
"D","07/11/2024","23",18874.46
"D","07/11/2024","24",17214.56
"D","07/12/2024","01",16509.64
"D","07/12/2024","02",15755.5
"D","07/12/2024","03",15209.54
"D","07/12/2024","04",15023.5
"D","07/12/2024","05",14988.87
"D","07/12/2024","06",14766.73
"D","07/12/2024","07",15282.98
"D","07/12/2024","08",16049.56
"D","07/12/2024","09",16651.49
"D","07/12/2024","10",16849.15
"D","07/12/2024","11",17341.05
"D","07/12/2024","12",18061.4
"D","07/12/2024","13",18848.04
"D","07/12/2024","14",19287.44
"D","07/12/2024","15",19365.12
"D","07/12/2024","16",19623.72
"D","07/12/2024","17",20407.39
"D","07/12/2024","18",21040.68
"D","07/12/2024","19",21350.73
"D","07/12/2024","20",21218.96
"D","07/12/2024","21",20724.28
"D","07/12/2024","22",19992.78
"D","07/12/2024","23",18707.21
"D","07/12/2024","24",17370.18
"D","07/13/2024","01",16323.11
"D","07/13/2024","02",15766.55
"D","07/13/2024","03",15355.03
"D","07/13/2024","04",15251.61
"D","07/13/2024","05",15086.26
"D","07/13/2024","06",15116.98
"D","07/13/2024","07",15348.48
"D","07/13/2024","08",15756.29
"D","07/13/2024","09",15683.63
"D","07/13/2024","10",16162.56
"D","07/13/2024","11",16562.3
"D","07/13/2024","12",16430.09
"D","07/13/2024","13",16218.01
"D","07/13/2024","14",16739.74
"D","07/13/2024","15",16804.61
"D","07/13/2024","16",17397.49
"D","07/13/2024","17",18443.12
"D","07/13/2024","18",19485.08
"D","07/13/2024","19",20009.95
"D","07/13/2024","20",19899.73
"D","07/13/2024","21",19412.17
"D","07/13/2024","22",18755.02
"D","07/13/2024","23",17557.93
"D","07/13/2024","24",16265.47
"D","07/14/2024","01",15325.58
"D","07/14/2024","02",14541.48
"D","07/14/2024","03",14194.84
"D","07/14/2024","04",14025.65
"D","07/14/2024","05",13757.07
"D","07/14/2024","06",13575.76
"D","07/14/2024","07",13500.84
"D","07/14/2024","08",13074.05
"D","07/14/2024","09",13395.22
"D","07/14/2024","10",13794.85
"D","07/14/2024","11",14324.48
"D","07/14/2024","12",15058.57
"D","07/14/2024","13",15818.48
"D","07/14/2024","14",16483.49
"D","07/14/2024","15",17230.43
"D","07/14/2024","16",18245.66
"D","07/14/2024","17",19562.2
"D","07/14/2024","18",20890.92
"D","07/14/2024","19",21578.92
"D","07/14/2024","20",21413.28
"D","07/14/2024","21",20758.49
"D","07/14/2024","22",19750.5
"D","07/14/2024","23",18403.73
"D","07/14/2024","24",17028.6
"D","07/15/2024","01",16658.97
"D","07/15/2024","02",16105.83
"D","07/15/2024","03",15502.12
"D","07/15/2024","04",15175.64
"D","07/15/2024","05",15207.44
"D","07/15/2024","06",15271.17
"D","07/15/2024","07",15841.35
"D","07/15/2024","08",16459.26
"D","07/15/2024","09",16858.51
"D","07/15/2024","10",17109.01
"D","07/15/2024","11",17834.39
"D","07/15/2024","12",18911.47
"D","07/15/2024","13",19924.97
"D","07/15/2024","14",20832.28
"D","07/15/2024","15",21720.52
"D","07/15/2024","16",22493.14
"D","07/15/2024","17",23063.55
"D","07/15/2024","18",22861.26
"D","07/15/2024","19",23062.91
"D","07/15/2024","20",22961.07
"D","07/15/2024","21",22646.58
"D","07/15/2024","22",21639.48
"D","07/15/2024","23",19975.4
"D","07/15/2024","24",18772.02
"D","07/16/2024","01",17923.33
"D","07/16/2024","02",17389.19
"D","07/16/2024","03",16935.45
"D","07/16/2024","04",16544.17
"D","07/16/2024","05",16474.02
"D","07/16/2024","06",16835.24
"D","07/16/2024","07",17470.79
"D","07/16/2024","08",17998.02
"D","07/16/2024","09",17876.98
"D","07/16/2024","10",17638.29
"D","07/16/2024","11",17973.94
"D","07/16/2024","12",18611.23
"D","07/16/2024","13",19329.48
"D","07/16/2024","14",20161.06
"D","07/16/2024","15",21068.64
"D","07/16/2024","16",22022.92
"D","07/16/2024","17",23205.05
"D","07/16/2024","18",23920.5
"D","07/16/2024","19",24254.65
"D","07/16/2024","20",23744.72
"D","07/16/2024","21",23107.02
"D","07/16/2024","22",21736.89
"D","07/16/2024","23",20366.5
"D","07/16/2024","24",18862.54
"D","07/17/2024","01",18246.23
"D","07/17/2024","02",17569.48
"D","07/17/2024","03",16853.02
"D","07/17/2024","04",16374.71
"D","07/17/2024","05",16111.59
"D","07/17/2024","06",15878.66
"D","07/17/2024","07",16734.52
"D","07/17/2024","08",17469.68
"D","07/17/2024","09",17424.36
"D","07/17/2024","10",17574.64
"D","07/17/2024","11",18231.32
"D","07/17/2024","12",19090.58
"D","07/17/2024","13",19487.53
"D","07/17/2024","14",19846.56
"D","07/17/2024","15",20462.09
"D","07/17/2024","16",21507.38
"D","07/17/2024","17",22882.98
"D","07/17/2024","18",23249.08
"D","07/17/2024","19",22750.89
"D","07/17/2024","20",22067.08
"D","07/17/2024","21",21392.57
"D","07/17/2024","22",20324.91
"D","07/17/2024","23",18752.69
"D","07/17/2024","24",17236.89
"D","07/18/2024","01",16129.96
"D","07/18/2024","02",15821.52
"D","07/18/2024","03",15802.31
"D","07/18/2024","04",15576.06
"D","07/18/2024","05",15641.59
"D","07/18/2024","06",16160.36
"D","07/18/2024","07",16801.53
"D","07/18/2024","08",17025.8
"D","07/18/2024","09",16885.23
"D","07/18/2024","10",16749.71
"D","07/18/2024","11",16886.98
"D","07/18/2024","12",17130.02
"D","07/18/2024","13",17393.24
"D","07/18/2024","14",17669.34
"D","07/18/2024","15",18053.26
"D","07/18/2024","16",18895.54
"D","07/18/2024","17",19737.46
"D","07/18/2024","18",20329.24
"D","07/18/2024","19",20441.47
"D","07/18/2024","20",20106.47
"D","07/18/2024","21",19516.77
"D","07/18/2024","22",18547.43
"D","07/18/2024","23",16934.3
"D","07/18/2024","24",15405.56
"D","07/19/2024","01",14416.83
"D","07/19/2024","02",13799.65
"D","07/19/2024","03",13413.36
"D","07/19/2024","04",13031.48
"D","07/19/2024","05",12904.46
"D","07/19/2024","06",13167.24
"D","07/19/2024","07",13586.52
"D","07/19/2024","08",13534.91
"D","07/19/2024","09",13381.69
"D","07/19/2024","10",13028.82
"D","07/19/2024","11",12945.83
"D","07/19/2024","12",13177.18
"D","07/19/2024","13",13614.96
"D","07/19/2024","14",14074.65
"D","07/19/2024","15",14837.38
"D","07/19/2024","16",15651.16
"D","07/19/2024","17",16720.01
"D","07/19/2024","18",17741.78
"D","07/19/2024","19",18321.84
"D","07/19/2024","20",18238.78
"D","07/19/2024","21",17562.2
"D","07/19/2024","22",16804.53
"D","07/19/2024","23",15555.1
"D","07/19/2024","24",14319.43
"D","07/20/2024","01",13290.68
"D","07/20/2024","02",12710.08
"D","07/20/2024","03",12613.82
"D","07/20/2024","04",12232.28
"D","07/20/2024","05",12348.91
"D","07/20/2024","06",12219.7
"D","07/20/2024","07",12038.98
"D","07/20/2024","08",12259.23
"D","07/20/2024","09",12352.18
"D","07/20/2024","10",12386.61
"D","07/20/2024","11",12413.61
"D","07/20/2024","12",13044.38
"D","07/20/2024","13",13454.98
"D","07/20/2024","14",13818.52
"D","07/20/2024","15",14241.12
"D","07/20/2024","16",15160.59
"D","07/20/2024","17",16472.27
"D","07/20/2024","18",17631.58
"D","07/20/2024","19",17991.9
"D","07/20/2024","20",17830.8
"D","07/20/2024","21",17532.22
"D","07/20/2024","22",16961.4
"D","07/20/2024","23",15934.46
"D","07/20/2024","24",14855.44
"D","07/21/2024","01",13906.4
"D","07/21/2024","02",13327.14
"D","07/21/2024","03",13258.91
"D","07/21/2024","04",12915.64
"D","07/21/2024","05",12931.52
"D","07/21/2024","06",12923.92
"D","07/21/2024","07",12964.2
"D","07/21/2024","08",13166.04
"D","07/21/2024","09",12924.09
"D","07/21/2024","10",12603.92
"D","07/21/2024","11",12829.15
"D","07/21/2024","12",13292.15
"D","07/21/2024","13",14086.91
"D","07/21/2024","14",14784.51
"D","07/21/2024","15",15278.85
"D","07/21/2024","16",16065.8
"D","07/21/2024","17",17132.22
"D","07/21/2024","18",18168.22
"D","07/21/2024","19",18849.78
"D","07/21/2024","20",18805.54
"D","07/21/2024","21",18365.73
"D","07/21/2024","22",17545.06
"D","07/21/2024","23",16184.26
"D","07/21/2024","24",14785.74
"D","07/22/2024","01",13794.94
"D","07/22/2024","02",13676.86
"D","07/22/2024","03",13900.76
"D","07/22/2024","04",13586.11
"D","07/22/2024","05",13632.73
"D","07/22/2024","06",13747.47
"D","07/22/2024","07",13657.27
"D","07/22/2024","08",14089.87
"D","07/22/2024","09",14195.21
"D","07/22/2024","10",14220.49
"D","07/22/2024","11",14594.86
"D","07/22/2024","12",15335.89
"D","07/22/2024","13",16158.12
"D","07/22/2024","14",16982.32
"D","07/22/2024","15",17712.14
"D","07/22/2024","16",18411.45
"D","07/22/2024","17",19091.82
"D","07/22/2024","18",19445.59
"D","07/22/2024","19",19558.6
"D","07/22/2024","20",19563.06
"D","07/22/2024","21",19405.95
"D","07/22/2024","22",18595.64
"D","07/22/2024","23",17191.42
"D","07/22/2024","24",15826.97
"D","07/23/2024","01",15222.91
"D","07/23/2024","02",14922.28
"D","07/23/2024","03",14903.64
"D","07/23/2024","04",14766.23
"D","07/23/2024","05",14798.76
"D","07/23/2024","06",14735.32
"D","07/23/2024","07",15123.49
"D","07/23/2024","08",15561.84
"D","07/23/2024","09",15990.34
"D","07/23/2024","10",16054.94
"D","07/23/2024","11",16193.53
"D","07/23/2024","12",16371.84
"D","07/23/2024","13",16165.04
"D","07/23/2024","14",16185.52
"D","07/23/2024","15",16286.43
"D","07/23/2024","16",16399.3
"D","07/23/2024","17",16749.43
"D","07/23/2024","18",17216.48
"D","07/23/2024","19",17436.54
"D","07/23/2024","20",17433.97
"D","07/23/2024","21",17241.24
"D","07/23/2024","22",16588.62
"D","07/23/2024","23",15425.69
"D","07/23/2024","24",14234.56
"D","07/24/2024","01",13384.9
"D","07/24/2024","02",13363.39
"D","07/24/2024","03",13545.23
"D","07/24/2024","04",13384.08
"D","07/24/2024","05",13521.59
"D","07/24/2024","06",13829.43
"D","07/24/2024","07",14196.46
"D","07/24/2024","08",14788.73
"D","07/24/2024","09",15243.9
"D","07/24/2024","10",15517.76
"D","07/24/2024","11",15742.92
"D","07/24/2024","12",15853.35
"D","07/24/2024","13",15918.33
"D","07/24/2024","14",15936.89
"D","07/24/2024","15",15882.75
"D","07/24/2024","16",15977.35
"D","07/24/2024","17",16399.9
"D","07/24/2024","18",16730.12
"D","07/24/2024","19",16777.88
"D","07/24/2024","20",16804.64
"D","07/24/2024","21",16644.8
"D","07/24/2024","22",16050.57
"D","07/24/2024","23",14968.94
"D","07/24/2024","24",13855.93
"D","07/25/2024","01",13280.53
"D","07/25/2024","02",13272.91
"D","07/25/2024","03",13007.51
"D","07/25/2024","04",13027.0
"D","07/25/2024","05",13202.35
"D","07/25/2024","06",13511.29
"D","07/25/2024","07",13964.63
"D","07/25/2024","08",14724.68
"D","07/25/2024","09",15284.74
"D","07/25/2024","10",15703.0
"D","07/25/2024","11",16087.88
"D","07/25/2024","12",16259.23
"D","07/25/2024","13",16391.76
"D","07/25/2024","14",16451.41
"D","07/25/2024","15",16533.2
"D","07/25/2024","16",16765.2
"D","07/25/2024","17",17299.94
"D","07/25/2024","18",17713.45
"D","07/25/2024","19",17897.26
"D","07/25/2024","20",17812.24
"D","07/25/2024","21",17394.81
"D","07/25/2024","22",16558.95
"D","07/25/2024","23",15248.77
"D","07/25/2024","24",14013.41
"D","07/26/2024","01",12702.56
"D","07/26/2024","02",12571.41
"D","07/26/2024","03",12287.78
"D","07/26/2024","04",12004.97
"D","07/26/2024","05",12036.85
"D","07/26/2024","06",12439.98
