PlantCode,PlantName,DonorPlantName,Bus_id,Pmax_MW
990101,Calibration Boston Pocket NGCC 1,ANP Bellingham Energy Project,243,250
990102,Calibration Boston Pocket NGCC 2,ANP Bellingham Energy Project,244,200
990103,Calibration Rhode Island Pocket NGCC,Rhode Island State Energy Center,205,250
990104,Calibration Rhode Island Pocket NGCC 2,Rhode Island State Energy Center,77,150
990105,Calibration North Shore NGCC,ANP Bellingham Energy Project,164,75
990106,Calibration Southwest CT NGCC 1,Milford Power Project,111,200
990107,Calibration Southwest CT NGCC 2,Bridgeport Station,229,200
990108,Calibration Central CT NGCC 1,Milford Power Project,223,200
990109,Calibration Central CT NGCC 2,Milford Power Project,175,150
990110,Calibration Central CT NGCC 3,Milford Power Project,114,100
990111,Calibration CT Interface NGCC,Bridgeport Station,152,100
