C,Nodal Load Weights Report
C,Filename: nodal_load_weights_202407_4003.csv
C,Report generated 2024-08-20 10:43:55 EST
H,Day,Hour,Location ID,Network Node Description,MW Factor,Energy Component,Congestion Component,Marginal Loss Component,Price
H,Date,String,Number,Number,MW,$/MWh,$/MWh,$/MWh,$/MWh
"D","2024-07-01","01","2437","LD.BARRE_VT34.5","33.000","25.94","0.0","-0.25","25.69"
"D","2024-07-01","01","4444","LD.SO_HERO 13.2","4.000","25.94","0.0","-0.74","25.2"
"D","2024-07-01","01","4445","LD.BERLINVT34.5","8.000","25.94","0.0","-0.17","25.77"
"D","2024-07-01","01","4446","LD.STJHNSBY34.5","10.000","25.94","0.0","-0.73","25.21"
"D","2024-07-01","01","4447","LD.IRASBURG46","6.000","25.94","0.0","-0.86","25.08"
"D","2024-07-01","01","4448","LD.HIGHGATE46","11.000","25.94","0.0","-0.65","25.29"
"D","2024-07-01","01","4449","LD.STALBANS34.5","21.000","25.94","0.0","-0.46","25.48"
"D","2024-07-01","01","4450","LD.E_FAIRFX34.5","28.000","25.94","0.0","-0.38","25.56"
"D","2024-07-01","01","4451","LD.ESSEX   34.5","29.000","25.94","0.0","-0.06","25.88"
"D","2024-07-01","01","4453","LD.EAST_AVE13.8","14.000","25.94","0.0","-0.04","25.9"
"D","2024-07-01","01","4454","LD.QUEENCTY34.5","9.000","25.94","0.0","0.02","25.96"
"D","2024-07-01","01","4455","LD.QUEENCTY13.8","12.000","25.94","0.0","0.02","25.96"
"D","2024-07-01","01","4456","LD.NEW_HAVN46","8.000","25.94","0.0","-0.09","25.85"
"D","2024-07-01","01","4457","LD.MIDLEBRY46","16.000","25.94","0.0","-0.06","25.88"
"D","2024-07-01","01","4458","LD.BLISVILL46","12.000","25.94","0.0","-0.33","25.61"
"D","2024-07-01","01","4459","LD.N_RUTLND46","19.000","25.94","0.0","-0.09","25.85"
"D","2024-07-01","01","4460","LD.ASCUTNEY46","14.000","25.94","0.0","0.12","26.06"
"D","2024-07-01","01","4461","LD.FLORNCE 46","19.000","25.94","0.0","-0.11","25.83"
"D","2024-07-01","01","4462","LD.WINDSOR 46","13.000","25.94","0.0","0.12","26.06"
"D","2024-07-01","01","4463","LD.HARTFDVT46","19.000","25.94","0.0","0.24","26.18"
"D","2024-07-01","01","4464","LD.CHELSEVT46","15.000","25.94","0.0","-0.09","25.85"
"D","2024-07-01","01","4466","LD.MIDDLESX34.5","12.000","25.94","0.0","-0.12","25.82"
"D","2024-07-01","01","4467","LD.VERNONRD69","10.000","25.94","0.0","-0.22","25.72"
"D","2024-07-01","01","4468","LD.BENINGTN46","29.000","25.94","0.0","-0.96","24.98"
"D","2024-07-01","01","4470","LD.COLD_RV 46","16.000","25.94","0.0","-0.07","25.87"
"D","2024-07-01","01","10494","LD.TAFTS_CR34.5","8.000","25.94","0.0","-0.03","25.91"
"D","2024-07-01","01","14167","LD.VERGENNE34.5","5.000","25.94","0.0","-0.05","25.89"
"D","2024-07-01","01","15410","LD.SHELBURN12.5","7.000","25.94","0.0","0.02","25.96"
"D","2024-07-01","01","15411","LD.CHARLOTT12.5","4.000","25.94","0.0","0.0","25.94"
"D","2024-07-01","01","15412","LD.N_FERRIS12.5","2.000","25.94","0.0","-0.02","25.92"
"D","2024-07-01","01","16847","LD.STOWE   34.5","7.000","25.94","0.0","-0.09","25.85"
"D","2024-07-01","01","17147","LD.EAST_AVE34.5","13.000","25.94","0.0","-0.04","25.9"
"D","2024-07-01","01","36881","LD.NEWFANE 46","7.000","25.94","0.0","-0.21","25.73"
"D","2024-07-01","01","36893","LD.LIMEKILN34.5","14.000","25.94","0.0","-0.04","25.9"
"D","2024-07-01","01","36981","LD.LYNDONVL34.5","6.000","25.94","0.0","-0.76","25.18"
"D","2024-07-01","01","37894","LD.TAFTS_CR12.5","6.000","25.94","0.0","-0.03","25.91"
"D","2024-07-01","01","37895","LD.VERNONRD46","5.000","25.94","0.0","-0.22","25.72"
"D","2024-07-01","01","40321","LD.JAY_VT  46","8.000","25.94","0.0","-0.86","25.08"
"D","2024-07-01","01","46680","LD.GEORGIA 34.5","1.000","25.94","0.0","-0.38","25.56"
"D","2024-07-01","02","2437","LD.BARRE_VT34.5","34.000","28.7","0.0","-0.07","28.63"
"D","2024-07-01","02","4444","LD.SO_HERO 13.2","3.000","28.7","0.0","-0.27","28.43"
"D","2024-07-01","02","4445","LD.BERLINVT34.5","8.000","28.7","0.0","0.06","28.76"
"D","2024-07-01","02","4446","LD.STJHNSBY34.5","9.000","28.7","0.0","-0.55","28.15"
"D","2024-07-01","02","4447","LD.IRASBURG46","3.000","28.7","0.0","-0.41","28.29"
"D","2024-07-01","02","4448","LD.HIGHGATE46","10.000","28.7","0.0","0.08","28.78"
"D","2024-07-01","02","4449","LD.STALBANS34.5","17.000","28.7","0.0","0.16","28.86"
"D","2024-07-01","02","4450","LD.E_FAIRFX34.5","25.000","28.7","0.0","0.17","28.87"
"D","2024-07-01","02","4451","LD.ESSEX   34.5","25.000","28.7","0.0","0.35","29.05"
"D","2024-07-01","02","4453","LD.EAST_AVE13.8","14.000","28.7","0.0","0.38","29.08"
"D","2024-07-01","02","4454","LD.QUEENCTY34.5","11.000","28.7","0.0","0.37","29.07"
"D","2024-07-01","02","4455","LD.QUEENCTY13.8","11.000","28.7","0.0","0.37","29.07"
"D","2024-07-01","02","4456","LD.NEW_HAVN46","7.000","28.7","0.0","0.14","28.84"
"D","2024-07-01","02","4457","LD.MIDLEBRY46","15.000","28.7","0.0","0.18","28.88"
"D","2024-07-01","02","4458","LD.BLISVILL46","10.000","28.7","0.0","0.07","28.77"
"D","2024-07-01","02","4459","LD.N_RUTLND46","18.000","28.7","0.0","0.13","28.83"
"D","2024-07-01","02","4460","LD.ASCUTNEY46","13.000","28.7","0.0","0.26","28.96"
"D","2024-07-01","02","4461","LD.FLORNCE 46","17.000","28.7","0.0","0.12","28.82"
"D","2024-07-01","02","4462","LD.WINDSOR 46","13.000","28.7","0.0","0.26","28.96"
"D","2024-07-01","02","4463","LD.HARTFDVT46","17.000","28.7","0.0","0.38","29.08"
"D","2024-07-01","02","4464","LD.CHELSEVT46","13.000","28.7","0.0","0.06","28.76"
"D","2024-07-01","02","4466","LD.MIDDLESX34.5","12.000","28.7","0.0","0.14","28.84"
"D","2024-07-01","02","4467","LD.VERNONRD69","9.000","28.7","0.0","-0.09","28.61"
"D","2024-07-01","02","4468","LD.BENINGTN46","23.000","28.7","0.0","-0.31","28.39"
"D","2024-07-01","02","4470","LD.COLD_RV 46","16.000","28.7","0.0","0.14","28.84"
"D","2024-07-01","02","10494","LD.TAFTS_CR34.5","8.000","28.7","0.0","0.36","29.06"
"D","2024-07-01","02","14167","LD.VERGENNE34.5","4.000","28.7","0.0","0.22","28.92"
"D","2024-07-01","02","15410","LD.SHELBURN12.5","6.000","28.7","0.0","0.35","29.05"
"D","2024-07-01","02","15411","LD.CHARLOTT12.5","3.000","28.7","0.0","0.31","29.01"
"D","2024-07-01","02","15412","LD.N_FERRIS12.5","2.000","28.7","0.0","0.27","28.97"
"D","2024-07-01","02","16847","LD.STOWE   34.5","9.000","28.7","0.0","0.22","28.92"
"D","2024-07-01","02","17147","LD.EAST_AVE34.5","12.000","28.7","0.0","0.38","29.08"
"D","2024-07-01","02","36881","LD.NEWFANE 46","9.000","28.7","0.0","-0.05","28.65"
"D","2024-07-01","02","36893","LD.LIMEKILN34.5","12.000","28.7","0.0","0.38","29.08"
"D","2024-07-01","02","36981","LD.LYNDONVL34.5","5.000","28.7","0.0","-0.53","28.17"
"D","2024-07-01","02","37894","LD.TAFTS_CR12.5","5.000","28.7","0.0","0.36","29.06"
"D","2024-07-01","02","37895","LD.VERNONRD46","6.000","28.7","0.0","-0.09","28.61"
"D","2024-07-01","02","40321","LD.JAY_VT  46","7.000","28.7","0.0","-0.32","28.38"
"D","2024-07-01","02","46680","LD.GEORGIA 34.5","4.000","28.7","0.0","0.17","28.87"
"D","2024-07-01","03","2437","LD.BARRE_VT34.5","34.000","23.7","0.0","-0.12","23.58"
"D","2024-07-01","03","4444","LD.SO_HERO 13.2","3.000","23.7","0.0","-0.23","23.47"
"D","2024-07-01","03","4445","LD.BERLINVT34.5","8.000","23.7","0.0","-0.02","23.68"
"D","2024-07-01","03","4446","LD.STJHNSBY34.5","9.000","23.7","0.0","-0.54","23.16"
"D","2024-07-01","03","4447","LD.IRASBURG46","4.000","23.7","0.0","-0.48","23.22"
"D","2024-07-01","03","4448","LD.HIGHGATE46","10.000","23.7","0.0","-0.02","23.68"
"D","2024-07-01","03","4449","LD.STALBANS34.5","17.000","23.7","0.0","0.06","23.76"
"D","2024-07-01","03","4450","LD.E_FAIRFX34.5","21.000","23.7","0.0","0.09","23.79"
"D","2024-07-01","03","4451","LD.ESSEX   34.5","23.000","23.7","0.0","0.25","23.95"
"D","2024-07-01","03","4453","LD.EAST_AVE13.8","13.000","23.7","0.0","0.27","23.97"
"D","2024-07-01","03","4454","LD.QUEENCTY34.5","11.000","23.7","0.0","0.28","23.98"
"D","2024-07-01","03","4455","LD.QUEENCTY13.8","11.000","23.7","0.0","0.28","23.98"
"D","2024-07-01","03","4456","LD.NEW_HAVN46","7.000","23.7","0.0","0.12","23.82"
"D","2024-07-01","03","4457","LD.MIDLEBRY46","14.000","23.7","0.0","0.14","23.84"
"D","2024-07-01","03","4458","LD.BLISVILL46","9.000","23.7","0.0","0.07","23.77"
"D","2024-07-01","03","4459","LD.N_RUTLND46","17.000","23.7","0.0","0.1","23.8"
"D","2024-07-01","03","4460","LD.ASCUTNEY46","13.000","23.7","0.0","0.16","23.86"
"D","2024-07-01","03","4461","LD.FLORNCE 46","16.000","23.7","0.0","0.1","23.8"
"D","2024-07-01","03","4462","LD.WINDSOR 46","13.000","23.7","0.0","0.16","23.86"
"D","2024-07-01","03","4463","LD.HARTFDVT46","17.000","23.7","0.0","0.25","23.95"
"D","2024-07-01","03","4464","LD.CHELSEVT46","13.000","23.7","0.0","-0.02","23.68"
"D","2024-07-01","03","4466","LD.MIDDLESX34.5","11.000","23.7","0.0","0.05","23.75"
"D","2024-07-01","03","4467","LD.VERNONRD69","8.000","23.7","0.0","-0.06","23.64"
"D","2024-07-01","03","4468","LD.BENINGTN46","18.000","23.7","0.0","-0.07","23.63"
"D","2024-07-01","03","4470","LD.COLD_RV 46","15.000","23.7","0.0","0.12","23.82"
"D","2024-07-01","03","10494","LD.TAFTS_CR34.5","7.000","23.7","0.0","0.26","23.96"
"D","2024-07-01","03","14167","LD.VERGENNE34.5","4.000","23.7","0.0","0.17","23.87"
"D","2024-07-01","03","15410","LD.SHELBURN12.5","6.000","23.7","0.0","0.26","23.96"
"D","2024-07-01","03","15411","LD.CHARLOTT12.5","3.000","23.7","0.0","0.23","23.93"
"D","2024-07-01","03","15412","LD.N_FERRIS12.5","2.000","23.7","0.0","0.21","23.91"
"D","2024-07-01","03","16847","LD.STOWE   34.5","8.000","23.7","0.0","0.12","23.82"
"D","2024-07-01","03","17147","LD.EAST_AVE34.5","11.000","23.7","0.0","0.27","23.97"
"D","2024-07-01","03","36881","LD.NEWFANE 46","12.000","23.7","0.0","-0.03","23.67"
"D","2024-07-01","03","36893","LD.LIMEKILN34.5","11.000","23.7","0.0","0.27","23.97"
"D","2024-07-01","03","36981","LD.LYNDONVL34.5","5.000","23.7","0.0","-0.53","23.17"
"D","2024-07-01","03","37894","LD.TAFTS_CR12.5","5.000","23.7","0.0","0.26","23.96"
"D","2024-07-01","03","37895","LD.VERNONRD46","7.000","23.7","0.0","-0.06","23.64"
"D","2024-07-01","03","40321","LD.JAY_VT  46","8.000","23.7","0.0","-0.43","23.27"
"D","2024-07-01","03","46680","LD.GEORGIA 34.5","4.000","23.7","0.0","0.09","23.79"
"D","2024-07-01","04","2437","LD.BARRE_VT34.5","33.000","23.16","0.0","-0.25","22.91"
"D","2024-07-01","04","4444","LD.SO_HERO 13.2","3.000","23.16","0.0","-0.4","22.76"
"D","2024-07-01","04","4445","LD.BERLINVT34.5","8.000","23.16","0.0","-0.16","23.0"
"D","2024-07-01","04","4446","LD.STJHNSBY34.5","10.000","23.16","0.0","-0.65","22.51"
"D","2024-07-01","04","4447","LD.IRASBURG46","4.000","23.16","0.0","-0.72","22.44"
"D","2024-07-01","04","4448","LD.HIGHGATE46","9.000","23.16","0.0","-0.23","22.93"
"D","2024-07-01","04","4449","LD.STALBANS34.5","17.000","23.16","0.0","-0.14","23.02"
"D","2024-07-01","04","4450","LD.E_FAIRFX34.5","21.000","23.16","0.0","-0.11","23.05"
"D","2024-07-01","04","4451","LD.ESSEX   34.5","24.000","23.16","0.0","0.08","23.24"
"D","2024-07-01","04","4453","LD.EAST_AVE13.8","13.000","23.16","0.0","0.1","23.26"
"D","2024-07-01","04","4454","LD.QUEENCTY34.5","10.000","23.16","0.0","0.12","23.28"
"D","2024-07-01","04","4455","LD.QUEENCTY13.8","10.000","23.16","0.0","0.12","23.28"
"D","2024-07-01","04","4456","LD.NEW_HAVN46","7.000","23.16","0.0","0.0","23.16"
"D","2024-07-01","04","4457","LD.MIDLEBRY46","14.000","23.16","0.0","0.02","23.18"
"D","2024-07-01","04","4458","LD.BLISVILL46","10.000","23.16","0.0","-0.14","23.02"
"D","2024-07-01","04","4459","LD.N_RUTLND46","16.000","23.16","0.0","-0.01","23.15"
"D","2024-07-01","04","4460","LD.ASCUTNEY46","13.000","23.16","0.0","0.08","23.24"
"D","2024-07-01","04","4461","LD.FLORNCE 46","16.000","23.16","0.0","-0.02","23.14"
"D","2024-07-01","04","4462","LD.WINDSOR 46","12.000","23.16","0.0","0.08","23.24"
"D","2024-07-01","04","4463","LD.HARTFDVT46","17.000","23.16","0.0","0.14","23.3"
"D","2024-07-01","04","4464","LD.CHELSEVT46","13.000","23.16","0.0","-0.14","23.02"
"D","2024-07-01","04","4466","LD.MIDDLESX34.5","11.000","23.16","0.0","-0.1","23.06"
"D","2024-07-01","04","4467","LD.VERNONRD69","9.000","23.16","0.0","-0.14","23.02"
"D","2024-07-01","04","4468","LD.BENINGTN46","19.000","23.16","0.0","-0.3","22.86"
"D","2024-07-01","04","4470","LD.COLD_RV 46","15.000","23.16","0.0","0.01","23.17"
"D","2024-07-01","04","10494","LD.TAFTS_CR34.5","7.000","23.16","0.0","0.1","23.26"
"D","2024-07-01","04","14167","LD.VERGENNE34.5","5.000","23.16","0.0","0.04","23.2"
"D","2024-07-01","04","15410","LD.SHELBURN12.5","6.000","23.16","0.0","0.12","23.28"
"D","2024-07-01","04","15411","LD.CHARLOTT12.5","3.000","23.16","0.0","0.09","23.25"
"D","2024-07-01","04","15412","LD.N_FERRIS12.5","2.000","23.16","0.0","0.07","23.23"
"D","2024-07-01","04","16847","LD.STOWE   34.5","7.000","23.16","0.0","-0.04","23.12"
"D","2024-07-01","04","17147","LD.EAST_AVE34.5","11.000","23.16","0.0","0.1","23.26"
"D","2024-07-01","04","36881","LD.NEWFANE 46","11.000","23.16","0.0","-0.11","23.05"
"D","2024-07-01","04","36893","LD.LIMEKILN34.5","11.000","23.16","0.0","0.1","23.26"
"D","2024-07-01","04","36981","LD.LYNDONVL34.5","5.000","23.16","0.0","-0.66","22.5"
"D","2024-07-01","04","37894","LD.TAFTS_CR12.5","5.000","23.16","0.0","0.1","23.26"
"D","2024-07-01","04","37895","LD.VERNONRD46","6.000","23.16","0.0","-0.14","23.02"
"D","2024-07-01","04","40321","LD.JAY_VT  46","8.000","23.16","0.0","-0.72","22.44"
"D","2024-07-01","04","46680","LD.GEORGIA 34.5","3.000","23.16","0.0","-0.11","23.05"
"D","2024-07-01","05","2437","LD.BARRE_VT34.5","33.000","24.01","0.0","-0.19","23.82"
"D","2024-07-01","05","4444","LD.SO_HERO 13.2","3.000","24.01","0.0","-0.52","23.49"
"D","2024-07-01","05","4445","LD.BERLINVT34.5","8.000","24.01","0.0","-0.11","23.9"
"D","2024-07-01","05","4446","LD.STJHNSBY34.5","9.000","24.01","0.0","-0.59","23.42"
"D","2024-07-01","05","4447","LD.IRASBURG46","4.000","24.01","0.0","-0.72","23.29"
"D","2024-07-01","05","4448","LD.HIGHGATE46","9.000","24.01","0.0","-0.29","23.72"
"D","2024-07-01","05","4449","LD.STALBANS34.5","16.000","24.01","0.0","-0.2","23.81"
"D","2024-07-01","05","4450","LD.E_FAIRFX34.5","22.000","24.01","0.0","-0.17","23.84"
"D","2024-07-01","05","4451","LD.ESSEX   34.5","24.000","24.01","0.0","0.04","24.05"
"D","2024-07-01","05","4453","LD.EAST_AVE13.8","13.000","24.01","0.0","0.06","24.07"
"D","2024-07-01","05","4454","LD.QUEENCTY34.5","10.000","24.01","0.0","0.1","24.11"
"D","2024-07-01","05","4455","LD.QUEENCTY13.8","10.000","24.01","0.0","0.1","24.11"
"D","2024-07-01","05","4456","LD.NEW_HAVN46","7.000","24.01","0.0","-0.02","23.99"
"D","2024-07-01","05","4457","LD.MIDLEBRY46","14.000","24.01","0.0","0.0","24.01"
"D","2024-07-01","05","4458","LD.BLISVILL46","11.000","24.01","0.0","-0.19","23.82"
"D","2024-07-01","05","4459","LD.N_RUTLND46","16.000","24.01","0.0","-0.03","23.98"
"D","2024-07-01","05","4460","LD.ASCUTNEY46","12.000","24.01","0.0","0.09","24.1"
"D","2024-07-01","05","4461","LD.FLORNCE 46","15.000","24.01","0.0","-0.04","23.97"
"D","2024-07-01","05","4462","LD.WINDSOR 46","12.000","24.01","0.0","0.09","24.1"
"D","2024-07-01","05","4463","LD.HARTFDVT46","16.000","24.01","0.0","0.18","24.19"
"D","2024-07-01","05","4464","LD.CHELSEVT46","12.000","24.01","0.0","-0.08","23.93"
"D","2024-07-01","05","4466","LD.MIDDLESX34.5","11.000","24.01","0.0","-0.06","23.95"
"D","2024-07-01","05","4467","LD.VERNONRD69","8.000","24.01","0.0","-0.16","23.85"
"D","2024-07-01","05","4468","LD.BENINGTN46","19.000","24.01","0.0","-0.37","23.64"
"D","2024-07-01","05","4470","LD.COLD_RV 46","15.000","24.01","0.0","-0.01","24.0"
"D","2024-07-01","05","10494","LD.TAFTS_CR34.5","7.000","24.01","0.0","0.06","24.07"
"D","2024-07-01","05","14167","LD.VERGENNE34.5","4.000","24.01","0.0","0.02","24.03"
"D","2024-07-01","05","15410","LD.SHELBURN12.5","5.000","24.01","0.0","0.09","24.1"
"D","2024-07-01","05","15411","LD.CHARLOTT12.5","3.000","24.01","0.0","0.07","24.08"
"D","2024-07-01","05","15412","LD.N_FERRIS12.5","2.000","24.01","0.0","0.05","24.06"
"D","2024-07-01","05","16847","LD.STOWE   34.5","7.000","24.01","0.0","-0.02","23.99"
"D","2024-07-01","05","17147","LD.EAST_AVE34.5","11.000","24.01","0.0","0.06","24.07"
"D","2024-07-01","05","36881","LD.NEWFANE 46","10.000","24.01","0.0","-0.13","23.88"
"D","2024-07-01","05","36893","LD.LIMEKILN34.5","11.000","24.01","0.0","0.06","24.07"
"D","2024-07-01","05","36981","LD.LYNDONVL34.5","5.000","24.01","0.0","-0.61","23.4"
"D","2024-07-01","05","37894","LD.TAFTS_CR12.5","5.000","24.01","0.0","0.06","24.07"
"D","2024-07-01","05","37895","LD.VERNONRD46","6.000","24.01","0.0","-0.16","23.85"
"D","2024-07-01","05","40321","LD.JAY_VT  46","9.000","24.01","0.0","-0.74","23.27"
"D","2024-07-01","05","46680","LD.GEORGIA 34.5","2.000","24.01","0.0","-0.17","23.84"
"D","2024-07-01","06","2437","LD.BARRE_VT34.5","33.000","22.48","0.0","-0.11","22.37"
"D","2024-07-01","06","4444","LD.SO_HERO 13.2","3.000","22.48","0.0","-0.39","22.09"
"D","2024-07-01","06","4445","LD.BERLINVT34.5","8.000","22.48","0.0","-0.03","22.45"
"D","2024-07-01","06","4446","LD.STJHNSBY34.5","10.000","22.48","0.0","-0.5","21.98"
"D","2024-07-01","06","4447","LD.IRASBURG46","5.000","22.48","0.0","-0.67","21.81"
"D","2024-07-01","06","4448","LD.HIGHGATE46","10.000","22.48","0.0","-0.2","22.28"
"D","2024-07-01","06","4449","LD.STALBANS34.5","15.000","22.48","0.0","-0.11","22.37"
"D","2024-07-01","06","4450","LD.E_FAIRFX34.5","22.000","22.48","0.0","-0.08","22.4"
"D","2024-07-01","06","4451","LD.ESSEX   34.5","24.000","22.48","0.0","0.12","22.6"
"D","2024-07-01","06","4453","LD.EAST_AVE13.8","13.000","22.48","0.0","0.14","22.62"
"D","2024-07-01","06","4454","LD.QUEENCTY34.5","10.000","22.48","0.0","0.16","22.64"
"D","2024-07-01","06","4455","LD.QUEENCTY13.8","11.000","22.48","0.0","0.16","22.64"
"D","2024-07-01","06","4456","LD.NEW_HAVN46","7.000","22.48","0.0","0.03","22.51"
"D","2024-07-01","06","4457","LD.MIDLEBRY46","15.000","22.48","0.0","0.06","22.54"
"D","2024-07-01","06","4458","LD.BLISVILL46","11.000","22.48","0.0","-0.09","22.39"
"D","2024-07-01","06","4459","LD.N_RUTLND46","17.000","22.48","0.0","0.03","22.51"
"D","2024-07-01","06","4460","LD.ASCUTNEY46","12.000","22.48","0.0","0.13","22.61"
"D","2024-07-01","06","4461","LD.FLORNCE 46","15.000","22.48","0.0","0.01","22.49"
"D","2024-07-01","06","4462","LD.WINDSOR 46","12.000","22.48","0.0","0.13","22.61"
"D","2024-07-01","06","4463","LD.HARTFDVT46","17.000","22.48","0.0","0.24","22.72"
"D","2024-07-01","06","4464","LD.CHELSEVT46","12.000","22.48","0.0","-0.01","22.47"
"D","2024-07-01","06","4466","LD.MIDDLESX34.5","11.000","22.48","0.0","0.02","22.5"
"D","2024-07-01","06","4467","LD.VERNONRD69","9.000","22.48","0.0","-0.12","22.36"
"D","2024-07-01","06","4468","LD.BENINGTN46","21.000","22.48","0.0","-0.27","22.21"
"D","2024-07-01","06","4470","LD.COLD_RV 46","15.000","22.48","0.0","0.04","22.52"
"D","2024-07-01","06","10494","LD.TAFTS_CR34.5","7.000","22.48","0.0","0.13","22.61"
"D","2024-07-01","06","14167","LD.VERGENNE34.5","4.000","22.48","0.0","0.08","22.56"
"D","2024-07-01","06","15410","LD.SHELBURN12.5","5.000","22.48","0.0","0.15","22.63"
"D","2024-07-01","06","15411","LD.CHARLOTT12.5","3.000","22.48","0.0","0.13","22.61"
"D","2024-07-01","06","15412","LD.N_FERRIS12.5","2.000","22.48","0.0","0.11","22.59"
"D","2024-07-01","06","16847","LD.STOWE   34.5","7.000","22.48","0.0","0.06","22.54"
"D","2024-07-01","06","17147","LD.EAST_AVE34.5","11.000","22.48","0.0","0.14","22.62"
"D","2024-07-01","06","36881","LD.NEWFANE 46","10.000","22.48","0.0","-0.09","22.39"
"D","2024-07-01","06","36893","LD.LIMEKILN34.5","11.000","22.48","0.0","0.14","22.62"
"D","2024-07-01","06","36981","LD.LYNDONVL34.5","5.000","22.48","0.0","-0.53","21.95"
"D","2024-07-01","06","37894","LD.TAFTS_CR12.5","5.000","22.48","0.0","0.13","22.61"
"D","2024-07-01","06","37895","LD.VERNONRD46","6.000","22.48","0.0","-0.12","22.36"
"D","2024-07-01","06","40321","LD.JAY_VT  46","10.000","22.48","0.0","-0.69","21.79"
"D","2024-07-01","06","46680","LD.GEORGIA 34.5","1.000","22.48","0.0","-0.08","22.4"
"D","2024-07-01","07","2437","LD.BARRE_VT34.5","37.000","22.77","0.0","-0.13","22.64"
"D","2024-07-01","07","4444","LD.SO_HERO 13.2","3.000","22.77","0.0","-0.47","22.3"
"D","2024-07-01","07","4445","LD.BERLINVT34.5","9.000","22.77","0.0","-0.05","22.72"
"D","2024-07-01","07","4446","LD.STJHNSBY34.5","10.000","22.77","0.0","-0.5","22.27"
"D","2024-07-01","07","4447","LD.IRASBURG46","4.000","22.77","0.0","-0.52","22.25"
"D","2024-07-01","07","4448","LD.HIGHGATE46","11.000","22.77","0.0","-0.17","22.6"
"D","2024-07-01","07","4449","LD.STALBANS34.5","16.000","22.77","0.0","-0.09","22.68"
"D","2024-07-01","07","4450","LD.E_FAIRFX34.5","23.000","22.77","0.0","-0.08","22.69"
"D","2024-07-01","07","4451","LD.ESSEX   34.5","25.000","22.77","0.0","0.12","22.89"
"D","2024-07-01","07","4453","LD.EAST_AVE13.8","14.000","22.77","0.0","0.14","22.91"
"D","2024-07-01","07","4454","LD.QUEENCTY34.5","10.000","22.77","0.0","0.16","22.93"
