Time Period,Month,Day,Hours,SALBRYNB,ROSETON,HQ_P1_P2,HQHIGATE,SHOREHAM,NORTHPORT,ISO_NE_CA_NetInt_MWh,InterfaceSum_NetInt_MWh
1,7,1,1,75.0,745.0,3.0,4.0,-330.0,-187.0,310.0,310.0
1,7,1,2,95.0,342.0,359.0,0.0,-332.0,-132.0,332.0,332.0
1,7,1,3,43.0,640.0,216.0,0.0,-330.0,12.0,581.0,581.0
1,7,1,4,27.0,920.0,12.0,0.0,-330.0,40.0,669.0,669.0
1,7,1,5,74.0,926.0,0.0,0.0,-284.0,2.0,718.0,718.0
1,7,1,6,86.0,881.0,231.0,0.0,-330.0,-14.0,854.0,854.0
1,7,1,7,37.0,987.0,245.0,0.0,-330.0,-8.0,931.0,931.0
1,7,1,8,-1.0,821.0,245.0,0.0,-332.0,-11.0,722.0,722.0
1,7,1,9,-116.0,636.0,7.0,0.0,-330.0,-77.0,120.0,120.0
1,7,1,10,-214.0,337.0,0.0,0.0,-331.0,-147.0,-355.0,-355.0
1,7,1,11,-254.0,50.0,0.0,0.0,-332.0,-179.0,-715.0,-715.0
1,7,1,12,-242.0,16.0,1.0,0.0,-330.0,-172.0,-727.0,-727.0
1,7,1,13,-248.0,42.0,235.0,0.0,-332.0,-199.0,-502.0,-502.0
1,7,1,14,-264.0,35.0,236.0,0.0,-330.0,-178.0,-501.0,-501.0
1,7,1,15,-266.0,-123.0,236.0,0.0,-331.0,-169.0,-653.0,-653.0
1,7,1,16,-218.0,-287.0,235.0,0.0,-331.0,-155.0,-756.0,-756.0
1,7,1,17,-162.0,-329.0,266.0,0.0,-332.0,-92.0,-649.0,-649.0
1,7,1,18,-144.0,-266.0,906.0,6.0,-331.0,-108.0,63.0,63.0
1,7,1,19,-112.0,-203.0,1480.0,221.0,-330.0,-94.0,962.0,962.0
1,7,1,20,-189.0,324.0,1483.0,226.0,-331.0,-34.0,1479.0,1479.0
1,7,1,21,-236.0,405.0,914.0,223.0,-331.0,0.0,975.0,975.0
1,7,1,22,-178.0,564.0,264.0,74.0,-331.0,-16.0,377.0,377.0
1,7,1,23,-143.0,657.0,234.0,3.0,-331.0,-102.0,318.0,318.0
1,7,1,24,-57.0,372.0,235.0,0.0,-331.0,-128.0,91.0,91.0
1,7,2,25,59.0,523.0,235.0,0.0,-331.0,-172.0,314.0,314.0
1,7,2,26,4.0,614.0,235.0,0.0,-330.0,-78.0,445.0,445.0
1,7,2,27,-1.0,684.0,235.0,0.0,-330.0,-16.0,572.0,572.0
1,7,2,28,20.0,829.0,234.0,0.0,-330.0,12.0,765.0,765.0
1,7,2,29,-36.0,811.0,234.0,0.0,-285.0,-27.0,697.0,697.0
1,7,2,30,-125.0,538.0,234.0,0.0,-291.0,-9.0,347.0,347.0
1,7,2,31,-121.0,749.0,235.0,0.0,-330.0,0.0,533.0,533.0
1,7,2,32,-200.0,543.0,235.0,0.0,-332.0,-50.0,196.0,196.0
