Time Period,Month,Day,Hours,OfficialSystemNI,TargetSystemNI,PositiveImportScale,SALBRYNB,ROSETON,HQ_P1_P2,HQHIGATE,SHOREHAM,NORTHPORT,CalibratedSystemNI
1,7,1,1,310.0,4387.0,5.929866989117292,444.7400241837969,4417.750906892383,17.789600967351873,23.719467956469167,-330.0,-187.0,4387.000000000001
1,7,1,2,332.0,3461.0,4.930904522613066,468.43592964824126,1686.3693467336684,1770.1947236180906,0.0,-332.0,-132.0,3461.0
1,7,1,3,581.0,2876.0,3.5192096597145994,151.32601536772776,2252.2941822173434,760.1492864983535,0.0,-330.0,42.23051591657519,2876.0
1,7,1,4,669.0,3088.0,3.4214214214214214,92.37837837837837,3147.707707707708,41.05705705705706,0.0,-330.0,136.85685685685687,3088.0
1,7,1,5,718.0,3215.0,3.492015968063872,258.40918163672654,3233.6067864271454,0.0,0.0,-284.0,6.984031936127744,3214.9999999999995
1,7,1,6,854.0,3283.0,3.0275459098497497,260.3689482470785,2667.2679465776296,699.3631051752922,0.0,-330.0,-14.0,3283.0000000000005
1,7,1,7,931.0,3482.0,3.0102442868400314,111.37903861308116,2971.111111111111,737.5098502758077,0.0,-330.0,-8.0,3482.0
1,7,1,8,722.0,4002.0,4.076923076923077,-1.0,3347.1538461538457,998.8461538461538,0.0,-332.0,-11.0,4002.0
1,7,1,9,120.0,4229.0,7.390357698289269,-116.0,4700.267496111975,51.73250388802488,0.0,-330.0,-77.0,4228.999999999999
1,7,1,10,-355.0,4334.0,14.913946587537092,-214.0,5026.0,0.0,0.0,-331.0,-147.0,4334.0
1,7,1,11,-715.0,4279.0,100.88,-254.0,5044.0,0.0,0.0,-332.0,-179.0,4279.0
1,7,1,12,-727.0,4209.0,291.3529411764706,-242.0,4661.64705882353,291.3529411764706,0.0,-330.0,-172.0,4209.0
1,7,1,13,-502.0,4188.0,17.931407942238266,-248.0,753.1191335740072,4213.880866425992,0.0,-332.0,-199.0,4187.999999999999
1,7,1,14,-501.0,4364.0,18.952029520295202,-264.0,663.3210332103321,4472.678966789667,0.0,-330.0,-178.0,4363.999999999999
1,7,1,15,-653.0,4350.0,22.199152542372882,-266.0,-123.0,5239.0,0.0,-331.0,-169.0,4350.0
1,7,1,16,-756.0,4160.0,21.919148936170213,-218.0,-287.0,5151.0,0.0,-331.0,-155.0,4160.0
1,7,1,17,-649.0,3714.0,17.402255639097746,-162.0,-329.0,4629.0,0.0,-332.0,-92.0,3714.0
1,7,1,18,63.0,3680.0,4.9660087719298245,-144.0,-266.0,4499.203947368421,29.796052631578945,-331.0,-108.0,3680.0
1,7,1,19,962.0,4176.0,2.889476778365667,-112.0,-203.0,4276.4256319811875,638.5743680188125,-330.0,-94.0,4176.0
1,7,1,20,1479.0,4548.0,2.509591736350221,-189.0,813.1077225774717,3721.724545007378,567.16773241515,-331.0,-34.0,4547.999999999999
1,7,1,21,975.0,4738.0,3.440337224383917,-236.0,1393.3365758754865,3144.4682230869003,767.1952010376135,-331.0,0.0,4738.0
1,7,1,22,377.0,4130.0,5.160753880266076,-178.0,2910.665188470067,1362.439024390244,381.8957871396896,-331.0,-16.0,4130.0
1,7,1,23,318.0,3532.0,4.5950782997762865,-143.0,3018.9664429530203,1075.248322147651,13.78523489932886,-331.0,-102.0,3532.0
1,7,1,24,91.0,3464.0,6.556836902800659,-57.0,2439.143327841845,1540.8566721581549,0.0,-331.0,-128.0,3464.0
1,7,2,25,314.0,3252.0,4.596083231334149,271.1689106487148,2403.75152998776,1080.079559363525,0.0,-331.0,-172.0,3252.0
1,7,2,26,445.0,3436.0,4.506447831184056,18.025791324736225,2766.958968347011,1059.0152403282532,0.0,-330.0,-78.0,3436.0
1,7,2,27,572.0,2914.0,3.5484221980413495,-1.0,2427.120783460283,833.8792165397172,0.0,-330.0,-16.0,2914.0
1,7,2,28,765.0,2644.0,2.7159817351598172,54.31963470319634,2251.5488584474883,635.5397260273973,0.0,-330.0,32.59178082191781,2643.9999999999995
1,7,2,29,697.0,2810.0,3.0220095693779903,-36.0,2450.84976076555,707.1502392344497,0.0,-285.0,-27.0,2809.9999999999995
1,7,2,30,347.0,2793.0,4.168393782383419,-125.0,2242.5958549222796,975.4041450777202,0.0,-291.0,-9.0,2793.0
1,7,2,31,533.0,2696.0,3.198170731707317,-121.0,2395.4298780487807,751.5701219512196,0.0,-330.0,0.0,2696.0
