Bus_id,Zone_id,LoadZone,State,Source,MappingMethod,Latitude,Longitude
1,NNE,VT,VT,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",43.685265700400635,-72.50317325513663
2,NNE,VT,VT,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",43.93512767255456,-72.51331010396359
3,NNE,VT,VT,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",44.56317575304085,-72.8388292080811
4,Maine,ME,ME,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",44.309934347884266,-68.96213506013717
5,Maine,ME,ME,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",44.65426910544976,-69.9668225237288
6,Maine,ME,ME,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",45.29314316314274,-69.25834687806966
7,Maine,ME,ME,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",45.42030861422039,-69.29409413332863
8,Maine,ME,ME,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",44.44398370593803,-70.3457991953125
9,Maine,ME,ME,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",43.888530968509286,-69.33589996872037
10,Maine,ME,ME,Synthetic electrical partition of TAMU Summer90Tight with ISO-NE load-zone/state subpartition,"Capacity-zone graph partition, then within-zone force-layout embedding around real New England load-zone anchors, blended with optional OSM transmission substations/corridor priors; not official bus geography",45.247646216082835,-68.87257302258823
