GenId,PlantCode,PlantName,HopeType,EIA Technology,State,County,LoadZone,Zone,Pmax (MW),AssignedBus,SplitIndex,SplitShare,PlantLatitude,PlantLongitude,AssignedBusLatitude,AssignedBusLongitude,MappingMethod,DataSource
G1,566,Millstone,NuC,Nuclear,CT,New London,CT,ROP,915.683,19,1,0.435169,41.3107,-72.1677,41.513833,-72.512384,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G2,566,Millstone,NuC,Nuclear,CT,New London,CT,ROP,477.209,99,2,0.226789,41.3107,-72.1677,41.547664,-72.423042,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G3,566,Millstone,NuC,Nuclear,CT,New London,CT,ROP,393.168,230,3,0.186849,41.3107,-72.1677,41.397834,-72.463256,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G4,566,Millstone,NuC,Nuclear,CT,New London,CT,ROP,318.14,115,4,0.151193,41.3107,-72.1677,41.505534,-72.296196,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G5,1599,Canal,Oil,Petroleum Liquids,MA,Barnstable,SEMA,SENE,575.019,219,1,0.396893,41.7694,-70.5097,41.867855,-70.766722,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G6,1599,Canal,Oil,Petroleum Liquids,MA,Barnstable,SEMA,SENE,296.938,84,2,0.204954,41.7694,-70.5097,41.916986,-70.783641,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G7,1599,Canal,Oil,Petroleum Liquids,MA,Barnstable,SEMA,SENE,288.422,26,3,0.199076,41.7694,-70.5097,41.888181,-70.652059,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G8,1599,Canal,Oil,Petroleum Liquids,MA,Barnstable,SEMA,SENE,288.422,167,4,0.199076,41.7694,-70.5097,41.81633,-70.746644,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G9,6115,Seabrook,NuC,Nuclear,NH,Rockingham,NH,NNE,1250.0,135,1,1.0,42.899167,-70.848889,43.078254,-71.109825,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G10,55149,Lake Road Generating Plant,NGCC,Natural Gas Fired Combined Cycle,CT,Windham,CT,ROP,828.8,97,1,1.0,41.872043,-71.895799,41.780569,-72.278581,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G11,1507,William F Wyman Hybrid,Oil,Petroleum Liquids,ME,Cumberland,ME,Maine,810.9,210,1,1.0,43.7508,-70.1567,43.832446,-70.099412,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G12,56047,CPV Towantic Energy Center,NGCC,Natural Gas Fired Combined Cycle,CT,New Haven,CT,ROP,775.61,227,1,1.0,41.481243,-73.123108,41.385187,-73.043222,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G13,55317,Fore River Generating Station,NGCC,Natural Gas Fired Combined Cycle,MA,Norfolk,NEMA/Boston,SENE,724.0,204,1,1.0,42.2422,-70.9661,42.232662,-71.00158,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G14,60903,Salem Harbor Power Development LP,NGCC,Natural Gas Fired Combined Cycle,MA,Essex,NEMA/Boston,SENE,675.0,117,1,1.0,42.525486,-70.878239,42.535211,-70.875049,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G15,55170,Granite Ridge,NGCC,Natural Gas Fired Combined Cycle,NH,Rockingham,NH,NNE,668.0,151,1,1.0,42.9042,-71.4261,42.952477,-71.343013,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G16,56798,Kleen Energy Systems Project,NGCC,Natural Gas Fired Combined Cycle,CT,Middlesex,CT,ROP,622.0,19,1,1.0,41.553227,-72.596867,41.513833,-72.512384,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
G17,6156,New Haven Harbor,Oil,Petroleum Liquids,CT,New Haven,CT,ROP,562.2,224,1,1.0,41.283997,-72.904323,41.258193,-72.901435,"Scored HOPE bus selection in same load zone using plant coordinates, grid strength, corridor proximity, occupancy penalty, and incident transmission headroom; oversized plants may be split across nearby strong buses",EIA-860 2024 Operable generators + Plant sheet
