from_bus,to_bus,From_zone,To_zone,Capacity (MW),X,Miles,Seam,FlagTargetRewire,FromLoadZone,ToLoadZone
181,182,NNE,Maine,524.39,0.095349,204.7711142746782,Maine-NNE,False,VT,ME
177,135,Maine,NNE,200.0,0.0225780287440022,174.206949128481,Maine-NNE,False,ME,NH
135,177,NNE,Maine,353.36,0.00962145490264205,174.206949128481,Maine-NNE,False,NH,ME
131,152,NNE,ROP,250.0,0.035197,170.42718907201603,NNE-ROP,False,NH,CT
229,237,ROP,NNE,178.87,0.010403,168.37311095550595,NNE-ROP,False,CT,NH
26,43,SENE,NNE,896.9481381000412,0.009112,159.29115170465346,NNE-SENE,False,SEMA,VT
25,141,NNE,Maine,1496.37,0.01928528771649355,152.00692398181852,Maine-NNE,False,NH,ME
17,18,Maine,NNE,137.68,0.194499,151.46498788451086,Maine-NNE,False,ME,VT
174,21,Maine,NNE,868.25,0.005010472308177986,135.18274780631896,Maine-NNE,False,ME,NH
190,76,Maine,NNE,530.03,0.009955,130.52070380705177,Maine-NNE,False,ME,NH
197,198,NNE,ROP,150.0,0.046667,128.50156546541928,NNE-ROP,False,NH,CT
227,234,ROP,SENE,530.03,0.007234,128.02068981177268,ROP-SENE,False,CT,NEMA/Boston
193,135,Maine,NNE,530.03,0.0350676901642125,126.2746139212157,Maine-NNE,False,ME,NH
71,76,Maine,NNE,530.03,0.009863,121.53425508491407,Maine-NNE,False,ME,NH
135,202,NNE,Maine,530.03,0.04250909189696141,117.71911180963816,Maine-NNE,False,NH,ME
135,202,NNE,Maine,300.0,0.013772430923234682,117.71911180963816,Maine-NNE,False,NH,ME
196,25,ROP,NNE,1496.37,0.014128712283506447,111.36271989363081,NNE-ROP,False,CT,NH
21,198,NNE,ROP,200.0,0.06,110.39696291071009,NNE-ROP,False,NH,CT
109,122,ROP,SENE,107.32,0.070386,108.80578106341682,ROP-SENE,False,CT,NEMA/Boston
135,245,NNE,Maine,530.03,0.007244186975809843,104.20134021071767,Maine-NNE,False,NH,ME
135,245,NNE,Maine,300.0,0.021032021876805508,104.20134021071767,Maine-NNE,False,NH,ME
228,126,ROP,NNE,353.36,0.018895,99.62507325100857,NNE-ROP,False,CT,NH
135,249,NNE,ROP,200.0,0.012421971255997807,95.84511292837834,NNE-ROP,False,NH,WCMA
135,200,NNE,ROP,530.03,0.026499309835787487,95.42088751849454,NNE-ROP,False,NH,WCMA
166,135,SENE,NNE,300.0,0.01896797812319449,93.97521327724304,NNE-SENE,False,RI,NH
228,120,ROP,SENE,831.0,0.013115,86.4566499710218,ROP-SENE,False,CT,NEMA/Boston
192,197,Maine,NNE,178.87,0.094672,86.39911463537277,Maine-NNE,False,ME,NH
100,140,Maine,Maine,261.01,0.029371,84.74522859687258,Maine-Maine,False,ME,ME
24,135,ROP,NNE,353.36,0.004659545097357953,84.36615293123708,NNE-ROP,False,WCMA,NH
21,250,NNE,ROP,868.25,0.003105527691822014,83.78726414352276,NNE-ROP,False,NH,WCMA
26,135,SENE,NNE,530.03,0.02994490810303859,82.92550670467078,NNE-SENE,False,SEMA,NH
8,54,Maine,Maine,665.28,0.00508,82.75629781295027,Maine-Maine,False,ME,ME
27,135,SENE,NNE,300.0,0.00956056907676532,81.71844944328626,NNE-SENE,False,RI,NH
127,163,NNE,SENE,444.2688049646318,0.047192,78.87660381279248,NNE-SENE,False,NH,RI
143,144,Maine,Maine,435.02,0.018373,77.48067618984463,Maine-Maine,False,ME,ME
7,186,Maine,Maine,700.0,0.017143,75.61070208500396,Maine-Maine,False,ME,ME
44,206,Maine,Maine,400.0,0.0175,75.17456186809399,Maine-Maine,False,ME,ME
60,64,Maine,Maine,237.35,0.040347,72.66518962536529,Maine-Maine,False,ME,ME
146,151,ROP,NNE,1305.07,0.001832,70.22315894650337,NNE-ROP,False,WCMA,NH
128,145,NNE,Maine,173.53,0.092623,69.34771215579441,Maine-NNE,False,NH,ME
68,215,Maine,Maine,700.0,0.017143,67.83408474856897,Maine-Maine,False,ME,ME
58,62,Maine,Maine,530.03,0.014851,65.01715513341978,Maine-Maine,False,ME,ME
189,239,Maine,Maine,530.03,0.054523,64.61256612502375,Maine-Maine,False,ME,ME
51,68,Maine,Maine,283.0,0.037344,63.60261756479259,Maine-Maine,False,ME,ME
145,149,Maine,Maine,107.32,0.090121,62.742383755395004,Maine-Maine,False,ME,ME
210,74,Maine,Maine,623.25,0.011415,62.41892819759744,Maine-Maine,False,ME,ME
59,213,Maine,Maine,530.03,0.006172,62.03910628691766,Maine-Maine,False,ME,ME
164,166,SENE,SENE,212.01,0.099226,61.23224240752823,SENE-SENE,False,NEMA/Boston,RI
191,193,Maine,Maine,652.53,0.022617,61.09318403035481,Maine-Maine,False,ME,ME
53,73,Maine,Maine,261.01,0.033438,59.60625013924407,Maine-Maine,False,ME,ME
2,201,NNE,NNE,530.03,0.018748,58.89397838575142,NNE-NNE,False,VT,NH
209,210,Maine,Maine,707.51,0.008004,57.443338577605914,Maine-Maine,False,ME,ME
58,66,Maine,Maine,530.03,0.010038,57.288155043990294,Maine-Maine,False,ME,ME
53,57,Maine,Maine,261.01,0.059124,56.73507540801985,Maine-Maine,False,ME,ME
75,216,Maine,Maine,400.0,0.03,54.33508674501674,Maine-Maine,False,ME,ME
197,134,NNE,NNE,178.87,0.026623,54.3048405459552,NNE-NNE,False,NH,NH
163,243,SENE,SENE,450.0,0.015556,53.47010174926198,SENE-SENE,False,RI,NEMA/Boston
55,212,Maine,Maine,150.0,0.046667,51.96754034542984,Maine-Maine,False,ME,ME
86,88,SENE,SENE,137.68,0.145633,51.19361958788551,SENE-SENE,False,RI,NEMA/Boston
132,133,NNE,NNE,178.87,0.029956,50.7482860730836,NNE-NNE,False,NH,NH
5,184,Maine,Maine,178.87,0.111012,49.50313868850186,Maine-Maine,False,ME,ME
188,189,Maine,Maine,1060.07,0.001674,49.07072819149746,Maine-Maine,False,ME,ME
67,68,Maine,Maine,283.0,0.026509,48.82401399176727,Maine-Maine,False,ME,ME
10,70,Maine,Maine,324.83,0.067267,48.306732735520555,Maine-Maine,False,ME,ME
169,246,SENE,SENE,650.0,0.018462,48.17758527094502,SENE-SENE,False,RI,NEMA/Boston
25,201,NNE,NNE,150.0,0.046667,48.06822939561777,NNE-NNE,False,NH,NH
132,142,NNE,NNE,506.73,0.022275,47.29642885373556,NNE-NNE,False,NH,NH
15,61,Maine,Maine,353.36,0.027504,46.31650574110172,Maine-Maine,False,ME,ME
86,220,SENE,SENE,250.0,0.032,44.21807433236361,SENE-SENE,False,RI,NEMA/Boston
140,171,Maine,Maine,212.01,0.050336,43.59813746032371,Maine-Maine,False,ME,ME
5,207,Maine,Maine,541.39,0.013276,43.528380664775774,Maine-Maine,False,ME,ME
186,215,Maine,Maine,707.51,0.00592,43.51627569737292,Maine-Maine,False,ME,ME
6,185,Maine,Maine,450.0,0.026667,43.103993052300254,Maine-Maine,False,ME,ME
190,174,Maine,Maine,1060.07,0.013584,42.48430580916381,Maine-Maine,False,ME,ME
63,75,Maine,Maine,261.01,0.046454,42.09231992944837,Maine-Maine,False,ME,ME
5,183,Maine,Maine,150.0,0.046667,40.964097592657474,Maine-Maine,False,ME,ME
202,41,Maine,Maine,530.03,0.018804,40.89873425927387,Maine-Maine,False,ME,ME
182,74,Maine,Maine,530.03,0.003455,40.75238095821088,Maine-Maine,False,ME,ME
55,61,Maine,Maine,229.46,0.120369,39.41039935710243,Maine-Maine,False,ME,ME
243,135,SENE,NNE,530.03,0.0026978130241901567,38.80569809935326,NNE-SENE,False,NEMA/Boston,NH
182,48,Maine,Maine,530.03,0.023699,38.711760728658696,Maine-Maine,False,ME,ME
182,183,Maine,Maine,530.03,0.02315,38.28905623421145,Maine-Maine,False,ME,ME
23,24,ROP,ROP,178.87,0.106048,38.07555754512134,ROP-ROP,False,CT,WCMA
