Interface,OSMType,OSMId,Name,SubstationType,VoltageTag,VoltageKV,Circuits,Operator,Ref,Latitude,Longitude,AnchorWeight
HQHIGATE,way,1046944585,,transition,115000,115.0,1,Vermont Electric Power Company,,44.696751,-73.351003,1.0
HQHIGATE,way,1049377932,,transition,115000,115.0,1,Vermont Electric Power Company,,44.637271,-73.273651,1.0
HQHIGATE,way,1052054054,,transition,115000,115.0,1,New York Power Authority,,44.702052,-73.384821,1.0
HQHIGATE,way,1450106311,,generation,,,1,Green Lantern Solar,,44.78265,-73.061728,1.0
HQ_P1_P2,way,101817259,Amherst Substation,transmission,345000;34500,345.0,1,Eversource,,42.808992,-71.592883,3.0
HQ_P1_P2,way,81529768,Deerfield Substation,transmission,345000;115000,345.0,1,Eversource,,43.141896,-71.184799,3.0
HQ_P1_P2,way,733447470,Eagle Substation,transmission,345000;115000,345.0,1,Eversource,,42.831175,-71.483534,3.0
HQ_P1_P2,way,81604584,Golden Hills Substation,transmission,345000,345.0,1,National Grid,,42.47167,-71.04542,3.0
HQ_P1_P2,way,383037049,Hyde Park Substation,transmission,345000;115000;13800,345.0,1,Eversource,496,42.27371,-71.120633,3.0
HQ_P1_P2,way,29620770,Kingston Street Substation,transmission,345000;115000,345.0,1,Eversource,,42.352908,-71.059869,3.0
HQ_P1_P2,way,50304489,Lawrence Road Substation,transmission,345000,345.0,1,Eversource,,42.79066,-71.377808,3.0
HQ_P1_P2,way,50304490,Lawrence Road Substation,transmission,345000,345.0,1,Eversource,,42.791442,-71.376963,3.0
HQ_P1_P2,way,81995133,Lexington Substation,transmission,345000;115000,345.0,1,Eversource,320,42.444927,-71.266246,3.0
HQ_P1_P2,way,43315304,North Cambridge Substation,transmission,345000,345.0,1,Eversource,509,42.39167,-71.142751,3.0
HQ_P1_P2,way,39197836,Scobie Pond 345kV Substation,transmission,345000;115000,345.0,1,Eversource,,42.904242,-71.342552,3.0
HQ_P1_P2,way,81823632,Seabrook Transition Station,transition,345000,345.0,1,NextEra Energy,,42.900733,-70.853929,3.0
HQ_P1_P2,way,81700477,Tewksbury Substation No. 22A,transmission,345000,345.0,1,National Grid,22A,42.622978,-71.242665,3.0
HQ_P1_P2,way,368310186,Timber Swamp Substation,transmission,345000;34500,345.0,1,Eversource,,42.949941,-70.868523,3.0
HQ_P1_P2,way,134796664,Wachusett Substation,transmission,345000;115000;69000,345.0,1,National Grid,47,42.360136,-71.775768,3.0
HQ_P1_P2,way,81606442,Wakefield Junction Substation,transmission,345000;115000,345.0,1,National Grid,,42.505446,-71.041692,3.0
