OSMType,OSMId,Name,SubstationType,VoltageTag,VoltageKV,Circuits,Operator,Ref,Latitude,Longitude,AnchorWeight
way,24364552,Poste La Prairie,transmission,315000;120000,315.0,1,Hydro-Québec,,45.436457,-73.424537,2.73913
way,27736159,Poste des Laurentides,transmission,735000;315000;230000,735.0,1,Hydro-Québec,,46.858626,-71.314778,6.391304
way,29620770,Kingston Street Substation,transmission,345000;115000,345.0,1,Eversource,,42.352908,-71.059869,3.0
way,33144100,Poste Hertel,transmission,735000;315000,735.0,1,Hydro-Québec,,45.40932,-73.430205,6.391304
way,33284151,Poste Viger,transmission,315000;120000,315.0,1,Hydro-Québec,,45.488105,-73.544142,2.73913
way,33869203,Poste Atwater,transmission,315000;120000;25000,315.0,1,Hydro-Québec,,45.473652,-73.571123,2.73913
way,33973590,Poste Baie-d'Urfé,transmission,120000;69000;25000;12000,120.0,1,Hydro-Québec,,45.419417,-73.920948,1.043478
way,34040833,Poste de l'Aqueduc,transmission,315000;120000,315.0,1,Hydro-Québec,,45.428616,-73.616006,2.73913
way,34252628,Poste de Boucherville,transmission,735000;315000;230000,735.0,1,Hydro-Québec,,45.600407,-73.366405,6.391304
way,34317219,Poste Notre-Dame,transmission,315000,315.0,1,Hydro-Québec,,45.582433,-73.513337,2.73913
way,39197836,Scobie Pond 345kV Substation,transmission,345000;115000,345.0,1,Eversource,,42.904242,-71.342552,3.0
way,43050362,Millstone Substation,transmission,345000,345.0,1,Eversource,,41.314866,-72.16533,3.0
way,43315304,North Cambridge Substation,transmission,345000,345.0,1,Eversource,509,42.39167,-71.142751,3.0
way,46973544,Holbrook Substation,transmission,345000;115000,345.0,1,,,42.167159,-70.998529,3.0
way,46973545,Edgar Substation,transmission,115000,115.0,1,Eversource,,42.240468,-70.964889,1.0
way,49810081,Haddam Neck Substation 14B,transmission,345000,345.0,1,Eversource,,41.488133,-72.492818,3.0
way,49810097,Scovill Rock Substation,transmission,345000,345.0,1,Eversource,22P,41.510452,-72.569845,3.0
way,50304489,Lawrence Road Substation,transmission,345000,345.0,1,Eversource,,42.79066,-71.377808,3.0
way,50304490,Lawrence Road Substation,transmission,345000,345.0,1,Eversource,,42.791442,-71.376963,3.0
