AggregatedResource,Zone,Type,GroupingKey,OriginalIndex,OriginalResource,OriginalPmaxMW,WeightPmaxMW,WeightShare
G1,BGE,Coal,Zone=BGE; Type=Coal; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,1,G1,685.1,685.1,0.39619477214897064
G1,BGE,Coal,Zone=BGE; Type=Coal; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,2,G2,685.1,685.1,0.39619477214897064
G1,BGE,Coal,Zone=BGE; Type=Coal; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,4,G4,359.0,359.0,0.20761045570205874
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,3,G3,132.8,132.8,0.1648460774577954
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,5,G5,414.7,414.7,0.5147715988083414
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,6,G6,16.0,16.0,0.01986097318768619
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,7,G7,53.1,53.1,0.06591360476663355
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,8,G8,53.1,53.1,0.06591360476663355
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,9,G9,53.1,53.1,0.06591360476663355
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,12,G12,20.7,20.7,0.025695134061569008
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,13,G13,20.7,20.7,0.025695134061569008
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,14,G14,20.7,20.7,0.025695134061569008
G2,BGE,Oil,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,15,G15,20.7,20.7,0.025695134061569008
G3,BGE,NGCT,Zone=BGE; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,10,G10,192.0,192.0,0.4134492468089467
G3,BGE,NGCT,Zone=BGE; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,11,G11,141.0,141.0,0.3036267906253202
G3,BGE,NGCT,Zone=BGE; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,93,G93,5.0,5.0,0.010766907468982987
G3,BGE,NGCT,Zone=BGE; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,94,G94,2.5,2.5,0.0053834537344914935
G3,BGE,NGCT,Zone=BGE; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,95,G95,10.0,10.0,0.021533814937965974
G3,BGE,NGCT,Zone=BGE; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,106,G106,2.1,2.1,0.004522101136972855
G3,BGE,NGCT,Zone=BGE; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,207,G207,7.9,7.9,0.01701171380099312
G3,BGE,NGCT,Zone=BGE; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,279,G279,103.885898588231,103.885898588231,0.2237059714863267
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,16,G16,2.9,2.9,0.01067353698932646
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,17,G17,2.9,2.9,0.01067353698932646
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,18,G18,2.9,2.9,0.01067353698932646
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,19,G19,2.9,2.9,0.01067353698932646
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,20,G20,18.6,18.6,0.06845785793154213
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,21,G21,162.0,162.0,0.5962458594037541
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,53,G53,3.5,3.5,0.012881854987118142
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,54,G54,1.5,1.5,0.005520794994479204
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,55,G55,1.5,1.5,0.005520794994479204
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,56,G56,3.8,3.8,0.013986013986013983
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,57,G57,4.1,4.1,0.015090172984909823
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,58,G58,5.6,5.6,0.020610967979389026
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,59,G59,5.6,5.6,0.020610967979389026
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,60,G60,2.5,2.5,0.009201324990798674
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,61,G61,2.5,2.5,0.009201324990798674
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,62,G62,3.0,3.0,0.011041589988958407
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,63,G63,1.5,1.5,0.005520794994479204
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,64,G64,1.5,1.5,0.005520794994479204
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,65,G65,5.4,5.4,0.019874861980125134
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,66,G66,5.4,5.4,0.019874861980125134
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,67,G67,6.2,6.2,0.02281928597718071
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,68,G68,6.2,6.2,0.02281928597718071
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,69,G69,6.3,6.3,0.023187338976812657
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,70,G70,6.3,6.3,0.023187338976812657
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,73,G73,0.5,0.5,0.0018402649981597346
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,74,G74,1.0,1.0,0.0036805299963194693
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,75,G75,1.1,1.1,0.004048582995951417
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,76,G76,2.5,2.5,0.009201324990798674
G4,DPL_MD,Oil,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,87,G87,1.0,1.0,0.0036805299963194693
