GroupSize,AggregatedRM_SPIN,AggregatedCostPerMWh,GroupingKey,AggregatedPmaxMW,AggregatedCC,AggregatedStartUpCostPerMW,Flag_thermal,AggregatedResource,AggregatedFOR,AggregatedMinUpTime,Flag_UC,AggregatedPminMW,OriginalPmaxMW,AggregatedRD,Zone,AggregatedRU,Flag_VRE,NumUnits,ClusteredUnitPmaxMW,ClusteredUnitPminMW,Flag_mustrun,AggregatedMinDownTime,Type
3,0.060000000000000005,23.57,Zone=BGE; Type=Coal; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,1729.2,0.95,124.0,1,G1,0.07,24.0,1,750.0,1729.2,0.35999999999999993,BGE,0.35999999999999993,0,3,576.4,250.0,0,24.0,Coal
10,0.0,39.999999999999986,Zone=BGE; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,805.6000000000003,0.9799999999999993,86.99999999999996,1,G2,0.0,1.0,1,0.0,805.6000000000003,1.0,BGE,1.0,0,10,80.56000000000003,0.0,0,1.0,Oil
8,0.16,26.300000000000004,Zone=BGE; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,464.385898588231,0.98,119.0,1,G3,0.068,1.0,1,0.0,464.385898588231,1.0,BGE,1.0,0,8,58.04823732352887,0.0,0,1.0,NGCT
30,0.0,39.99999999999999,Zone=DPL_MD; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,271.7,0.9799999999999999,86.99999999999997,1,G4,0.0,1.0,1,0.0,271.7,1.0,DPL_MD,1.0,0,30,9.056666666666667,0.0,0,1.0,Oil
2,0.0,0.0,Zone=APS_MD; Type=Hydro; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,20.0,0.5,0.0,0,G5,0.035,0.0,0,0.0,20.0,1.0,APS_MD,1.0,1,2,10.0,0.0,0,0.0,Hydro
18,0.15999999999999998,26.3,Zone=PEPCO; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,2272.3000000000006,0.9799999999999999,119.0,1,G6,0.068,1.0,1,0.0,2272.3000000000006,1.0,PEPCO,1.0,0,18,126.23888888888892,0.0,0,1.0,NGCT
12,0.0,39.99999999999999,Zone=PEPCO; Type=Oil; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,372.90000000000003,0.98,86.99999999999999,1,G7,0.0,1.0,1,0.0,372.90000000000003,1.0,PEPCO,1.0,0,12,31.075000000000003,0.0,0,1.0,Oil
2,0.05999999999999999,23.57,Zone=PEPCO; Type=Coal; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,1252.0,0.9499999999999998,124.0,1,G8,0.07,24.0,1,600.0,1252.0,0.36,PEPCO,0.36,0,2,626.0,300.0,0,24.0,Coal
11,0.0,0.0,Zone=BGE; Type=Hydro; Flag_mustrun=0; Flag_VRE=1; Flag_thermal=0; Flag_UC=0,530.8,0.5,0.0,0,G9,0.03500000000000001,0.0,0,0.0,530.8,1.0,BGE,1.0,1,11,48.25454545454545,0.0,0,0.0,Hydro
2,0.0,20.0,Zone=PEPCO; Type=Nuc; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,1850.4,0.9899999999999999,247.99999999999997,1,G10,0.017999999999999995,0.0,1,1400.0,1850.4,1.0,PEPCO,1.0,0,2,925.2,700.0,0,0.0,Nuc
5,0.15999999999999998,26.299999999999997,Zone=DPL_MD; Type=NGCT; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,774.6,0.9800000000000001,119.00000000000001,1,G11,0.068,1.0,1,0.0,774.6,1.0,DPL_MD,1.0,0,5,154.92000000000002,0.0,0,1.0,NGCT
2,0.0,15.0,Zone=BGE; Type=MSW; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,64.5,0.43,0.0,1,G12,0.0,0.0,1,0.0,64.5,1.0,BGE,1.0,0,2,32.25,0.0,0,0.0,MSW
1,0.06,23.57,Zone=APS_MD; Type=Coal; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,229.0,0.95,124.0,1,G13,0.07,24.0,1,100.0,229.0,0.36,APS_MD,0.36,0,1,229.0,100.0,0,24.0,Coal
2,0.1,20.0,Zone=DPL_MD; Type=Bio; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,3.8,0.43,0.0,1,G14,0.0,0.0,1,0.0,3.8,1.0,DPL_MD,1.0,0,2,1.9,0.0,0,0.0,Bio
8,0.09999999999999999,15.0,Zone=PEPCO; Type=Landfill_NG; Flag_mustrun=0; Flag_VRE=0; Flag_thermal=1; Flag_UC=1,7.7,0.43000000000000005,0.0,1,G15,0.049999999999999996,0.0,1,0.0,7.7,1.0,PEPCO,1.0,0,8,0.9625,0.0,0,0.0,Landfill_NG
